1|41|Public
5000|$|... #Caption: Martje Theodora in port, showing SkySail <b>attachment</b> <b>arm</b> on bow.|$|E
5000|$|Today, {{intact and}} working legacy Gizmotrons are {{virtually}} non-existent. The Gizmo wheels and <b>arm</b> <b>attachments</b> {{were made of}} a plastic (Delrin) that cracks and weakens over time. As a result, the wheels and arms of all Gizmotrons become brittle, fall apart, and disintegrate into smaller pieces all by themselves even in [...] "like new" [...] unopened boxes. Other guitar effects have since been used to create sustained tones, {{but because of the}} different mechanical nature and physics involved, none of them replicate the sound of the Gizmotron.|$|R
40|$|Aneuploidy {{in human}} eggs {{is the leading}} cause of {{pregnancy}} loss and Down's syndrome. Aneuploid eggs result from chromosome segregation errors when an egg develops from a progenitor cell, called an oocyte. The mechanisms that lead to an increase in aneuploidy with advanced maternal age are largely unclear. Here, we show that many sister kinetochores in human oocytes are separated and do not behave as a single functional unit during the first meiotic division. Having separated sister kinetochores allowed bivalents to rotate by 90 degrees on the spindle and increased the risk of merotelic kinetochore-microtubule attachments. Advanced maternal age led to an increase in sister kinetochore separation, rotated bivalents and merotelic <b>attachments.</b> Chromosome <b>arm</b> cohesion was weakened, and the fraction of bivalents that precociously dissociated into univalents was increased. Together, our data reveal multiple age-related changes in chromosome architecture that could explain why oocyte aneuploidy increases with advanced maternal age...|$|R
50|$|Knot Buster: An <b>arm</b> <b>attachment</b> {{specifically}} designed by Rika Domeki to strike and destroy a Heterodyne's Fractal Knot, the weak {{point of the}} creatures. It is a claw with an integral explosive-propelled pile driver, far more practical and controllable than the Drill Arm. One simply targets the Heterodyne's Fractal Knot, latches onto it with the claw and triggers the pile driver, impaling it. This weapon was only used once by Dai-Guard before being claimed by the Army for use by its own robot, Kokubogar, but was destroyed soon afterward.|$|R
2500|$|Oviraptorosaurians are {{different}} from most other maniraptorans {{in the form of}} their skulls. They have shortened snouts, beak-like jaws with few or no teeth, and a large opening in the lower jaw bone. Some have bony crests atop the skull. The most primitive members have a few teeth {{in the front of the}} mouth; in Incisivosaurus, they are enlarged and form bizarrely prominent [...] "bucktoothed" [...] incisors. The arms and hands are generally long (though very reduced in some advanced species) and the shoulder girdle is large and massive, with flexed coracoid bones and prominent <b>attachments</b> for strong <b>arm</b> muscles.|$|R
50|$|In the 1980s cartoon, his helmet, mantrap mouth, {{robotic arm}} and legs are cerise but his robotic arm and legs were black on the {{original}} figure; the figure's helmet and mantrap mouth are recolored purplish red. Whereas he had loads of <b>arm</b> <b>attachments</b> in the cartoon (again, most were colored cerise in the cartoon), the figure only came with three (claw, gun and hook) were also black. His belt {{did not have the}} skull and crossbones (Jolly Roger) in the cartoon; this was only on the figure's belt. The figure had yellow eyes whereas he had normal eyes in the cartoon.|$|R
5000|$|Oviraptorosaurians are {{different}} from most other maniraptorans {{in the form of}} their skulls. They have shortened snouts, beak-like jaws with few or no teeth, and a large opening in the lower jaw bone. Some have bony crests atop the skull. The most primitive members have a few teeth {{in the front of the}} mouth; in Incisivosaurus, they are enlarged and form bizarrely prominent [...] "bucktoothed" [...] incisors. The arms and hands are generally long (though very reduced in some advanced species) and the shoulder girdle is large and massive, with flexed coracoid bones and prominent <b>attachments</b> for strong <b>arm</b> muscles.|$|R
5000|$|Ittan-momen (25 & 36): A Youkai hitman who is {{specialized}} in strangling via colorful cloths and rides a motorcycle. He is hired by Junior to stop Sasuke from getting his Hidden Scroll. After mortally injuring Reika, his {{guide to the}} scroll, Sasuke took her death personally and was bent on gaining the Shinobi Scroll more than ever. Enlarging to stop Sasuke, Ittan-momen uses his blowtorch and cannon <b>arm</b> <b>attachments</b> to incinerate the countryside to take the ninja out. However, Ninja Red managed to knock down the giant Youkai on his own before getting his Hidden Scroll. The summoned God Saruder overwhelms Ittanmomen with Super Muteki Shogun's aid before finishing off.|$|R
50|$|However, {{the front}} {{anti-dive}} geometry which was introduded on the Lotus 31, and the rear anti-squat geometry with unparallel radius arms (that counters the rear camber and toe-in reductions under braking) which was introduced with the 41C, were fully developed on the 41X (which had multiple suspension <b>arm</b> <b>attachment</b> points), and the setup {{found to be}} the best is incorporated into the 59 frame. While the 59 used Triumph Herald front uprights, the 59B used the Formula Two version Lotus 41X uprights and brakes shared with Lotus 47A. Hubs and wheels were knock-off type with spin-on central lock nut, except for the Formula Ford version, which had the Ford production 4 lugnut configuration as per the formula.|$|R
2500|$|A new {{race car}} called the Viper Competition Coupe took the GTS-R's {{place for the}} second phase. The Viper Competition Coupe had the same 8.3-liter V10 engine as the street Viper, but {{increased}} power to , and [...] of torque. The Competition Coupe had a carbon fiber composite body on a tubular steel frame with no interior trim and an FIA-legal roll cage. [...] The exterior design of the Competition Coupe {{was based on the}} Viper GTS-R concept from 1999. [...] Modifications to the mechanicals of the Viper were a 27-gallon fuel cell, differential cooler, ducted brakes, improved driver and engine cooling, trap door oil pan, low-inertia flywheel, an improved double-wishbone suspension system, new spherical bearing control <b>arm</b> <b>attachments,</b> two-way adjustable coil over dampers, and a driver-adjustable blade-type rear anti-roll bar. [...] The anti-lock braking system added a distribution control system. The initial price of the car is around $100,000.|$|R
40|$|Stroke affects about 975, 000 people annually. Currently {{different}} robotic {{systems are}} used, such as exoskeletons that support motor rehabilitation, where they sometimes increase the patient's possible recovery rate. But these systems are expensive and often require adequate locations for therapy routines. This article offers the mechanical design of an exoskeleton concept for human upper limbs {{that allows the}} <b>attachment</b> to the <b>arm</b> and forearm, offering protection, torque, and movement, plus the possibility to adapt to different arm sizes. The biomechanics of the human arm, the kinematics required by the exoskeleton, different design criteria {{for this type of}} system, the CAD model, and the simulation of a robotic exoskeleton with an active and passive degree of freedom are considered. As a main result, the exoskeleton includes the biome- chanics of the human arm so that its kinematics allow for adequate human arm movements for providing mechanical assistance, data acquisition and analysis, but also safety...|$|R
50|$|In December 2012 Klink {{announced}} that she will run for the Lebanese parliamentary elections of June 2013. During a January 2013 interview she discussed a number of her positions including her support for the amendment of the current nationality law that forbids foreign husbands of Lebanese wives and their children from obtaining Lebanese citizenship. She also supports civil marriage as an option and the setting up of temporary camps for Syrian refugees, and eventually doing away with sectarian quotas in the government. Klink justified Hizbollah's <b>attachment</b> to its <b>arms</b> but condemned the party for using its military strength against other Lebanese factions and citizens. In 2013, Myriam participated in Al Jadeed TV's reality show al-za'im (الزعيم) where young candidates to the Lebanese parliamentary elections showcase their agendas. Klink was visiting the Beirut suburb of hay-al-sellom where a firecracker was thrown to her face resulting in respiratory injury and the transportation of Klink to a medical facility.|$|R
25|$|Sadamasa Arikawa (who {{worked with}} Eiji Tsuburaya) {{said that the}} sculptors {{had a hard time}} coming up with a King Kong suit that appeased Tsuburaya. The first suit was {{rejected}} for being too fat with long legs giving Kong an almost cute look. A few other designs were done before Tsuburaya would approve the final look that was ultimately used in the film. The suit was given two separate masks and two separate pairs of arms. Long arm extensions which contained poles inside the arms for Hirose to grab onto and with static immovable hands was used for long shots of Kong, while short human length arms were added to the suit for scenes that required Kong to grab items and wrestle with Godzilla. Besides the suit with the two separate <b>arm</b> <b>attachments,</b> a meter high model and a puppet of Kong (used for closeups) were also built. As well, a huge prop of Kong's hand was built for the scene where he grabs Mie Hama (Fumiko) and carries her off.|$|R
40|$|The {{purpose of}} our project was to provide Charlie with a device that he could talk with others. Because we felt like there was little {{engineering}} in this, we decided to provide an <b>arm</b> <b>attachment</b> to hold the device so that Charlie {{would be able to}} use the device without having to have help. We needed to design an arm that would attach to the wheel chair in a way that it would be secure and also not be in the way of his wheels, armrest, or the chairs controls. We were able to find a device that would be easy for Charlie to use and design an arm that would be fitting for his needs. Learning goals: Our learning goals were to be able to work together as a team, apply critical thinking, analyze and solve real world problems. We found that our team worked very well together and each member brought something important to the project that enabled us to be able to serve the needs of Charlie...|$|R
50|$|Knot Punisher: Like the Knot Buster, it is {{designed}} to strike the Fractal Knot of the Heterodyne. Unknown to the Army, Domeki designed the Knot Buster merely as a prototype for this weapon. Where the Knot Buster is a single <b>arm</b> <b>attachment,</b> the Knot Punisher utilizes both arms. One arm utilizes the same pile driver-claw utility of the Knot Buster, but instead of an explosive charge, it is driven by a torque-less counter-rotating dual flywheel attached to the other arm. The flywheel is spun up in advance, the Heterodyne's Fractal Knot is grasped with the claw, and the flywheel is inserted into the pile driver's gear port, firing the spike and impaling the knot. The flywheel itself {{can be used as a}} melee weapon, as it is quite sturdy and possesses a greater radius than the arm and more stability than the drill arm. The downsides with this system is that Dai-Guard cannot pick anything up with it in place, (aside from using the claw), and it takes a considerable amount of time to install the equipment prior to battle.|$|R
40|$|Purposes:To {{evaluate}} {{the feasibility of}} using the single-joint Hybrid Assistive Limb® robot (HAL) to assist with shoulder flexion-extension in healthy adults, and to assess {{the capacity of the}} HAL to analyze the bioelectrical signals of muscle activity for shoulder flexion-extension. Methods:This cross-sectional feasibility study included six healthy adult men with no impairment in shoulder motion. The single-joint HAL was fixed to a custom-designed platform and upper <b>arm</b> <b>attachment,</b> and aligned 3 cm below the acromion process. Vital signs, shoulder fatigue, and shoulder pain were evaluated before and after the shoulder elevation exercise performed with and without the HAL. Activity of selected muscles of the shoulder was recorded using a wireless superficial electromyography device. Shoulder movement was captured using a three-dimensional motion analysis system. Results:The HAL supported smooth flexion-extension of the arm at the shoulder joint, with no negative effects on vital signs, shoulder fatigue, and shoulder pain. The HAL decreased muscle activity levels, with a 55 % decrease in trapezius muscle activity. The upward rotation angle of the scapula was significantly lower with the HAL at 120 ° of shoulder flexion. Conclusion:The single-joint HAL provided safe and effective assistance to scapular plane shoulder flexion-extension among healthy adults...|$|R
5000|$|Kanedama (13 & 53): A golden Youkai in robotic armor with {{a magnet}} <b>arm</b> <b>attachment,</b> he was {{originally}} a benevolent Youkai who brings luck to households before becoming evil and greedy. Posing as a gold robed exorcist named Fukuo Daikichi, Kanedama plants the golden coins Prof. Yugami developed into houses {{to make a}} profit and fleece the residents of everything they have. However, only the wife of the baker turned him down and Kanedama attempt to force the woman to reconsider by putting up the ante as the Kakurangers help her out. However, due to getting a bump {{on the back of his}} head while fighting the Kakurangers, Kanedama's con is exposed as he laced the entire building with his coins before going after Hiroshi with Sasuke saving the baker's son. Though he uses his Thievery Jutsu to take the Kakurangers' Kakulasers from them, he is defeated by Ninja Red using his Full-Moon Cut on the Yokai. Kanedama is quickly enlarged, with the Beast General Fighters delivering a quick beating to Kanedama before destroying him with Fighter Crush. Once he was destroyed, Kanedama's coins faded and his spell was broken.|$|R
50|$|Unlike most robotic {{platforms}} {{that place}} {{an emphasis on}} mobility, MATILDA places an emphasis on function. Keeping this in mind, associates at Mesa Inc. identified specific UGV applications that it wanted to have present in their assembly. These applications included: target surveillance, explosive device neutralization, material pickup and transport, weapon transport and firing, and law enforcement. Mesa Inc. wanted to implement these applications into an efficient low cost solution. In order to achieve their vision, associates at Mesa Inc. consistently refined platform weight ratios until they finally achieved a design that both fundamentally fit their vision and expanded the tasks that UGV's could accomplish. Mesa Inc. associates also had specific obstacles that they wanted their robot {{to be able to}} overcome such as stair climbing, payload transporting, great battery life, tunnel navigation, video camera, and manipulator arm capabilities. In order to make the assembly applicable to national defense, Mesa Inc. associates built different models of the MATILDA. This was to make sure the robot helps each form of security's specific needs. Mesa Inc. also wanted to let the assembly be open-ended, meaning that users could attach any attachments they needed. In order to achieve this, Mesa Inc. built the robot to be compatible with an assortment of <b>attachments</b> like manipulator <b>arms,</b> saws, claws, and cameras.|$|R
50|$|Within {{the distal}} {{borders of the}} incision, the semitendinosus and {{gracilis}} tendons are found beneath the sartorius muscle fascia. The distal tibial attachment of the sMCL can be found under these identified tendons, making up {{the floor of the}} pes anserine bursa, 6 cm distal to the joint line. Once identified, the remaining soft tissue is removed from the attachment site. An eyelet pin is then drilled through attachment site transversely through the tibia, making sure the starting point is located at the posterior aspect of the site to ensure better biomechanical outcomes. Over the eyelet pin, a 7-mm reamer (6 mm considered in smaller patients) is reamed to a depth of 25 mm. Once prepared, attention is directed to preparing the reconstruction tunnel for the tibial attachment of the POL. Above the anterior <b>arm</b> <b>attachment</b> of the semimembranosus muscle tendon, the tibial attachment of the central arm of the POL is identified. This attachment is exposed by making a small incision parallel to the fibers along the posterior edge of the anterior arm of the semimembranosus tendon. Once exposed, an eyelet pin is drilled through the tibia toward Gerdy’s tubercle (anterolateral tibia). After verifying the correct anatomic eyelet pin placement, a 7-mm reamer is used over the pin to drill a tunnel depth of 25 mm.|$|R
