1|4254|Public
50|$|Mi-6BUS:(NATO - Hook-C) (Also Mi-6AYa and Mi-22) <b>airborne</b> <b>command</b> <b>post</b> <b>helicopter</b> of 1975.|$|E
50|$|Y-8GX3: <b>Airborne</b> <b>Command</b> <b>Post</b> and ECM version a.k.a. 'High New 3' {{based on}} the Y-8F-200.|$|R
25|$|The SAC <b>airborne</b> <b>command</b> <b>post</b> (ABNCP) ALCC-equipped {{aircraft}} {{which served}} as an alternate ERCS control agency.|$|R
50|$|<b>Airborne</b> <b>command</b> <b>post</b> version {{similar to}} Mi-19 for commanders of rocket {{artillery}} (based on Mi-8MT/Mi-17 airframe).|$|R
50|$|The SAC <b>airborne</b> <b>command</b> <b>post</b> (ABNCP) ALCC-equipped {{aircraft}} {{which served}} as an alternate ERCS control agency.|$|R
5000|$|... #Caption: USSTRATCOM <b>Airborne</b> <b>Command</b> <b>Post</b> {{crew members}} {{responding}} to their aircraft during an alert response exercise ...|$|R
2500|$|EC-135C - {{converted}} from new built KC-135B to EC-135C for <b>airborne</b> <b>command</b> <b>post</b> role, [...] "Looking Glass" ...|$|R
2500|$|EC-135J/P - KC-135A {{modified}} for <b>airborne</b> <b>command</b> <b>post</b> role, [...] "Blue Eagle" [...] and [...] "Scope Light" ...|$|R
5000|$|EC-135C - {{converted}} from new built KC-135B to EC-135C for <b>airborne</b> <b>command</b> <b>post</b> role, [...] "Looking Glass" ...|$|R
5000|$|EC-135J/P - KC-135A {{modified}} for <b>airborne</b> <b>command</b> <b>post</b> role, [...] "Blue Eagle" [...] and [...] "Scope Light" ...|$|R
5000|$|A {{tactical}} <b>Airborne</b> <b>Command</b> <b>Post</b> {{for use by}} commanders, also {{capable of}} forming ground based communications and HQ.|$|R
5000|$|... Headquarters SAC submits {{a request}} to the Joint Chiefs of Staff to study an {{expanded}} communications system, known as the SAC Total Information Network (SATIN). It would interconnect Air Force Satellite Communications (AFSATCOM), Advanced <b>Airborne</b> <b>Command</b> <b>Post</b> (AABNCP), <b>Airborne</b> <b>Command</b> <b>Post</b> (ABNCP), high frequency/single sideband radio HF/SSB radio, SAC Automated Command and Control System (SACCS), Automatic Digital Information Network (AUTODIN), Survivable Low Frequency Communications System (SLFCS) and Command Data Buffer (CDB) ...|$|R
50|$|Mi-6VzPU: (NATO - Hook-D) Service {{designation}} of the Mi-6AYa <b>airborne</b> <b>command</b> <b>post</b> with SLAR, entered service as the Mi-22.|$|R
5000|$|<b>Airborne</b> <b>command</b> <b>post</b> version {{fitted with}} [...] "Ivolga" [...] system, {{characterized}} by antennas, and Doppler radar on tail boom.|$|R
50|$|VC-137A: Three 707-153s with a 22-passenger VIP {{interior}} and provision {{for use as}} an <b>airborne</b> <b>command</b> <b>post,</b> re-designated VC-137B.|$|R
25|$|An-10KP – (Komandny Punkt – <b>command</b> <b>post)</b> A single {{aircraft}} (CCCP-11854) modified as an <b>airborne</b> <b>command</b> <b>post</b> for use at Sperenburg air base, near Berlin in the DDR.|$|R
5000|$|... #Caption: A {{right front}} {{view of an}} E-4 {{advanced}} <b>airborne</b> <b>command</b> <b>post</b> (AABNCP) on the nuclear electromagnetic pulse (EMP) simulator for testing.|$|R
2500|$|A {{land line}} through ground {{grouping}} points (North Bend, Nebraska and Red Oak, Iowa) allowed the <b>airborne</b> <b>command</b> <b>post</b> interface with 494L equipment ...|$|R
50|$|<b>Airborne</b> <b>command</b> <b>post</b> version {{equipped}} with turbofan engines, 17 built. Provided with in-flight refueling capability and redesignated EC-135C. Given the model number 717-166.|$|R
5000|$|A {{land line}} through ground {{grouping}} points (North Bend, Nebraska and Red Oak, Iowa) allowed the <b>airborne</b> <b>command</b> <b>post</b> interface with 494L equipment ...|$|R
