1|10000|Public
5000|$|<b>Abduction</b> (<b>of</b> <b>a</b> <b>minor)</b> by a non-custodial {{parent or}} other relative.|$|E
50|$|In US guidelines, {{occasions}} for preventing entry {{into a hospital}} may include: power failure, earthquake, flooding, fire, bomb threat, hostage crisis and active shooter. Occasions for preventing both entry and exit from a hospital may include: external contamination, civil disturbance and <b>abduction</b> <b>of</b> <b>an</b> infant or child.|$|R
5000|$|All Bethell's work {{appeared}} anonymously, {{although in}} old age she became less keen to remain anonymous. She said her pseudonym, Evelyn Hayes, came from a great-great-grandfather, Sir Henry Hayes of Cork, who was [...] "deported for life to Botany Bay for attempted <b>abduction</b> <b>of</b> <b>a</b> Quaker heiress." ...|$|R
5000|$|... "Glasgow Peggy" [...] - [...] "This {{version of}} the ballad was {{collated}} by Andy and retains the story while using, we think, the best verses available from other versions. It tells the story <b>of</b> <b>a</b> highly successful <b>abduction</b> <b>of</b> <b>a</b> young lady by Lord Donald MacDonald of Skye." ...|$|R
50|$|In 2001, Copeland was refused bail at Belfast High Court {{on charges}} of kidnapping, false imprisonment, assault and {{threatening}} to kill another person. The charges arose from the <b>abduction</b> <b>of</b> <b>a</b> man from a betting shop in Ardoyne. Copeland denied all charges. The charges with withdrawn in August 2002.|$|R
5000|$|However, the <b>abduction</b> <b>of</b> <b>a</b> {{well-known}} {{public figure}} caused problems within Majestic. Normally, they abducted slightly crazy people because, while helping [...] "spread the word", nobody {{would take them}} too seriously. In an attempt {{to cover up the}} error, the leader of Majestic attempts to have Banion sentenced to death.|$|R
40|$|Violent <b>abduction</b> <b>of</b> <b>a</b> woman {{against her}} will is treated with some sympathy in the twelfth-century novel, {{especially}} in Theodore Prodromos, {{in sharp contrast to}} the romanticism of the ancient novel; this departure is illuminated by the contemporary conflict between the harsh secular and the more indulgent canon law on abduction. </span...|$|R
50|$|Catalina's unnatural {{devotion to}} her only son caused her conceal a healthy eye behind the lie <b>of</b> blindness, commit <b>a</b> series <b>of</b> murders {{beginning}} {{with her own}} husband, Carlos (his crime was realizing how truly evil she was), {{and to participate in}} the <b>abduction</b> <b>of</b> <b>a</b> child to ensure her son's inheritance was confirmed.|$|R
50|$|Child ballad 40, The Queen of Elfan's Nourice, {{depicts the}} <b>abduction</b> <b>of</b> <b>a</b> new mother, {{drawing on the}} {{folklore}} of the changelings. Although it is fragmentary, it contains the mother's grief and the Queen of Elfland's promise to return her to her own child if she will nurse the queen's child until it can walk.|$|R
50|$|The Water Witch is a 1830 {{novel by}} James Fenimore Cooper. Set in 17th century New York and the {{surrounding}} sea, the novel depicts the <b>abduction</b> <b>of</b> <b>a</b> woman, Alida de Barbérie, by the pirate captain of the brigantine Water Witch, and the subsequent pursuit of that elusive ship by her suitor, Captain Ludlow.|$|R
50|$|According to Herodotus' rationalizing approach, Europa {{was kidnapped}} by Greeks (probably Cretans) who were seeking to avenge the {{kidnapping}} <b>of</b> Io, <b>a</b> princess from Argos. His variant story {{may have been}} an attempt to rationalize the earlier myth; or the present myth may be <b>a</b> garbled version <b>of</b> facts—the <b>abduction</b> <b>of</b> <b>a</b> Phoenician aristocrat—later enunciated without gloss by Herodotus.|$|R
50|$|During the 2009 Gaza War, al Atar fled to el-Arīsh, Sinai, {{along with}} Mohammed Sanwar, a militant {{who had helped}} {{coordinate}} the <b>abduction</b> <b>of</b> <b>an</b> Israeli soldier, Gilad Shalit. That year, al Atar told reporters that if Israel did not accept the Hamas' demands to free 1,450 Palestinian prisoners in exchange for Shalit, Hamas would kidnap more soldiers.|$|R
5000|$|... #Caption: Albrecht Dürer, <b>Abduction</b> <b>of</b> Proserpine on <b>a</b> Unicorn (1516) ...|$|R
