1|102|Public
5000|$|Random {{parameters}} (slot cycle index) to {{use during}} CSMA <b>access</b> <b>probes.</b>|$|E
40|$|The {{multicomponent}} soluble form {{of methane}} monooxygenase (sMMO) catalyzes the oxidation of methane through the activation of O 2 at a nonheme biferrous {{center in the}} hydroxylase component, MMOH. Reactivity is limited without binding of the sMMO effector protein, MMOB. Past studies show that mutations of specific MMOB surface residues cause large changes in the rates of individual steps in the MMOH reaction cycle. To define the structural and mechanistic bases for these observations, CD, MCD, and VTVH MCD spectroscopies coupled with ligand-field (LF) calculations are used to elucidate changes occurring near and at the MMOH biferrous cluster upon binding of MMOB and the MMOB variants. Perturbations to both the CD and MCD are observed upon binding wild-type MMOB and the MMOB variant that similarly increases O 2 reactivity. MMOB variants that do not greatly increase O 2 reactivity fail to cause {{one or both of}} these changes. LF calculations indicate that reorientation of the terminal glutamate on Fe 2 reproduces the spectral perturbations in MCD. Although this structural change allows O 2 to bridge the diiron site and shifts the redox active orbitals for good overlap, it is not sufficient for enhanced O 2 reactivity of the enzyme. Binding of the T 111 Y-MMOB variant to MMOH induces the MCD, but not CD changes, and causes only a small increase in reactivity. Thus, both the geometric rearrangement at Fe 2 (observed in MCD) coupled with a more global conformational change that may control O 2 <b>access</b> (<b>probed</b> by CD), induced by MMOB binding, are critical factors in the reactivity of sMMO...|$|R
40|$|Chemical probes are {{urgently}} needed to functionally annotate hitherto untargeted kinases and stimulate new drug discovery {{efforts to address}} unmet medical need. The size of the human kinome combined with the high cost associated with probe generation severely limits <b>access</b> to new <b>probes.</b> We propose a large scale public-private partnership as a new approach which offers economies of scale, minimized redundancy, and sharing of risk and cost...|$|R
40|$|A field {{methodology}} {{is presented}} for {{the measurement of}} the soil hydraulic conductivity in a sloping field, minimizing the leveling soil movement before water pounding and redistribution. The assurance of vertical flow only is performed through soil water potential isolines. The hydraulic conductivity {{was determined by the}} instantaneous profile method. Results for the nine neutron <b>probe</b> <b>access</b> tubes indicate that one single K(theta) relation is sufficient to represent the experimental site...|$|R
40|$|Ultrasonic testing system yields data on elastic {{constants}} of matrix/fiber laminated composite material. Related to one {{described in}} "Ultrasonic System Measures Elastic Properties of Composites" (NPO- 18729). Tests performed nondestructive, and involve <b>access</b> by ultrasonic <b>probes</b> {{to only one}} side of material specimen. In comparison with other available ultrasonic testing systems, this system relatively inexpensive, and based on testing technique that is simpler and rapidly yields more-accurate results...|$|R
5000|$|Coupling Heidegger's tool-analysis {{with the}} phenomenological {{insights}} of Edmund Husserl, Harman introduces {{two types of}} objects: real objects and sensual objects. Real objects are objects that withdraw from all experience, whereas sensual objects are those that exist only in experience. Additionally, Harman suggests two kinds of qualities: sensual qualities, or those found in experience, and real qualities, which are <b>accessed</b> through intellectual <b>probing.</b> Pairing sensual and real objects and qualities yields the following framework: ...|$|R
50|$|Within these {{refrigerators}} and freezers, vaccines {{are also}} compromised through improper {{use of the}} door gasket to feed cables from data loggers and thermometers, allowing excess warm air in, and cold {{air out of the}} refrigerator or freezer. Over time this causes the compressor to work harder and eventually leads to failure. This can be remedied by using <b>probe</b> <b>access</b> ports, found on most clinical refrigerators and freezer. These are easy to open up and drastically reduce air intake and loss from inside the units.|$|R
40|$|AbstractWe explore model-independent {{collider}} {{constraints on}} light Majorana dark matter particles. We find that colliders provide a complementary probe of WIMPs to direct detection, {{and give the}} strongest current constraints on light DM particles. Collider experiments can <b>access</b> interactions not <b>probed</b> by direct detection searches, and outperform direct detection experiments by about {{an order of magnitude}} for certain operators in a large part of parameter space. For operators which are suppressed at low momentum transfer, collider searches have already placed constraints on such operators limiting their use as an explanation for DAMA...|$|R
40|$|Background—High {{attrition}} {{rates in}} drug discovery call for {{new approaches to}} improve target validation. Academia is filling gaps, but often lacks the experience and resources of the pharmaceutical industry resulting in poorly characterized tool compounds. Discussion—The SGC has established an open <b>access</b> chemical <b>probe</b> consortium, currently encompassing ten pharmaceutical companies. One of its mandates is to create well-characterized inhibitors (chemical probes) for epigenetic targets to enable new biology and target validation for drug development. Conclusion—Epigenetic probe compounds {{have proven to be}} very valuable and have not only spurred a plethora of novel biological findings, but also provided starting points for clinical trials. These probes have proven to be critical complementation to traditional genetic targeting strategies and provided sometimes surprising results. The term epigenetics was coined by Conrad Waddington in 1942, providing us with the memorable picture of the epigenetic landscape. In his famous picture of marbles running down a grooved hill toward a wall, he combined views of genetics and developmenta...|$|R
40|$|The neutron probe {{is a tool}} {{employed}} for the measurement of water content in a soil mass. The presence of {{a gap between the}} soil and the neutron <b>probe</b> <b>access</b> tube, filled with either air or water, inevitably introduces a systematic error in neutron probe readings. In this study, experimental investigations and numerical analyses were carried out to evaluate the effects of this gap on neutron probe calibration. The numerical model was developed based on the multigroup neutron diffusion equations and the finite element method. The experiments were conducted in a heavy clay soil. The results show that an air gap of 2. 5 - 30 mm between the soil and a 50 -mm-diameter aluminium tube could lead to an underestimation of soil water content by 5 - 45 %, but significant underestimation was apparent for air gaps < 10 mm. It is also found that the neutron count is significantly overestimated if the gap around the access tube is filled with water rather than air, but this effect is most significant for larger gaps. The results of this research clearly indicate that a gap between the neutron <b>probe</b> <b>access</b> tube and the soil profile should be avoided during field installation, and that if a gap between the access tube and soil develops during service, a systematic error will be introduced into measurements...|$|R
40|$|We explore model-independent {{collider}} {{constraints on}} light Majorana dark matter particles. We find that colliders provide a complementary probe of WIMPs to direct detection, {{and give the}} strongest current constraints on light DM particles. Collider experiments can <b>access</b> interactions not <b>probed</b> by direct detection searches, and outperform direct detection experiments by about {{an order of magnitude}} for certain operators in a large part of parameter space. For operators which are suppresssed at low momentum transfer, collider searches have already placed constraints on such operators limiting their use as an explanation for DAMA. Comment: 4 pages, 6 figure...|$|R
40|$|There is a {{dire need}} for tools that can rapidly detect cancer {{treatment}} efficacy. A cancer patient must endure {{the side effects}} of chemotherapy and radiotherapy. It will be weeks before a change {{in the size of the}} tumor can be observed and the oncologist has the information necessary to determine whether treatment is working. Valuable time is lost searching for the right treatment and the right dose. This thesis presents a sensor that can be implanted inside the body during a biopsy procedure and wirelessly report on the tissue environment. The sensor has direct access and can track metabolic markers, such as pH and oxygen, which have been shown to predict outcome, dose, and response to cancer treatment. These markers cannot be measured anywhere else except directly inside the tissue, and this sensor provides that <b>access.</b> The <b>probe</b> allows for repeat, non-invasive measurement of the same location after the initial biopsy. The sensor consists of a small nuclear magnetic resonance (NMR) probe that has a cavity filled with a contrast agent sensitive to the chemical of interest. An NM...|$|R
40|$|Radio-frequency {{dispersive}} read-out {{can provide}} a useful probe to nano-scale structures such as nano-wire devices, especially when the implementation of charge sensing is not straightforward. Here we demonstrate dispersive `gate-only' read-out of phosphor donors in a silicon nano-scale transistor. The technique enables access to states that are only tunnel-coupled to one contact, which is not easily achievable by other methods. This allows us to locate individual randomly placed donors in the device channel. Furthermore, the setup is naturally compatible with high bandwidth <b>access</b> to the <b>probed</b> donor states and may aid {{the implementation of a}} qubit based on coupled donors. Comment: 4 pages, 3 figures, accepted for publicatio...|$|R
40|$|The {{main goal}} of this thesis is to {{investigate}} the complexity {{of a variety of}} problems related to text indexing and text searching. We present new data structures that can be used as building blocks for full-text indices which occupies minute space (FM-indexes) and wavelet trees. These data structures also can be used to represent labeled trees and posting lists. Labeled trees are applied in XML documents, and posting lists in search engines. The main emphasis of this thesis is on lower bounds for time-space tradeoffs for the following problems: the rank/select problem, the problem of representing a string of balanced parentheses, the text retrieval problem, the problem of computing a permutation and its inverse, and the problem of representing a binary relation. These results are divided in two groups: lower bounds in the cell probe model and lower bounds in the indexing model. The cell probe model is the most natural and widely accepted framework for studying data structures. In this model, we are concerned with the total space used by a data structure and the total number of <b>accesses</b> (<b>probes)</b> it performs to memory, while computation is free of charge. The indexing model imposes an additional restriction on the storage: the object in question must be stored in its raw form together with a small index that facilitates an efficient implementation of a given set of queries, e. g. finding rank, select, matching parenthesis, or an occurrence of a given pattern in a given text (for the text retrieval problem). We propose a new technique for proving lower bounds in the indexing model and use it to obtain lower bounds for the rank/select problem and the balanced parentheses problem. We also improve the existing techniques of Demaine and Lopez-Ortiz using compression and present stronger lower bounds for the text retrieval problem in the indexing model. The most important result of this thesis is a new technique for cell probe lower bounds. We demonstrate its strength by proving new lower bounds for the problem of representing permutations, the text retrieval problem, and the problem of representing binary relations. (Previously, there were no non-trivial results known for these problems.) In addition, we note that the lower bounds for the permutations problem and the binary relations problem are tight {{for a wide range of}} parameters, e. g. the running time of queries, the size and density of the relation...|$|R
40|$|X-ray {{scattering}} using highly brilliant x-ray free-electron laser (FEL) radiation provides new <b>access</b> to <b>probe</b> free-electron density, {{temperature and}} ionization in near-solid density plasmas. First experiments at the soft x-ray FEL FLASH at DESY, Hamburg, show {{the capabilities of}} this technique. The ultrashort FEL pulses in particular can probe equilibration phenomena occurring after excitation of the plasma using ultrashort optical laser pumping. We have investigated liquid hydrogen and find that the interaction of very intense soft x-ray FEL radiation alone heats the sample volume. As the plasma establishes, photons from the same pulse undergo scattering, thus probing the transient, warm dense matter state. We find a free-electron density of (2. 6 ± 0. 2) × 1020 cm- 3 and an electron temperature of 14 ± 3. 5 eV. In pump-probe experiments, using intense optical laser pulses to generate more extreme states of matter, this interaction of the probe pulse has {{to be considered in}} the interpretation of scattering data. In this paper, we present details of the experimental setup at FLASH and the diagnostic methods used to quantitatively analyse the data. © 2010 IOP Publishing Ltd...|$|R
40|$|We {{discuss a}} variety of {{biological}} targets including generic biomembranes and the membranes of the endoplasmic reticulum, endosomes/lysosomes, Golgi body, mitochondria (outer and inner membranes) and the plasma membrane of usual fluidity. For each target, we discuss the <b>access</b> of <b>probes</b> to the target membrane, probe uptake into the membrane and the mechanism of selectivity of the probe uptake. A statement of the QSAR decision rule that describes the required physicochemical features of probes that enable selective staining also is provided, followed by comments on exceptions and limits. Examples of probes typically used to demonstrate each target structure are noted and decision rule tabulations are provided for probes that localize in particular targets; these tabulations show distribution of probes in the conceptual space defined by the relevant structure parameters (“parameter space”). Some general implications and limitations of the QSAR models for probe targeting are discussed including the roles of certain cell and protocol factors that play significant roles in lipid staining. A case example illustrates the predictive ability of QSAR models. Key limiting values of the head group hydrophilicity parameter associated with membrane-probe interactions are discussed in an appendix...|$|R
40|$|A {{study was}} {{undertaken}} to obtain estimates for recharge to groundwater through glacial till. The work {{was carried out}} in support of the Hydrogeological Classification of Superficial Clays programme; a cofunded programme of research between BGS and the National Rivers Authority. Estimates were made using data from Bacon Hall, {{one of a series of}} sites used to monitor the Shropshire Groundwater Scheme. The sites are instrumented to measure the effect on soil moisture due to the pumping of wells, installed to enhance flows in the River Severn during dry periods. Each site consists of two piezometers, two neutron <b>probe</b> <b>access</b> tubes and a nest of tensiometers. A value of 167 mm of groundwater recharge was obtained for 1989 - 90. This is 28. 8...|$|R
40|$|We present {{numerical}} {{studies of}} femtosecond time-resolved probes of coupled wave packet dynamics in model polyatomic systems. Of specific {{interest is the}} possibility of using the structure and symmetry of the final states <b>accessed</b> by the <b>probe</b> field to discern vibrational energy flow. Simple wave packets can often exhibit classical localization, thus facilitating a mechanistic, trajectory-like picture of the quantum dynamics. This feature, however, does not necessarily survive in complex multidimensional problems due to differing quantum mechanical dephasing rates in different degrees of freedom. To recover a classical-like picture of energy flow between coupled vibrational modes, we introduce a final-state-resolved measure of wave packet dynamics, a low-frequency band-pass filter of the signal, which is specifically sensitive to intermode energy flow. Peer reviewed: YesNRC publication: Ye...|$|R
40|$|Motivation: The {{processing}} of the Affymetrix GeneChip data {{has been a}} recent focus for data analysts. Alternatives to the original procedure have been proposed {{and some of these}} new methods are widely used. Results: The affy package is an R package of functions and classes for the analysis of oligonucleotide arrays manufactured by Affymetrix. The package is currently in its second release, affy provides the user with extreme flexibility when carrying out an analysis and make it possible to <b>access</b> and manipulate <b>probe</b> intensity data. In this paper, we present the main classes and functions in the package and demonstrate how they can be used to process probe-level data. We also demonstrate the importance of probe-level analysis when using the Affymetrix GeneChip platform. Contact...|$|R
40|$|Interaction of {{metallic}} structures with {{electromagnetic radiation}} {{is a living}} topic of near-field optics including plasmonics and nanophotonics. The field-matter interaction treated on the subwavelength scale opens the path {{to a wide range}} of applications, among others to different variants of the surface enhanced spectroscopy. In this thesis we theoretically describe how the near-field properties of the metallic structures can be <b>accessed</b> by a <b>probe</b> of near-field scanning optical microscope. Formation of the signal in the near-field microscopy utilizing weakly interacting probes is discussed. Further, we elucidate the mechanism of the surface enhanced infrared spectroscopy. We utilize a model example of linear dipole antennas interacting with sample structures. A close connection is found between the spectroscopic signal and signal of the scattering type near-field optical microscopy...|$|R
40|$|International audienceWe present {{numerical}} {{studies of}} femtosecond time-resolved probes of coupled wave packet dynamics in model polyatomic systems. Of specific {{interest is the}} possibility of using the structure and symmetry of the final states <b>accessed</b> by the <b>probe</b> field to discern vibrational energy flow. Simple wave packets can often exhibit classical localization, thus facilitating a mechanistic, trajectory-like picture of the quantum dynamics. This feature, however, does not necessarily survive in complex multidimensional problems due to differing quantum mechanical dephasing rates in different degrees of freedom. To recover a classical-like picture of energy flow between coupled vibrational modes, we introduce a final-state-resolved measure of wave packet dynamics, a low-frequency band-pass filter of the signal, which is specifically sensitive to intermode energy flow...|$|R
40|$|Approved {{for public}} release: {{distribution}} is unlimitedAn annular turbine cascade, designed for laser-Doppler velocimetry, was further modified {{to provide additional}} laser and pressure <b>probe</b> <b>access.</b> The purpose of the research was to devise laser anemometry measurement techniques in a confined annulus and improve the ability to compare numerical predictions with experimental results. Flowfield computations were completed using a viscous flow solver, with the numerical exit plane coincident with experimental measurement location. A data reduction program was written to transfer nondimensional numerical output to the experimental coordinate system for comparison of total pressure ratio, Mach number and flow angle. Endwall two-dimensional laser measurements were obtained through a 1. 0922 millimeter hole {{to a depth of}} approximately three millimeters[URL] Commander, United States Nav...|$|R
40|$|International audienceX-ray {{scattering}} using highly brilliant X-ray free-electron laser (FEL) radiation {{provides a}} new <b>access</b> to <b>probe</b> free electron density, temperature and ionization in near-solid density plasmas. First experiments at the soft X-ray FEL FLASH at DESY, Hamburg, show {{the capabilities of}} this technique. The ultrashort FEL pulses in particular can probe equilibration phenomena occurring after excitation of the plasma using ultrashort optical laser pumping. We have investigated liquid hydrogen and find that the interaction of very intense soft X-ray FEL radiation alone heats the sample volume. As the plasma establishes, photons from the same pulse undergo scattering, thus probing the transient, warm dense matter state. We find a free electron density of (2. 6 ± 0. 2) · 10 20 cm − 3 and an electron temperature of 14 ± 3. 5 eV. In pump-probe experiments, using intense optical laser pulses to generate more extreme states of matter, this interaction of the probe pulse has {{to be considered in}} the interpretation of scattering data. In this paper we present details of the experimental setup at FLASH and the diagnostic methods used to quantitatively analyze the data. Probing near-solid density plasmas using soft X-ray scattering 2 Plasma production and heating by laser beams Probing near-solid density plasmas using soft X-ray scattering...|$|R
40|$|ASLR is {{no longer}} a strong defense in itself, but it still serves as a {{foundation}} for sophisticated defenses that use randomization for pseudo-isolation. Crucially, these defenses hide sensitive information (such as shadow stacks and safe regions) at a random position in a very large address space. Previous attacks on randomization-based information hiding rely on complicated side channels and/or probing of the mapped memory regions. Assuming no weaknesses exist in the implementation of hidden regions, the attacks typically lead to many crashes or other visible side-effects. For this reason, many researchers still consider the pseudo-isolation offered by ASLR sufficiently strong in practice. We introduce powerful new primitives to show that this faith in ASLR-based information hiding is misplaced, and that attackers can break ASLR and find hidden regions on 32 bit and 64 bit Linux systems quickly with very few malicious inputs. Rather than building on memory <b>accesses</b> that <b>probe</b> the allocated memory areas, we determine the sizes of the unallocated holes in the address space by repeatedly allocating large chunks of memory. Given the sizes, an attacker can infer the location of the hidden region with few or no side-effects. We show that allocation oracles are pervasive and evaluate our primitives on real-world server applications...|$|R
40|$|The {{development}} of imaging and therapeutic agents against neuronal targets is {{hampered by the}} limited <b>access</b> of <b>probes</b> into {{the central nervous system}} across the blood-brain barrier (BBB). The evaluation of drug penetration into the brain in experimental models often requires complex procedures, including drug radiolabeling, as well as determinations in multiple animals for each condition or time point. Prospective in vivo imaging of drug biodistribution may provide an alternative to "classical" pharmacokinetics and biodistribution studies in that a contrast-enhanced imaging signal could serve as a surrogate for the amount of drug or biologic delivered to the organ of interest. For the brain-targeting applications, it is necessary to develop formulation strategies that enable a simultaneous drug and contrast agent delivery across the BBB. In this chapter, we describe methods for encapsulating drugs into liposome nanocarriers with surface display of both the imaging contrast agent for one or multiple imaging modalities and the single-domain antibody that undergoes receptor-mediated transcytosis across the BBB. Contrast-enhanced imaging signal detected in the brain after intravenous injection of such formulation(s) is proportional to the amount of drug delivered into the brain parenchyma. This method allows for a prospective, noninvasive estimation of drug delivery, accumulation, and elimination from the brain. Peer reviewed: YesNRC publication: Ye...|$|R
50|$|Currently IBM {{provides}} the following probe providers on AIX 6.1: syscall, uft, interval, trace, and the probevue probes (BEGIN and END). The syscall provider defines probe points for {{a subset of}} the available system calls. User Function Tracing (uft) probes can be defined for entry points of functions defined in a C or C++ program. Both syscall and uft probes must include a valid function prototype in the Vue script before function parameters (for the entry probes) or return values (for syscall exit probes only) can be <b>accessed.</b> The interval <b>probes</b> fire on a timer and can be defined on 100 millisecond intervals. The trace provider allows ProbeVue to access traditional trace hooks. Finally the probevue probes called BEGIN and END will fire as the probevue environment itself starts and exits.|$|R
