1|2719|Public
50|$|<b>Aircraft</b> <b>Maintenance</b> <b>Mechanic</b> (AMM).|$|E
50|$|<b>Aircraft</b> <b>Maintenance</b> and Engineering Corporation Limited {{known as}} Ameco Beijing {{is the largest}} <b>aircraft</b> <b>maintenance</b> {{supplier}} in mainland China.|$|R
5000|$|... 6. Diploma in <b>Aircraft</b> <b>Maintenance</b> Engineering TechnologyFor {{those who}} want to be become <b>aircraft</b> <b>maintenance</b> {{engineer}} with EASA Part 66.|$|R
5000|$|Pegasus <b>Aircraft</b> <b>Maintenance</b> Services, LLC, {{based in}} Anchorage, Alaska, {{provides}} <b>aircraft</b> <b>maintenance</b> and ground support {{services at the}} Ted Stevens Anchorage International Airport, in Anchorage, Alaska.|$|R
5000|$|Right {{to confer}} {{doctoral}} degrees: machine design and <b>maintenance,</b> <b>mechanics</b> ...|$|R
5000|$|An <b>Aircraft</b> <b>Maintenance</b> Engineer (AME), also Licensed <b>Aircraft</b> <b>Maintenance</b> Engineer (LAME or L-AME), is a {{licensed}} person who carries out and certifies <b>aircraft</b> <b>maintenance.</b> The license is widespread internationally and is recognised by the International Civil Aviation Organization (ICAO). The American FAA recognise the qualification {{in foreign countries}} but {{refer to it as}} Aviation Maintenance Engineer rather than [...] "Aircraft...".|$|R
50|$|Guangzhou <b>Aircraft</b> <b>Maintenance</b> Engineering Company Limited (Chinese:广州飞机维修工程有限公司), {{better known}} as GAMECO, is an <b>aircraft</b> <b>maintenance</b> company in Guangzhou, China. Located at Guangzhou Baiyun International Airport, GAMECO {{provides}} maintenance, repair and overhaul (MRO) services.|$|R
50|$|It was 2006, when Indian Aerospace & Engineering started {{successfully}} conducting <b>Aircraft</b> <b>Maintenance</b> Engineering course, {{which was}} backed by the Leading Sha-Shib Group, possessing {{the largest number of}} approved <b>Aircraft</b> <b>Maintenance</b> Engineering training institutes.|$|R
5000|$|... 15th Consolidated <b>Aircraft</b> <b>Maintenance</b> Squadron (later 15th Field Maintenance Squadron, 15th Consolidated <b>Aircraft</b> <b>Maintenance</b> Squadron): 8 July 1957 - 1 July 1960, 1 July 1962 - 1 July 1971, 1 November 1971 - 13 April 1992 ...|$|R
50|$|Cotswold Airport {{is home to}} Chevron <b>Aircraft</b> <b>Maintenance</b> Ltd. Chevron is an EASA part 145 {{approved}} <b>aircraft</b> <b>maintenance</b> {{facility and}} has been based at the airport since January 2004, carrying out maintenance, storage and dismantling of aircraft.|$|R
50|$|April 1981 - May 1984, {{officer in}} charge, Maintenance Branch, 1st Equipment Maintenance Squadron; {{assistance}} officer in charge, 94th <b>Aircraft</b> <b>Maintenance</b> Unit; and officer in charge, 71st <b>Aircraft</b> <b>Maintenance</b> Unit, 1st <b>Aircraft</b> Generation Squadron, Langley AFB, Va.|$|R
5000|$|The {{institution}} {{is the largest}} aerotechnical college in North America and the only institution in Quebec to offer comprehensive training [...] in avionics, Aerospatiale Engineering and <b>aircraft</b> <b>maintenance</b> (including an <b>aircraft</b> <b>maintenance</b> program offered in English [...] ).|$|R
50|$|Aviation Repair Technologies (ART) is an <b>aircraft</b> <b>maintenance</b> {{company based}} in Blytheville, Arkansas (one hour north of Memphis, TN). It {{performs}} <b>aircraft</b> heavy <b>maintenance,</b> <b>aircraft</b> component repair, <b>aircraft</b> line <b>maintenance,</b> <b>aircraft</b> storage, and aircraft disassembly. The company was founded in 1998 and currently has 5 line maintenance locations {{in addition to its}} headquarters in Arkansas. The company has approximately 200 employees.|$|R
50|$|African Express Airways has an Associate Jet <b>Aircraft</b> <b>Maintenance</b> Company {{located near}} its head offices. Jet <b>Aircraft</b> <b>Maintenance</b> Ltd is a firm {{specialized}} in jet <b>aircraft</b> <b>maintenance,</b> which ranges from 'A' to 'B', 'C' and 'D' checks for most medium-range aircraft of Western manufacture. The {{company has a}} new in situ hangar equipped with all facilities, including maintenance hangar rental services for third parties who may have their own engineers and approvals.|$|R
25|$|OGMA – Indústria Aeronáutica de Portugal (Alverca do Ribatejo, Portugal) – <b>aircraft</b> {{component}} <b>maintenance,</b> {{repair and}} manufacturing, plus <b>aircraft</b> <b>maintenance</b> services.|$|R
50|$|Foster <b>Aircraft</b> <b>Maintenance</b> Ltd.|$|R
50|$|In 1993, Shenandoah Valley Regional Airport Commission {{closed its}} 25-year-old <b>aircraft</b> <b>maintenance</b> shop {{because it was}} barely {{breaking}} even in costs. The Commission decided that a private company, Classic Aviation Services Inc., would provide <b>aircraft</b> <b>maintenance</b> services at the airport.|$|R
5000|$|The {{selective}} {{or complete}} paint stripping, known as selective laser coating removal (SLCR) {{in the field}} of <b>Aircraft</b> <b>maintenance</b> or repair; this selective stripping process was approved in 2001 as the first laser stripping process by OEM’s and <b>Aircraft</b> <b>maintenance</b> centres.|$|R
5000|$|In Marine {{aircraft}} squadrons MSgts usually {{serve as}} NCOICs of the ordnance and avionics {{divisions in the}} <b>aircraft</b> <b>maintenance</b> department. The <b>Aircraft</b> <b>Maintenance</b> Chief/NCOIC is usually a MGySgt (q.v.), and there are eight aviation-related MSgt billets in each Marine Aviation Logistics Squadron (MALS). (A MALs is organic to each Marine Aircraft Group (MAG) and performs intermediate aviation supply, <b>aircraft</b> <b>maintenance</b> (including aviation life support equipment and avionics), and aviation ordnance support for its supported aircraft squadrons.) ...|$|R
40|$|This work {{illustrates}} {{how to calculate}} accurate <b>aircraft</b> <b>maintenance</b> costs using Activity Based Costing (ABC). Comparing to traditional cost calculation, the proposed method is useful for <b>aircrafts</b> <b>maintenance</b> activity integrated to Airline Company and who wants to diversify its revenue by selling some available maintenance slots to third party clients for a competitive price. This paper takes base maintenance check process of a Moroccan airline <b>aircrafts</b> <b>maintenance</b> activity as a case study. The actual method used to calculate <b>aircraft</b> <b>maintenance</b> check cost cant not be applied to third party client pricing system. The ABC method shows substantial benefits if it is successfully implemented. Data collection through interviews and questionnaires are the main sources to this study...|$|R
40|$|Abstract. This paper {{addresses}} how {{to discover}} wind erosion of aircraft components {{in time and}} to take appropriate measures to repair and prevent damage, thereby reducing the cost of <b>aircraft</b> <b>maintenance</b> and prolonging <b>aircraft</b> service life. The authors of this paper have extensively compiled and studied civilian <b>aircraft</b> <b>maintenance</b> data {{in the recent years}} from Guangzhou <b>Aircraft</b> <b>Maintenance</b> Engineering Co. Ltd. In this paper they discuss the aircraft components most susceptible to wind erosion, as well as repair methods and prevention mechanisms. These findings can serve as a reference and a guide to civilian <b>aircraft</b> flight <b>maintenance,</b> repair, and routine inspections...|$|R
50|$|Falcon Air Inc. offers fueling, oxygen, parking, <b>{{aircraft}}</b> <b>maintenance,</b> <b>aircraft</b> modifications, aircraft parts, {{and aircraft}} sales/leasing/brokerage services.|$|R
25|$|Lufthansa Technik, <b>aircraft</b> <b>maintenance</b> providers.|$|R
