1|62|Public
5000|$|Lutjanus dentatus (A. H. A. Duméril, 1861) (<b>African</b> <b>brown</b> <b>snapper)</b> ...|$|E
60|$|After supper, Rectus and I {{went to see}} the <b>African</b> governor, Goliah <b>Brown.</b> He was a good-natured old colored man, {{who lived}} in a house a trifle better than most of those {{inhabited}} by his fellow-countrymen. The main room was of a fair size, and there was a centre-table, with some books on it.|$|R
50|$|The {{blackstart}} is 14 cm {{long and}} {{is named for}} its black tail, which is frequently fanned; {{the rest of its}} plumage is bluish-grey or grey-brown (North <b>African</b> races being <b>browner,</b> Middle Eastern races bluer). The sexes are similar. The song is a clear melancholy whistle: CHURlee...TRUloo...CHURlee...TRUlur..., with short phrases from the song used as a call.|$|R
40|$|Abstract—Although {{there have}} been {{numerous}} studies involving fish, birds, and mammals, {{little is known about the}} response of the cytochrome P 4501 A system of snakes to halogenated aromatic hydrocarbons (HAHs). The present study describes the induction of ethoxyresorufin-O-deethylase (EROD) in primary hepatocytes of the <b>African</b> <b>brown</b> house snake (Lamprophis fuliginosus). Hepatocytes were exposed in multiwell plates to 2, 3, 7, 8 -tetrachlorodibenzo-p-dioxin (TCDD) and four different non-ortho-substi-tuted coplanar polychlorinated biphenyls (PCBs 77, 81, 126, and 169). Exposure to TCDD and PCB 126 resulted in a dose-dependent increase in EROD activity, with maximum inducible EROD activities of 177 6 56 (mean 6 SEM) and 101. 1 6 55 pmol/min/mg protein for TCDD and PCB 126, respectively. None of the other PCBs caused a measurable induction of EROD, which suggests reduced inducibility of snake hepatocytes compared to some vertebrate taxa. Median effective concentrations (EC 50 s) were 0. 16 6 0. 03 nM for TCDD and 8. 25 6 4. 14 nM for PCB 126. The relative potency (REP 20 – 80) range for PCB 126 was 0. 044 to 0. 046. Compared to results from in vitro systems using other vertebrate species, both the maximum inducibility and the REPs estimated for L. fuliginosus were within the same range as those reported for mammals and the more sensitive bird species but were greater than the values reported for most fish species. In conclusion, induction of EROD activity in primary hepatocytes appears to be a useful approach for evaluating the dioxin-like potencies of aryl hydrocarbon–receptor agonists in snakes. The test system offers...|$|R
40|$|Five {{artificial}} reef {{sites in the}} vicinity of Tanegashima were investigated through underwater observation, as to the degree of shoaling, scouring, general condition, and fish gathering patterns. These reefs were located in relatively shallow sandy bottom areas, at depths from 12 - 28 m. The reefs are generally of a single layer construction, with the blocks concentrated into an area with a maximum height of only 3 m. The shallow reefs are generally subject to shoaling effects. Regions with sea beds showing sediment transport ripples have the highest shoaling effect. A maximum shoaling rate of 8 - 9 cm/year was calculated for the reefs. Due to the shallow nature of these reefs, schools of the following larval fishes were observed {{in the shadow of the}} reefs: Spratelloides japonicus (banded blue sprat), Apogon semilineatus (bottom perch), Trachurus japonicus (Japanese horse mackerel), Scomber japonicus (mackerel), and Lutjanus vitta (<b>brown</b> striped <b>snapper).</b> Larger fish included Oplegnathus fasciatus (striped beak-perch), Plectorhynchus pictus (painted sweetlip), and Prionurus microlepidotus (surgeon fish), but in limited numbers. In order to form a productive reef, it seems necessary to build a reef in one to two piles, each of a 2 - 3 peaked type, and of a maximum height...|$|R
40|$|Currently, the Ursidae family {{includes}} eight bear species. They {{represent an}} unusual family within {{the order of}} the Carnivores because of their peculiar physiological adaptations related to hibernation. These physiological features, unique in the animal kingdom, make bear a unique model for medical research in full expansion because of its putative clinical applications. This point will be developed in introduction of this manuscript. Surprisingly, the phylogenetic relationships within the extant Ursid representatives remain unclear. In order to clarify their phylogeny, we sequenced 12 nuclear genes for all the Ursid species (nearly 8 kilobases corresponding to 6 genes implied in the pathway of the thyroid hormones, 3 genes specific to the sexual chromosomes, and 3 other autosomal genes). By concatenating these new data with those available in the sequence databanks, phylogenetic reconstructions (maximum likelihood and bayesian analyses) were carried out on a nuclear DNA dataset of 10 kilobases. It was then possible to refine the phylogeny of the Ursidae family. In addition, based on the study of the genes SRY (Sex determining region of the Y chromosome), ZFX/ZFY (Zinc Finger protein) and AMLX/AMLY (Amelogenine), we developed a reliable method to determine the sex of Ursidae based on the analysis of DNA extracted from non invasive samples such as hairs or faeces. If this tool has obvious implication for the conservation biology of Ursidae (most of the extant species are threatened with extinction), it also opens new prospects in palaeontology. This kind of analysis was indeed applied to samples of fossils of North <b>African</b> <b>brown</b> bears (Ursus arctos). The last chapter of this manuscript illustrates how the palaeogenetics can help palaeontology interpreting the variability of fossil forms...|$|R
40|$|Real-time {{quantitative}} {{reverse transcription}} PCR (qRT-PCR) {{is a technique}} widely used to quantify the transcriptional expression level of candidate genes. qRT-PCR requires the se-lection of one or several suitable reference genes, whose expression profiles remain stable across conditions, to normalize the qRT-PCR expression profiles of candidate genes. Al-though several butterfly species (Lepidoptera) have become important models in molecular evolutionary ecology, so far no study aimed at identifying reference genes for accurate data normalization for any butterfly is available. The <b>African</b> bush <b>brown</b> butterfly Bicyclus any-nana has drawn considerable attention owing to its suitability {{as a model for}} evolutionary ecology, and we here provide a maiden extensive study to identify suitable reference gene in this species. We monitored the expression profile of twelve reference genes: eEF- 1 α...|$|R
5000|$|Richard Lewis Brown, {{known as}} R. L. Brown (1854-1948), was a builder and state {{politician}} {{who lived in}} Jacksonville, Florida. An <b>African</b> American, <b>Brown</b> was born in South Carolina and moved {{with his family to}} Florida after the American Civil War, first to Lake City and then Jacksonville. He was married in 1875 and worked as a carpenter, farmer, and minister. He served two terms in the Florida House of Representatives from 1881 to 1884. He worked construction for the Duval County school board and has a school named after him. He was the contractor for Centennial Hall at Edward Waters College. R.L. Brown was {{also a member of the}} Omega Psi Phi Fraternity, Inc. and contributed as a charter member for the Jacksonville chapter.http://www.thetaphiques.com/thetaphichapter/thetaphichapter.html ...|$|R
25|$|At Morris <b>Brown</b> <b>African</b> Methodist Episcopal Church in Charleston, {{numerous}} {{people of}} different races and religions attended a ceremony commemorating the victims and they proclaimed that the attack would not divide the community. Another such ceremony occurred at the TD Arena in the College of Charleston. On June 21, {{four days after the}} shooting, Emanuel AME Church reopened for its Sunday worship service. The Rev. Dr. Norvel Goff Sr., Presiding Elder of Emanuel AME Church, delivered the sermon.|$|R
40|$|Anti-ectoparasite {{vaccines}} offer attractive {{alternatives to}} the use of chemical pesticides, especially if they also control the pathogens that ectoparasites transmit. However, selection of suitable antigens is a major constraint on vaccine development. The recombinant tick cement protein, 64 TRP, derived from the <b>African</b> <b>brown</b> ear tick, Rhipicephalus appendiculatus, acts as a transmission-blocking vaccine in a mouse model of tick-borne encephalitis virus (TBEV) transmission, protecting immunised mice against lethal challenge with TBEV after exposure to infected ticks. 64 TRP acts as a dual action vaccine, targeting both ‘exposed’ antigens in tick saliva and ‘concealed’ antigenic epitopes in the tick midgut. To assess further the suitability of 64 TRP as a vaccine antigen, we examined the function (including localisation) of the protein, and its sequence variability. Histological profiles of normal hamster skin showed similarities between normal skin proteins in the epidermis (keratin) and dermis (collagen/reticulin) and the tick cement cone. Immuno-reactivity of anti- 64 TRP sera with hamster skin suggests a potential sequence similarity of 64 P with host skin proteins and may reflect previously reported sequence similarities of 64 P with skin keratin and collagen proteins. Variability in the N-terminal signal peptide and in the C-terminal glycine-rich amino acid repeats of 64 P protein was detected; previous studies showed the C-terminal region to be immunologically non-protective. Using in situ hybridisation and quantitative reverse transcriptase-PCR, 64 P mRNA was detected in the types II and III salivary gland acini. The highest levels of 64 P mRNA were observed in 1 -day fed females, and 1 - and 7 -day fed males. Salivary glands of longer feeding females and unfed ticks as well as midguts of both sexes were negative. Early expression in tick salivary glands is consistent with previously published data that 64 P is a cement protein, and contributes to its candidacy as a vaccine antigen. However, further studies are required to assess whether cross-reactivity with skin proteins may induce autoimmunity. ...|$|R
40|$|Different {{varieties}} of finger millet (Eleusine coracana Gaertn.) were screened for esterase activity colorimetrically and electrophoretically using 1 -naphthyl acetate and acetylthiocholine chloride as substrates. The Indian brown seed coat variety (Purna), the Indian white seed coat variety (Hamsa), hybrids of these designated as HPB (brown) and HPW (white), <b>African</b> varieties (<b>brown)</b> and Indian-African hybrid varieties (brown) all exhibited 1 -naphthyl acetate hydrolysing activity and showed 6, 5, 6, 5, 8 and 8 esterolytic bands respectively on gel electrophoresis. The white seed coat varieties, both parental (Hamsa) and hybrid (HPW), did not possess any acetylthiocholine chloride hydrolysing activity {{while all the}} brown seed coat varieties did, the African varieties having greater activities than Indian brown seed coat varieties. Thus, the demonstrable variation in esterase isozymic pattern and cholinester hydrolysing activity with the varieties tested provides a useful genetic marker for identifying different {{varieties of}} finger millet...|$|R
50|$|Peter Brown {{was born}} in Durban on 24 December 1924 to a wealthy family. While the Peter was seven, his father was killed during a polo game. Despite this, Peter was a keen polo player, later clandestinely playing polo outside the {{restriction}} zone of his 60s banning order. He was educated privately at Michaelhouse, where he excelled. He joined the army at 17 and served in Egypt and then Italy. Following World War 2 he began studies in agriculture at Cambridge. He left this university {{in his first year}} after being inspired by South African writer Peter Abrahams to return home. Back in South Africa, he studied <b>African</b> languages (<b>Brown</b> became fluent in Zulu) and ‘Native Law and Administration’ at the University of Cape Town. In the 1950s the Local Health Commission in Pietermaritzburg employed Brown. Here he helped start the Edendale YMCA and KwaHlenga Bantu (Edendale Cripple Care).|$|R
5000|$|Brown {{began his}} {{teaching}} career with positions at several universities, including Lincoln University and Fisk University, {{before returning to}} Howard in 1929. He was a professor there for 40 years. Brown's poetry used the south for its setting and showed slave experiences of the <b>African</b> American people. <b>Brown</b> often imitated southern African-American speech, using [...] "variant spellings and apostrophes to mark dropped consonants". He taught and wrote about African-American literature and folklore. He was {{a pioneer in the}} appreciation of this genre. He had an [...] "active, imaginative mind" [...] when writing and [...] "a natural gift for dialogue, description and narration".|$|R
2500|$|Her father James E Brown hired {{attorney}} W.C. Burnett, and Charlotte Brown {{brought a}} lawsuit against the Omnibus Railroad Company for $200. African Americans had just won the right to testify against whites that same year. [...] The Omnibus Railroad argued that its conductor's action was justified because racial segregation protected white women and children who might be fearful or 'repulsed' by riding in the same car as <b>African</b> Americans. [...] <b>Brown</b> won her case, presided over by Judge Cowles, [...] but the jury only awarded her twenty five dollars. [...] The conductor, Dennison, was convicted in criminal court of assault and battery against Brown.|$|R
5000|$|In the 1954 Brown v. Board of Education, the United States Supreme Court {{decision}} {{overturned the}} [...] "separate but equal" [...] doctrine {{implemented in the}} 1896 Plessy v. Ferguson case in schools and required that schools be integrated. The case was brought before the Court in 1952 after <b>African</b> American Oliver <b>Brown</b> tried to enroll his daughter Linda in a local white elementary school and was refused enrollment. He and other African American parents, {{with the help of}} the NAACP sued the Topeka school district, and Thurgood Marshall argued before the Supreme Court in 1952 and 1953 that public school segregation violated the 14th Amendment. The Court decision was unanimous.|$|R
