1|10000|Public
5000|$|... 10 August 2005, <b>collision</b> <b>with</b> <b>pile</b> at No 3 Wharf at Circular Quay ...|$|E
40|$|The {{stability}} of HOC(+) ions under conditions in interstellar molecular clouds is considered. In particular, {{the possibility that}} <b>collisions</b> <b>with</b> helium or hydrogen will induce isomerization to the stable HCO(+) form is examined theoretically. Portions of the electronic potential energy surfaces for interaction with He and H atoms are obtained from standard quantum mechanical calculations. <b>Collisions</b> <b>with</b> He atoms {{are found to be}} totally ineffective for inducing isomerization. <b>Collisions</b> <b>with</b> H atoms are found to be ineffective at low interstellar temperatures owing to a small (about 500 K) barrier in the entrance channel; at higher temperatures where this barrier can be overcome, however, <b>collisions</b> <b>with</b> hydrogen atoms do result in conversion to the stable HCO(+) form. Although detailed calculations are not presented, it is argued that low-energy <b>collisions</b> <b>with</b> H 2 molecules are also ineffective in destroying the metastable ion...|$|R
40|$|A {{literature}} review is made into {{the difference of}} injury severity in <b>collisions</b> <b>with</b> steel or with concrete crash barriers. (See Also B 30350). The following aspects are considered (1) on the hand of foreign literature the average severity of <b>collisions</b> <b>with</b> steel or with concrete barriers is indicated (2) on the hand of Dutch accident data the severity of <b>collisions</b> <b>with</b> steel crash barriers is mentioned (3) on the hand of mathematical simulations th vehicle dynamics at <b>collisions</b> <b>with</b> steel and concrete crash barriers are given, and (4) on the hand of data found in 1 - 3, the average difference in severity is estimated...|$|R
50|$|The race {{stewards}} {{ruled that}} Sato {{had caused the}} <b>collision</b> <b>with</b> Schumacher, and he would consequently drop ten places on the grid for the next Grand Prix. They also fined Pizzonia $8,000 for his <b>collision</b> <b>with</b> Montoya.|$|R
5000|$|There {{have been}} no {{spacecraft}} <b>collisions</b> <b>with</b> any Jovian moons. Note that to avoid <b>collision</b> <b>with</b> Europa and possible contamination by Earth microbes, the NASA Galileo spacecraft was intentionally deorbited into Jupiter's atmosphere on September 21, 2003.|$|R
50|$|Work {{commenced}} on the jetty <b>with</b> <b>piles</b> {{being driven}} into the sand bed at Ellen Cove in late 1899; construction was completed in 1901, {{at a cost of}} £150.|$|R
50|$|After the race, Muller {{was given}} a {{five-place}} grid drop for the next race in Morocco for causing the <b>collision</b> <b>with</b> Bennani. Michelisz was dropped {{a place in the}} results for a <b>collision</b> <b>with</b> Ma {{near the end of the}} race.|$|R
5000|$|... #Caption: SS Andrea Doria {{the morning}} after the <b>collision</b> <b>with</b> the MS Stockholm in fog off Nantucket Island: The hole in her {{starboard}} side from the <b>collision</b> <b>with</b> Stockholm is visible near the waterline about one-third aft of the bow.|$|R
40|$|We {{consider}} a cosmological {{model in which}} our Universe is a spherically symmetric bubble wall in 5 -dimensional anti-de Sitter spacetime. We argue that the bubble on which we live will undergo <b>collisions</b> <b>with</b> other similar bubbles and estimate the spectrum of such collisions. The collision rate {{is found to be}} independent of the age of our Universe. <b>Collisions</b> <b>with</b> small bubbles provide an experimental signature of this scenario, while <b>collisions</b> <b>with</b> larger bubbles would be catastrophic. ...|$|R
50|$|After the {{completion}} of repairs, Ralph Creyke returned to service, but on 16 October 1912, {{less than two months}} after her <b>collision</b> <b>with</b> Derwent, she sank in the North Sea near Flushing, the Netherlands, after a <b>collision</b> <b>with</b> the Danish steamer Viking.|$|R
50|$|Other {{types of}} {{collision}} may occur. Rollovers {{are not very}} common, but lead to greater rates of severe injury and death. Some of these are secondary events that occur after a <b>collision</b> <b>with</b> a run-off-road crash or a <b>collision</b> <b>with</b> another vehicle.|$|R
5000|$|When {{walking into}} the {{gymnasium}} sized warehouse filled <b>with</b> <b>piles</b> of old computers, function generators, lock in amplifiers, microscopes and piles of wires and cables, {{a sign on the}} door reads: ...|$|R
50|$|Jean-Éric Vergne {{was given}} a ten-place grid penalty for the race after causing an avoidable <b>collision</b> <b>with</b> Heikki Kovalainen during the {{previous}} race. Kamui Kobayashi took a five-place grid penalty for the same offence, having caused an avoidable <b>collision</b> <b>with</b> Felipe Massa in Valencia.|$|R
6000|$|Coffee laughed scornfully. [...] "Neale, {{that sounds}} fine, but it's {{impossible}} until the trains get here <b>with</b> <b>piles</b> and timbers, iron, and other stuff. We meant {{to run up}} a trestle then." ...|$|R
40|$|The {{particle}} {{motion in}} an open channel over rough bed is consider. Mainly the process of <b>collision</b> <b>with</b> the bed controls the particle angular velocity. Conditions of the particle-bed collision is discussed. Particle parameters after its <b>collision</b> <b>with</b> bed are calculated based on parameters before collision...|$|R
50|$|Large land-bound animals, such as deer, {{can also}} be a problem to {{aircraft}} during takeoff and landing. Over 1,000 civil aircraft <b>collisions</b> <b>with</b> deer were reported in the U.S. between 1990 and 2013, and another 440 civil aircraft <b>collisions</b> <b>with</b> coyotes were reported during that time.|$|R
50|$|The {{research}} activities of Professor Joachain concern two areas of theoretical physics:1) Quantum collision theory: electron and positron <b>collisions</b> <b>with</b> atomic systems, atom-atom collisions, nuclear reactions, high-energy hadron <b>collisions</b> <b>with</b> nuclei.2) High-intensity laser-atom interactions: multiphoton ionization, harmonic generation, laser-assisted atomic collisions, attophysics, relativistic effects in laser-atom interactions.|$|R
5000|$|A single-vehicle {{collision}} or [...] {{single-vehicle accident}} {{is a type}} of road traffic collision in which only the one vehicle is involved. Included in this category are run-off-road <b>collisions,</b> <b>collisions</b> <b>with</b> fallen rocks or debris in the road, rollover crashes within the roadway, and <b>collisions</b> <b>with</b> animals.|$|R
30|$|You had a <b>collision</b> <b>with</b> a boom gate.|$|R
40|$|Numerical {{analysis}} of spiraling in ion molecule <b>collisions</b> <b>with</b> polar targets using computer plotting techniques. Prepared at Lewis Research Center. "September 1969 " [...] Cover. Includes bibliographical references (p. 28). Numerical {{analysis of}} spiraling in ion molecule <b>collisions</b> <b>with</b> polar targets using computer plotting techniques. Mode of access: Internet...|$|R
30|$|The {{results of}} model {{illustrate}} {{that all of}} the aforementioned distraction-related factors increase the probability of run-off-road crashes, <b>collision</b> <b>with</b> a fixed object, and rear-end crashes. Cognitive distraction increases the probability of <b>collision</b> <b>with</b> a pedestrian. Distractions caused by passengers or out-of-vehicle events increase the probability of sideswipe crashes.|$|R
40|$|The total cross {{sections}} for positron and electron <b>collisions</b> <b>with</b> potassium, sodium, lithium and rubidium are calculated, employing the modified Glauber approximation. The Modified Glauber {{cross sections}} for positron <b>collision</b> <b>with</b> potassium and sodium at low intermediate energies {{are found to}} agree reasonably well with existing experimental data...|$|R
50|$|The tram car may {{be damaged}} during {{derailment}} or <b>collision</b> <b>with</b> other vehicles or pedestrians. Tram derailments are often caused by damaged track, <b>collisions</b> <b>with</b> obstacles, junction failures, or excessive speed at a junction or curve. Additionally, collisions may occur between trams due to faulty junctions or poor driving.|$|R
40|$|Detailed {{theoretical}} {{analyses are}} presented of the projectile-energy dependence {{as well as}} the target dependence of the electron-detachment collision processes, H-+T→H(n= 2) +T*+e-. These analyses are illustrated by calculations of both projectile-frame and laboratory-frame doubly differential cross sections (DDCS’s) for 0. 5 -, 1. 0 -, and 1. 5 -MeV H- <b>collisions</b> <b>with</b> He targets and for 0. 5 -MeV H- <b>collisions</b> <b>with</b> Ne, Ar, Kr, and Xe targets; in addition, we present laboratory frame DDCS’s for 0. 1 -MeV H- <b>collisions</b> <b>with</b> Xe targets. Comparisons with available experimental data are given...|$|R
50|$|In early March 2007, {{ground was}} broken for the {{connection}} from the tunnel {{to the existing}} line. Between March and May 2007, {{the main part of}} the northern approach cutting was secured <b>with</b> <b>piles.</b>|$|R
50|$|A <b>collision</b> <b>with</b> MS Storhaug on April 4, 1966.|$|R
