1|23|Public
5000|$|... 5-speed manual {{transmission}} changed from rod shift to <b>cable</b> <b>shift.</b>|$|E
5000|$|Adweek (or Ad Week) is {{a weekly}} American {{advertising}} trade publication that {{was first published}} in 1978.Adweek covers creativity, client-agency relationships, global advertising, accounts in review, and new campaigns. During this time, it has covered several notable <b>shifts,</b> including <b>cable</b> television, the <b>shift</b> away from commission-based agency fees, and the Internet.|$|R
50|$|In 2016, Fox Sports {{executive}} Jamie Horowitz {{took over}} {{the operations of the}} division's digital properties. Horowitz (who had led the Fox Sports 1 <b>cable</b> channel's <b>shift</b> to opinion-based studio programming rather than general sports news coverage) began to institute new editorial practices at FoxSports.com, proposing that the website's written content be used to promote Fox Sports pundits and their television programs, including Fox Sports 1 hosts Colin Cowherd and Skip Bayless, rather than original reports. During the lead-up to Super Bowl LI, the website piloted an aspect of this content strategy by having articles ghostwritten under the names of FS1 pundits.|$|R
50|$|Silver plus is a two-seater, step-through {{motorcycle}} {{that was}} introduced by Royal Enfield Motors in India in the 1980s. It {{was one of the}} first geared step-through motorcycles in India. It was launched along with Explorer, another mini bike, a two-seater that featured the same engine. While Silver Plus featured a hand operated <b>cable</b> link gear <b>shifts,</b> Explorer used a foot-operated gear shift.|$|R
40|$|Traditionally, extra {{high voltage}} (EHV) {{transmission}} systems consist exclusively of overhead lines (OHL) {{but in the}} recent years the utilization of high voltage AC (HVAC) power cables is increasing due to environmental, political and operational aspects. To study the impact of HVAC power cables on temporary overvoltages and slow front transients, a simulation model of the large-scale network is required. Guidelines concerning the modeling detail for the surrounding network need to be established to ensure sufficient accurate results. Existing guidelines for purely OHL transmission networks may not be adequate since the integration of HVAC power <b>cables</b> <b>shift</b> the harmonic impedance of the network to lower frequencies and that can affect the extent of the needed simulation model. Much effort can be saved from obtaining detailed data for an extensive but proper model, but a less detailed model might not describe the network behavior with sufficient accuracy. In this study, simplification options are considered, for which the time to construct and analyze a simulation model can be reduced. The simplification options are compared with the reference model (full detail), and judged based on three indicators for the level of accuracy: frequency and amplitude of the main resonance, and maximum over-voltage. As a result, guidelines on the extent of the simulated network and in which detail the model has to be built are proposed. The inverse approach, i. e. increasing level of detail until simulation results hardly change leads to similar results, but requires equivalent short-circuit networks {{for the rest of the}} grid. The method is tested for the Dutch 380 kV grid where an underground cable connection of 10. 8 km length is introduced in 2013 and a second connection is planned for 2017...|$|R
5000|$|The design, {{developed}} by Shimano, improves on their earlier Uniglide design (which used beveled gear teeth instead of ramps), and was introduced {{as part of}} a commercially viable index shifting system. The Hyperglide ramps, along with laterally floating derailleur jockey wheels, allows for enough [...] "slop" [...] in the system to make indexed shifting reliable, despite variations in <b>shift</b> <b>cable</b> adjustment and manufacturing or assembly tolerances. A Hyperglide freewheel or cassette on a bike with friction shifters can further improve shifting.|$|R
50|$|Most hub gears are {{operated}} {{in a similar}} manner, with a single twist, trigger or thumb-shifter. An exception is the older style of Sturmey-Archer 5-speed, which used a second <b>shift</b> <b>cable</b> to change between close and wide-range sun gears, effectively giving two 3-speed hubs in one unit. The middle gear in both ranges was direct drive, so there were five distinct gears. They could either be controlled with a special 5-speed shifter which operated both cables, or with a regular 3-speed shifter and a friction shifter.|$|R
50|$|These classic racing handlebars, as used on road or track bicycles. The {{bars are}} {{designed}} with three basic parameters; reach, drop and width. They can be further classified into three categories. Classic typically having a long reach and a deep drop, Compact featuring shorter reach and a shallow drop and ergo/anatomic described below. Drop bars may {{have one or two}} longitudinal indentations so that the brake and <b>shift</b> <b>cables</b> protrude less when they are wrapped under the bar tape. They may also have a flattened top section.|$|R
5000|$|Researcher David Wrone {{dismissed}} {{the theory that}} Kennedy's body was surreptitiously removed from the presidential plane, stating that as is done with all cargo on airplanes for safety precautions, the coffin and lid were held by steel wrapping <b>cables</b> to prevent <b>shifting</b> during takeoff and landing and in case of air disturbances in flight. According to Wrone, {{the side of the}} plane away from the television camera [...] "was bathed in klieg lights, and thousands of persons watched along the fence that bent backward along that side, providing, in effect, a well-lit and very public stage for any would-be body snatchers".|$|R
5000|$|The linear {{movement}} of the inner cable is most often used to transmit a pulling force, although push/pull cables have gained popularity in recent years e.g. as gear <b>shift</b> <b>cables.</b> Many light aircraft use a push/pull bowden cable for the throttle control, {{and here it is}} normal for the inner element to be solid wire, rather than a multi-strand cable. Usually provision is made for adjusting the cable tension using an inline hollow bolt (often called a [...] "barrel adjuster"), which lengthens or shortens the cable housing relative to a fixed anchor point. Lengthening the housing (turning the barrel adjuster out) tightens the cable; shortening the housing (turning the barrel adjuster in) loosens the cable.|$|R
5000|$|The Flightsail is {{a single}} seat open cockpit parasol-winged glider with {{tricycle}} landing gear. The fuselage is constructed of a triangular pyramid-shaped or tetrahedral truss; the pilot was positioned {{in front of the}} triangle-control frame. The framed flexible wing resembles a hang-glider arrangement as used on the kited gliders of Paresev program and by Ryan Aeronautical Company. The glider used weight-shift pendulum control using a stick with <b>cables</b> that <b>shifts</b> the cg of the frame relative to the wing pivoting above it. The wing is constructed with a 50-degree sweep based on NASA technical note D-443 and covered with polyethylene sheet with rip-stop fiberglass tape in a one-foot mesh pattern. The aircraft was tested by NASA test pilots Milton Orville Thompson and Victor Horton [...] to compare against the Rogallo wing being tested for space vehicle recovery. Purcell published that in an early 1962 flight session, Francis M. Rogallo also had a flight in the Flightsail; years later Purcell would have a very different aircraft using the flexible-wing in a modification which was flown by Francis M. Rogallo. Purcell's later Flight Dynamics Flightsail VII used the flexible-wing in a modified format.|$|R
5000|$|Reaction to {{the show}} among critics has been mostly positive, though the week it premiered, Alex Pareene, {{columnist}} for the left-leaning website Salon.com, slammed it as [...] "boring and lame" [...] and [...] "not even worth getting outraged about." [...] Entertainment Weekly TV critic Ken Tucker dubbed the show his [...] "favorite guilty pleasure" [...] and praised its freewheeling style and zany humor, calling it [...] "a delightfully nutty show with an undercurrent of ragin’ crazy." [...] Mediaite's Frances Martel, examining <b>cable</b> news' <b>shift</b> toward more personality-driven commentary, praised The Five for adding an element of entertainment to the news: [...] "Beyond having opinions, {{the new generation of}} cable news talk shows spearheaded by The Five have personalities, characters and character arcs that are worth tuning in for. ... Unlike the previous, host-driven generation of opinion shows, The Five adds a refreshing new element to cable news- a plot." [...] The Daily Show with Jon Stewart would later take that line of thought to strange new places when [...] "correspondent" [...] Samantha Bee debuted her [...] "one-woman show" [...] about the supposed romantic subplot on The Five.|$|R
40|$|Addressing today's {{environmental}} challenges {{is intimately}} linked to understanding and improving natural resource governance institutions. As a result conservation initiatives are increasingly realizing {{the importance of}} integrating local perspectives of land tenure arrangements, natural resource rights, and local beliefs into conservation approaches. However, current work has not sufficiently considered the dynamic nature of natural resource governance institutions over time and the potential implications for current conservation interventions. We therefore explored how and why hunting governance has changed since the precolonial period in two ethnic hunting communities in Gabon, Central Africa, integrating various ethnographic methods with resource-use mapping, and a historic literature review. In both communities, hunting governance has undergone significant changes since the precolonial period. A closed-access, lineage-based system of resource use with strict penalties for trespassing, {{has evolved into a}} more open-access system, in which the influence of customary governance systems, including magico-political aspects, has declined. These changes have occurred mainly in response to policies and governance structures put in place by the colonial government and postindependence, early state laws. This included a policy of merging villages, the introduction of more modern hunting techniques such as guns and wire <b>cables,</b> and a <b>shift</b> from community to government ownership of the land. Current governance structures are thus the product of a complex mixture of customary, colonial and state influences. These findings suggest that a historical perspective of resource governance, gained through in-depth and long-term engagement with local communities, can provide important insights for community-based conservation approaches, such as helping to identify potential causes and perceptions of environmental change and to design more suitable conservation initiatives with local people...|$|R

