1|150|Public
50|$|EUH205: <b>Contains</b> <b>epoxy</b> <b>constituents.</b> May {{produce an}} {{allergic}} reaction.|$|E
40|$|Researchers {{working on}} {{differentiated}} cells or cell-substrate interactions in vitro must prepare the cultures for {{transmission electron microscopy}} to image the cells at high resolution. In practice, workers {{have found that the}} procedures used for preparing plant and animal tissues are unreliable when applied to tissue cultures. These procedures often cause the plasma membrane and cytoplasmic membranes to appear as white spaces. We found that the extracted appearance of the membrane is typical of tissues that were never exposed to osmium tetroxide. This artifact is prevented by using hexylene glycol for dehydration, instead of ethanol. Previous workers have used hydroxypropylmethacrylate for dehydration (1). The grade of the <b>epoxy</b> <b>constituent</b> of the resin {{has been found to be}} important (2). Previous protocols lead to difficulty in separating the sample from the culture dish. This problem is remedied by making a thin, flexible layer of resin. Here, separate preparation procedures are given for situations in which the tissue culture sample is to be sectioned parallel or transverse to the attachment surface...|$|R
40|$|Metal {{particles}} in adhesive aid heat transfer. Aluminum caps <b>containing</b> silver-filled <b>epoxy</b> used as high-thermal-conductance anchors for thermocouples, epoxy providing thermal path between mounting surfaces and thermocouple measuring junctions. Normally, epoxy-filled aluminum caps used when measuring steady-state temperatures. Silver-filled epoxy used when thermocouple not isolated electrically from surface measured...|$|R
40|$|Abstract. To provide epoxy based {{composites}} with self-healing ability, two-component healing system {{consisting of}} urea-formaldehyde walled microcapsules <b>containing</b> <b>epoxy</b> (30 ~ 70 µm in diameter) and CuBr 2 (2 -MeIm) 4 (the complex of CuBr 2 and 2 -methylimidazole) latent hardener was synthesized. When cracks were initiated or propagated in the composites, the neighbor micro-encapsulated epoxy would be damaged and released. As the latent hardener is soluble in epoxy, {{it can be}} well dispersed in epoxy composites during composites manufacturing, and hence activate the released epoxy wherever it is. As a result, repair of the cracked sites is completed through curing of the released epoxy. The present work indicated that the plain weave glass fabric laminates using the above self-healing epoxy as the matrix have been provided with self-healing capability...|$|R
40|$|An epoxy {{material}} {{suitable for}} no-flow underfilling processes with high {{glass transition temperature}} {{can be obtained by}} curing a solvent free formulation <b>containing</b> an <b>epoxy</b> resin, an organic carboxylic acid anhydride hardener, a curing accelerator, a fluxing agent, a viscosity controlling agent, a coupling agent, and a surfactant. Georgia Tech Research Corporatio...|$|R
40|$|The {{influence}} of partially crystalline polymeric diols on the morphology and mechanical properties of a cationically polymerized cycloaliphatic epoxy resin is described and significantly enhanced material properties were observed. In particular, poly(epsilon-caprolactone) (PCL) could be integrated covalently into the epoxy network {{leading to a}} toughened material with higher tensile strength and elongation at break combined with less brittleness and enhanced flexibility in the completely transparent thermosetting epoxy polymer. The PCL containing polymers were compared with polycarbonate <b>containing</b> <b>epoxy</b> polymers as rigid polyol phase. Scanning electron microscopy of samples broken below and above the glass transition temperature of PCL as well as above the melting point of PCL showed different fracture behavior of the elastified samples and an ordered morphology of the PCL in the epoxy matrix was observed. A distinct morphology known well from thermoplastic block-copolymers is formed in the prepared thermosetting polymers...|$|R
40|$|Seventy-three N,N-disubstituted amides of long-chain, principally C 18, {{fatty acids}} were {{screened}} for antimicrobial activity against bacteria, yeasts, and molds. Amides <b>containing</b> an <b>epoxy</b> group exhibit {{a broad spectrum}} of antimicrobial activity which is further enhanced by unsaturation. Mono-unsaturation alone does not contribute a broad level of activity to the N,N-disubstituted amides of the C 18 fatty acids...|$|R
40|$|With a diffusion-assisted post-crosslinking method, polymer {{microspheres}} <b>containing</b> <b>epoxy</b> {{groups are}} crosslinked with ethylenediamine (EDA), gradually diffusing and reacting in the particles via amine/epoxy ring-opening reactions as confirmed by FT-IR and DSC results. Using a microcompression test, {{we find that}} the mechanical property (deformability under different applied force, breaking points, and recoverability) of the crosslinked microspheres is varied when different amounts of EDA are used in the system, resulting from different crosslinking density of the particles. An additional feature of the EDA treatment is to generate amine groups {{on the surface of the}} microspheres, enabling us to produce hybrid microspheres. We exploit them as immobilization sites for gold nanoparticles, forming gold-coated crosslinked microspheres. We also introduce a sequential functionalization method to fabricate crosslinked microspheres with selective functional groups on the surface. This approach can be a facile method to produce functional microspheres with controlled mechanical and surface properties...|$|R
40|$|UHPC are {{developed}} in present paper incorporating an innovative self-healing {{system based on}} two micro/nano-additions: silica microcapsules <b>containing</b> <b>epoxy</b> sealing compound (CAP) and amine functionalised silica nanoparticles. Although CAP are well integrated within the cementitious matrix, their inclusion promotes {{a reduction in the}} mechanical performance so CAP could act as weak points. However, the inclusion of these additions refines pore distribution thus increasing the expected durability in aggressive media. An effective autonomous self-healing capacity is assessed/confirmed which is unexpectedly higher in the concretes with the lower healing additions content studied. This capacity depends on the crack width and the healing period considered. BIA 2011 - 29234 -C 02 - 01 Project, funded by the Spanish Government (Ministerio de Economía y Competitividad) Basque Government through the PI 2012 - 23 Project and Nanoiker Project (Grant No. E 11 - 304) within the Etortek programme and under the umbrella of the Baskrete initiative...|$|R
40|$|In {{this paper}} {{comprehensive}} investigations of laser induced deposit formation are reported. In a high vacuum chamber (p < 10 - 6 mbar) different space relevant materials <b>containing</b> <b>epoxy,</b> silicone and polyurethane based components were tested under space conditions. The experiments were performed with a pulsed Nd:YAG laser with peak fluences up to 2. 5 J/cm² at 355 nm wavelength and 3 ns pulse width. Additional tests were performed with an UV cw laser diode at 375 nm and 10 mW mean power. The onset {{and growth of}} the deposits was monitored in-situ and online by UV induced fluorescence imaging. The influence of roughness, temperature and chemical composition of the optical surface on the deposition process was investigated. Time-of-flight secondary ion mass spectroscopy (ToF-SIMS) was used for chemical characterization of the deposits. Furthermore the influence of deposits on the UV-transmission of the optics was estimated...|$|R
40|$|The dynamic phase {{separation}} of poly({lunate}-caprolactone) (PCL) in cationically polymerized, cycloaliphatic epoxy thermosets is presented. While {{phase separation}} processes are commonly unknown from thermosetting polymers {{due to the}} covalently crosslinked polymer structure, the gradually occurring formation of crystalline ordered PCL domains is observed. The dynamic process {{is accompanied by a}} strong increase in the mechanical moduli and strengthening of the polymer due to the formation of finely distributed domains. Regarding the network and domain structure of the polymer during the dynamic process, the results show rearrangements mainly in the linear PCL segments driven by crystalline interactions without changes in the epoxy matrix polymer. Dynamic phase separation processes are shown in poly({lunate}-caprolactone) <b>containing</b> <b>epoxy</b> thermosets. The formation of well distributed PCL-domains in the highly crosslinked epoxy matrix is driven by gradually increasing crys talline interactions, leading to heterogeneous polymers. A strong increase in the mechanical properties is observed during the separation process...|$|R
40|$|A {{multiplex}} {{lateral flow}} immunoassay (LFIA) for {{the determination of the}} mycotoxins deoxynivalenol, zearalenone, and T 2 /HT 2 -toxin in barley was developed with luminescent quantum dots (QDs) as label. The synthesized QDs were hydrophilized by two strategies, that is, coating with an amphiphilic polymer or silica. The water-soluble QDs were compared with regard to their bioconjugation with monoclonal antibody (mAb) and were tested on a LFIA. Silica-coated QDs that <b>contained</b> <b>epoxy</b> groups were most promising. Therefore, green, orange, and red epoxy-functionalized silica-coated QDs were conjugated with anti-ZEN, anti-DON, and anti-T 2 mAb, respectively. The LFIA was developed in accordance with the European Commission legal limits with cutoff limits of 1000, 80, and 80 mu g/kg for deoxynivalenol, zearalenone, and T 2 /HT 2 -toxin, respectively. The LFIA gave a fast result (15 min) with a low false-negative rate (< 5 %), and the results were easy to interpret without any sophisticated equipment...|$|R
40|$|Poly (ether imide sulfone) {{membranes}} were {{manufactured by}} combining phase inversion and functionalization reaction between epoxy groups and amine modified polyether oligomers (Jeffamine) or TiO 2 nanoparticles. Polysilsesquioxanes <b>containing</b> <b>epoxy</b> functionalities were in-situ {{grown in the}} casting solution and made available for further reaction with amines in the coagulation/annealing baths. The membranes were characterized by field emission scanning electron microscopy, porosimetry and water flux measurements. Water permeances up to 1500 l m- 2 h- 1 bar- 1 were obtained with sharp pore size distribution and a pore diameter peak at 66 nm, confirmed by porosimetry, which allowed 99. 2 % rejection of γ-globulin. Water flux recovery of 77. 5 % was achieved after filtration with proteins. The membranes were stable in 50 : 50 dimethylformamide/water, 50 : 50 N-methyl pyrrolidone/water and 100 % tetrahydrofuran. The possibility of using similar concept for homogeneous and stable attachment of nanoparticles on the membrane surface was demonstrated...|$|R
40|$|We have {{modified}} single walled carbon nanotubes (SWCNTs) with {{well defined}} matrix-based architectures to improve interface interaction in SWCNT/epoxy composites. The hardener and two pre-synthesized oligomers <b>containing</b> <b>epoxy</b> and hardener moieties were covalently {{attached to the}} SWCNT walls by in situ diazonium or carboxylic coupling reactions. This way, SWCNTs bearing amine or epoxide terminated fragments of different molecular weights, which resemble the chemical structure of the cured resin, were synthesized. A combination of characterization techniques such as Raman and infrared absorption (FTIR) spectroscopy, elemental analysis and coupled thermogravimetry-FTIR spectroscopy were used to identify both functional groups and degree of functionalization of SWCNTs synthesized by the laser ablation and arc-discharge methods. Depending {{on the type of}} reaction employed for the chemical functionalization and the molecular weight of the attached fragment, it was possible to control the degree of functionalization and the electronic properties of the functionalized SWCNTs. Improved dispersion of SWCNTs in the epoxy matrix was achieved by direct integration withou...|$|R
40|$|The {{effect of}} {{ultrasonic}} treatment on thermal stability of binary systems <b>containing</b> <b>epoxy</b> and organic chemically modified montmorillonite (Cloisite 30 B) was studied. Differential scanning calorimetry (DSC), {{thermal gravimetric analysis}} (TGA), transmission electron microscopy (TEM), and wide angle X-ray diffraction (WAXD) analysis were utilized. The mixing of epoxy and Cloisite 30 B nanocomposites was performed by mechanical stirring, followed by 1 or 3 -hour ultrasonic treatment, and polyetheramine as the curing agent. Both XRD and TEM analyses confirmed that the intercalation of Cloisite 30 B was achieved. The d 0 spacings for silicate in cured sample prepared at 1 - and 3 -hour duration of ultrasonic treatment were about 21 and 18 [*]Å, respectively. This shows that shorter duration or ultrasonic treatment may be preferable to achieve higher d 0 spacing of clay. This {{may be attributed to}} the increase in viscosity as homopolymerization process occurred, which restricts silicate dispersion. The 1 -hour sonicated samples seem to be more thermally stable during the glass transition, but less stable during thermal decomposition process...|$|R
30|$|This {{research}} {{investigates the}} ability of COOH functionalized MWCNTs to alter epoxy-based PC microstructure and improve PC impact resistance. The <b>epoxy</b> resin <b>contains</b> reactive <b>epoxy</b> groups (C–O–C) at the two ends of the polymer chain. Similarly, the hardener typically contains amino groups (NH 2). It is suggested that carboxyl (COOH) groups functionalized MWCNTs will react with epoxy to produce epoxy-MWCNTs nanocomposite that will improve the mechanical characteristics and specifically the impact resistance of PC.|$|R
50|$|Unlike other Taiwanese or Hong Kong Game Boy competitors, {{such as the}} Watara Supervision, Hartung Game Master and the Mega Duck, the Gamate's {{internal}} hardware <b>contains</b> no <b>epoxy</b> covered {{chips and}} was assembled in a quality manner. The build quality is relatively akin {{to that of the}} Game Boy. The shell is made of a thick plastic and with batteries installed, the unit feels very similar to the weight of a Game Boy.|$|R
40|$|A {{morphological}} {{study was}} conducted on ternary systems <b>containing</b> <b>epoxy,</b> PMMA-grafted natural rubber, and organic chemically modified montmorillonite (Cloisite 30 B). Optical microscopy, transmission electron microscopy (TEM), scanning electron microscopy (SEM), energy dispersive X-ray (EDX), and wide-angle X-ray diffraction (WAXD) analysis were used. The following four materials were prepared at room temperature: cured unmodified epoxy, cured toughened epoxy, cured unmodified epoxy/Cloisite 30 B nanocomposites, and cured toughened epoxy/Cloisite 30 B nanocomposites. Mixing process was performed by mechanical stirring. Poly(etheramine) {{was used as the}} curing agent. The detailed TEM images revealed co-continuous and dispersed spherical rubber in the epoxy-rubber blend, suggesting a new proposed mechanism of phase separation. High-magnification TEM analysis showed good interactions between rubber and Cloisite 30 B in the ternary system. Also, it was found that rubber particles could enhance the separation of silicates layers. Both XRD and TEM analyses confirmed that the intercalation of Cloisite 30 B was achieved. No distinct exfoliated silicates were observed by TEM. Aggregates of layered silicates (tactoids) were observed by SEM and EDX, in addition to TEM at low magnification. EDX analysis confirmed the presence of organic and inorganic elements in the binary and ternary <b>epoxy</b> systems <b>containing</b> Cloisite 30 B...|$|R
40|$|AbstractCarotenoids are the {{effective}} modulators of physical properties of model and natural membranes. To demonstrate {{the relationship between}} the structure of carotenoids and their effect on the molecular dynamics of membranes, we have investigated the influence of five structurally different carotenoids: β-carotene, lycopene, lutein, violaxanthin, zeaxanthin and additionally carotane- a fully saturated derivative of β-carotene, on thermotropic phase behaviour of dipalmitoylphosphatidylcholine (DPPC) multilamellar vesicles by means of differential scanning calorimetry (DSC). The results obtained indicate that the carotenoids used modulated the thermotropic properties of multibilayers to various extents, broadening the pretransition and the main phase transition peaks and shifting them to lower temperatures. Pronounced decrease of pretransition enthalpy (ΔHp) proves that carotenoids very strongly alter the membrane properties in its gel phase. Comparison of the influence of several carotenoids shows that a rigid, polyisoprenoid chain plays a basic role in altering the thermotropic properties of such membranes and the presence of rings without oxygen-containing groups has a minor significance for the observed interactions. Carotenoids <b>containing</b> <b>epoxy</b> and/or hydroxy groups attached to their rings modify the thermotropic phase behaviour of DPPC multilamellar vesicles stronger than carotenes- a result of their orientation in the DPPC bilayer...|$|R
40|$|The {{micromechanics}} {{of stress}} transfer is presented for the fibre fragmentation test of microcomposites containing debonded fibre-matrix interface and yielded matrix at the interface region. Results from the parametric study are discussed for carbon fibre composites <b>containing</b> <b>epoxy</b> and polyetheretherketone (PEEK) matrices, representing respectively typical brittle debonding and matrix yielding behaviour at the interface region. The stress transfer phenomena are characterized {{for the two}} interface failure processes. The sequence of interface failure and fibre fracture {{as a function of}} applied stress are also identified. Maximum debonded and yielded interface lengths are obtained above which a fibre will fracture into smaller lengths. There are also threshold fibre fragment lengths above which fibre will fracture without interface debonding or matrix yielding. The applied stresses for these conditions are governed by three strength properties of the composite constituents, namely interface shear bond strength, matrix shear yield strength and fibre tensile strength for given elastic constants of the fibre and matrix, and the geometric factors of the microcomposite. The ineffective length, a measure of the efficiency of stress transfer across the fibre-matrix interface, is shown to strongly depend {{on the extent to which}} these failure mechanisms take place at the interface region...|$|R
40|$|Physical {{properties}} of urea-formaldehyde microcapsules <b>containing</b> an <b>epoxy</b> resin are presented and discussed. Microcapsules were prepared by in situ polymerization of monomers in an oil-in-water emulsion. Differential scanning calorimetry, thermogravimetric analysis, and {{scanning electronic microscopy}} were applied to investigate thermal and morphological microcapsule properties. Microencapsulation was detected by means of FTIR and Raman techniques. It {{was found that the}} amount of encapsulated epoxy resin as well as the extent of urea-formaldehyde polymerization depends on the reaction temperature and the stirring speed...|$|R
40|$|ABSTRACT: Epoxy was {{toughened}} {{with varying}} weight fractions of polymethyl methracrylate (PMMA) and polycarbonate (PC) individually. The tensile, flexural, and impact {{properties of the}} toughened resin matrix were investigated. The blend matrix in the combination, which showed maximum strength, was chosen to prepare composites. Composites were prepared with varying weight percentage of silk fabric loading with PMMA toughened <b>epoxy</b> <b>containing</b> 4 wt % of PMMA (which showed the highest strength) and PC toughened <b>epoxy</b> <b>containing</b> 6 wt % of PC (which showed highest strength in epoxy–PC blend combinations). The mechanical strength of these composites were also assessed. The strength of the composites was found to increase linearly on increasing the silk fabric loading. An enhancement in the properties was observed after toughening the epoxy resin...|$|R
40|$|We present two {{transfer}} bonding {{schemes for}} incorporating fragile nanoporous inorganic membranes into microdevices. Such membranes are finding increasing use in microfluidics, {{due to their}} precisely controllable nanostructure. Both schemes rely on a novel dual-cure dry adhesive bonding method, enabled by a new polymer formulation: OSTE(+), which can form bonds at room temperature. OSTE(+) is a novel dual-cure ternary monomer system <b>containing</b> <b>epoxy.</b> After the first cure, the OSTE(+) is soft and suitable for bonding, while during the second cure it stiffens and obtains a Young's modulus of 1. 2 GPa. The ability of the epoxy to react with almost any dry surface provides a very versatile fabrication method. We demonstrate the transfer bonding of porous silicon and porous alumina membranes to polymeric microfluidic chips molded into OSTE(+), and of porous alumina membranes to microstructured silicon wafers, by using the OSTE(+) as a thin bonding layer. We discuss the OSTE(+) dual-cure mechanism, describe the device fabrication and evaluate the bond strength and membrane flow properties after bonding. The membranes bonded to OSTE(+) chips delaminate at 520 kPa, and the membranes bonded to silicon delaminate at 750 kPa, well above typical maximum pressures applied to microfluidic circuits. Furthermore, {{no change in the}} membrane flow resistance was observed after bonding. QC 20130125 Positiv...|$|R
40|$|Microwave imaging {{techniques}} for medical applications {{have been reported}} in the literature for many years. However, the progress in imaging algorithms, numerical techniques, microwave hardware and computational speed has renewed the interest in this field. Breast cancer detection is particularly attractive from a microwave imaging perspective, the major reason referred to the potentially high dielectric contrast between cancerous tissues and normal breast tissues depending on water content. Low water tissues tend to be low permittivity as fat, whilst high water content tissues tend to be high permittivity as cancerous tissues. All of that increased the need for effective phantoms that mimic the electromagnetic properties of biological tissues at these high frequencies in a purpose of testing the mutual effects between these radiations and biological tissues. For this purpose several phantoms with several materials have been proposed to simulate bio logical tissues. This study investigates a simulation method based on rule of mixture to design fat phantom by using binary system <b>containing</b> <b>epoxy</b> as a matrix and carbon black powder as a filler. The dielectric properties were measured by using Network Analyzer equipped with coaxial cable and the results showed the possibility of using this system for fat tissues simulating at frequency range from I G Hz to I 0 G Hz. ...|$|R
40|$|The {{theoretical}} {{part of this}} bachelor thesis deals with a current state in the field polymer matrix based on vegetable oils and their epoxidation. Subsequently it deals with epoxy resins – particularly their structure, crosslinking and a curing. The experimental part of this research focuses on the amine curing of epoxy resins. A curing of epoxidized soybean oil with various amine curing agents was tested and also a curing of a blend <b>containing</b> comercial <b>epoxy</b> resin and epoxidized soybean oil. Testing pieces were prepared from selected mixtures and a tensile test was performed on them...|$|R
40|$|ABSTRACT: A {{hydrophilic}} polymer {{surface with}} low friction has been devel-oped. A coating can be attached by {{the reaction of}} an <b>epoxy</b> <b>containing</b> poly (vinyl pyrrolidone) with the polyamino compound formed {{on the surface of}} the substrate. The <b>epoxy</b> <b>containing</b> poly(vinyl pyrrolidone) was obtained by the copolymerization of vinyl pyrrolidone, glycidyl acrylate, and vinyl acetate. A molecular weight of 400, 000 or more is essential to achieve low surface friction. Polyurethane catheters in rabbit models, both with and without the hydro-philic low friction coating, were evaluated for surface friction coefficient and blood compatibility. The coated catheters produced no lesions of the intima of the blood vessels and no thrombus formation on the catheter surface, while the non-coated catheters injured the intima of the blood vessels and severe throm-bus formation was found on their surfaces...|$|R
