1|5598|Public
5000|$|CCS-UK - <b>Cargo</b> <b>Community</b> <b>System</b> (for airport movements) run by BT Group ...|$|E
5000|$|The <b>community</b> <b>systems</b> {{provided}} by SITA {{for the air}} transport industry include: ...|$|R
40|$|In this paper, {{we propose}} a script {{language}} for embodied conversational agents that can function as personal conversational media in asynchronous <b>community</b> <b>systems.</b> Despite {{the fact that}} the community interaction is a social event, current online <b>community</b> <b>systems</b> are designed to focus mainly on information exchange through texts, and provide very little support for establishing and maintaining social relationships among participants...|$|R
40|$|Abstract—The {{purpose of}} this paper is {{improving}} the integration of smart <b>community</b> <b>system,</b> decreasing the redundancy of data fusion for smart <b>community</b> <b>system</b> in order to integrate information and resources effectively. According to the complex information system of multi-living agent theory and method, this paper presents a new method for intelligent community research that based on multi-living agent. The new research method analyzes smart <b>community</b> <b>system</b> and smart home care application that optimize smart community construction effectively. It is obvious that the connection of agents in the smart <b>community</b> <b>system</b> is a good solution to handle information silos, forming data sharing system and improving smart community performance. The new research method in this thesis provides solutions to resolve data fusion problem of information silos, which is a general problem in complex information <b>system.</b> The smart <b>community</b> development should be in a better way through this method. In this paper, the intelligent <b>community</b> <b>system</b> architecture and the application specific intellectual endowment are analyzed. The prevalence of islands of information on data integration solution is given. This method can improve the integration of intelligent community and accelerate the development speed of the intelligent community. Keywords- multi-living agent; complex information systems; intelligent community; wisdom endowment; data integration I...|$|R
50|$|Topics within Yahoo! Research include: Internet search, machine learning, microeconomics, media experience, and <b>community</b> <b>systems.</b>|$|R
5000|$|Later {{that year}} in October 2000, deploy the ArsDigita <b>Community</b> Education <b>System</b> (ACES) at MIT Sloan School. The system is called Sloanspace. The ArsDigita <b>Community</b> <b>System</b> {{as well as}} ACES {{in the next few}} years grow to OpenACS and [...]LRN ...|$|R
40|$|Abstract: Like in any {{distributed}} <b>community</b> <b>systems,</b> {{communication in}} Multi-Agent System (MAS) {{plays an important}} role. Communication helps agents share knowledge and cooperate. Agent communication may present at various forms; {{it can be the}} exchange of comprehensible messages, a request to perform an action, or cooperation negotiation. Agent communication has common properties like in any other distributed <b>community</b> <b>systems,</b> but it is the use of Agent Communication Language (ACL) that differentiates agent communication from that in other distributed <b>community</b> <b>systems.</b> In this paper, we present an evaluation of some typical Message Transport Protocol (MTP) implementations for agent communication. In order to analyze performance and stability of these MTPs, the tests have been conducted in conjunction with three existing ACL message encoding schemes. ...|$|R
50|$|AOLserver {{is a key}} {{component}} in the Open Architecture <b>Community</b> <b>System</b> (OpenACS) which is an advanced open-source toolkit for developing web applications.|$|R
5000|$|... "Smart city": urban {{heating and}} cooling <b>community</b> <b>systems,</b> {{development}} of high-end technology solutions, a streamlined energy mix, carbon footprint reduction of buildings ...|$|R
50|$|The {{next step}} in the process is that after … years, the mission of Labora Farms shifted from a <b>community</b> <b>system</b> to an {{individual}} one. In … the land was divided among the individuals this equal?, which had the consequence of entirely breaking down the hierarchical structure of the farm. Private ownership of resources had the effect of breaking the military structure as people were no longer responsible to a boss or a <b>community</b> <b>system</b> with its informal hierarchy.|$|R
40|$|OBJECTIVE: To {{present a}} {{framework}} for measuring the quality of <b>community</b> <b>systems</b> for children, based on key attributes of systems performance for children's services. We present a research agenda for refining the model, evaluating indicators across the performance domains identified, developing normative standards for performance, and assessing the empirical basis for performance criteria. PRINCIPAL FINDINGS: Systems performance can be measured. A systems approach to evaluating <b>community</b> <b>systems</b> for children needs to incorporate the multilevel service delivery networks, programs, and systems of care for children. A model of <b>community</b> <b>systems</b> performance for children includes key dimensions of structure, financing, and accountability. Attributes within these dimensions serve as indicators that communities can use to evaluate systems quality. Performance standards can {{be based on the}} evidence from field demonstrations as well as from normative assessments. RECOMMENDATIONS: The model of <b>community</b> <b>systems</b> performance should be refined and developed using empirical findings of analyses of children's systems. A set of indicators that capture vital aspects of performance and that are relevant, scientifically valid, and feasible should be developed and tested in field studies. Once indicators are evaluated for use in performance monitoring, communities will be able to implement performance monitoring...|$|R
5000|$|May, 2000: ArsDigita, a Boston Massachusetts-based {{start-up}} {{who developed}} the Arsdigita <b>Community</b> <b>System</b> since their inception in 1997 deploys Caltech Portals at my.caltech.edu https://web.archive.org/web/20000530235506/http://my.caltech.edu ...|$|R
25|$|The state's <b>community</b> college <b>system,</b> Ivy Tech <b>Community</b> College of Indiana, serves nearly 200,000 {{students}} annually, {{making it}} the state's largest public post-secondary educational institution and the nation's largest singly accredited statewide <b>community</b> college <b>system.</b> In 2008, the Indiana University system agreed to shift most of its associate (2-year) degrees to the Ivy Tech <b>Community</b> College <b>System.</b>|$|R
25|$|In 1202, King John of England {{granted a}} <b>community</b> <b>system</b> to Fécamp. In 1410 the English razed the town. In 1449, Fécamp was freed from English occupation.|$|R
5000|$|By 2011 Australia {{had become}} the most active country on the <b>Community</b> Exchange <b>System,</b> {{prompting}} Tim Jenkin and Annette Loudon {{to set up the}} Australian <b>Community</b> Exchange <b>System</b> ...|$|R
5000|$|Such {{detailed}} and time-consuming negotiations {{could not be}} carried out by Ministers alone, but by national civil servants, which led to a bureaucratisation of the whole <b>Community</b> <b>system</b> ...|$|R
50|$|The {{community}} property concept originated in civil law jurisdictions {{but is now}} also found in some common law jurisdictions. The states of the United States that recognize {{community property}} are primarily in the Western United States; it was inherited from Mexico's ganancial <b>community</b> <b>system,</b> which itself was inherited from Spanish law (a Roman-derived civil law system) and ultimately from the Visigothic Code. While under Spanish rule, Louisiana adopted the ganancial <b>community</b> <b>system</b> of acquests and gains, which replaced the traditional French community of movables and acquests in its civil law system.|$|R
30|$|Vulnerability {{is defined}} as “The {{characteristics}} and circumstances of a <b>community,</b> <b>system</b> or asset that make it susceptible to the damaging effects of a hazard” (UNISDR 2009, p. 30).|$|R
40|$|The CYCLADES open {{collaborative}} virtual archive {{environment is}} a virtual <b>community</b> <b>system</b> that supports knowledge workers in searching and managing e-print documents from {{a large number of}} digital libraries. Users can share their results in existing communities as well as find new collaborators with similar interests. Four different teams with different scientific backgrounds developed the software. The resulting system runs distributed on four different hosts. The communication among the software pieces as well as the user interface is based on standard Internet technology. In this paper we will present the design, specification, and implementation of this virtual <b>community</b> <b>system.</b> ...|$|R
40|$|<b>Community</b> {{information}} <b>systems</b> {{have the}} power to transform communities. However, without fully understanding the pre-requisite factors affecting <b>community</b> information <b>system</b> viability, and the complex relationships between these factors, communities struggle to manage such projects in a way that leads to viable systems that deliver real benefits. This paper develops and presents a Model of <b>Community</b> Information <b>System</b> Viability Pre-requisite Factors, based on both existing literature and the study of three <b>community</b> information <b>system</b> projects. This Model represents the generic factors that inform viability (i. e. leadership, active membership, funding, awareness, and system design and functionality), and also considers the impact of community context. This study argues that the viability of a <b>Community</b> Information <b>System</b> cannot be considered in isolation. All factors are directly impacted by the value of the Community Information Syste...|$|R
5000|$|A SMC was reconstituted in the {{occupied}} territories [...] in 1967 as the judicial authority of the Muslim community in Israel in matters of personal status of its members under Israel's confessional <b>community</b> <b>system.</b>|$|R
25|$|The main {{characteristic}} of the doctrines {{was that they were}} run by a group of friars, because it made sure that the <b>community</b> <b>system</b> would continue without any issue when one of the members died.|$|R
40|$|Abstract: High-tech {{entrepreneurship}} {{education is the}} challenge of connecting practical university teaching with well-known concepts of life long learning in companies. New kinds of communities of practice emerge from these efforts. We present experiences made with a course in applied computer science {{which was based on}} this concept. In the “Entrepreneurship and New Media ” lab, project teams of students worked with two start-up companies. The student teams were connected {{to each other and to}} their supervisors in academia and practice by means of a <b>community</b> <b>system.</b> We present a first qualitative study which evaluates the didactical concept and use of the deployed <b>community</b> <b>system...</b>|$|R
50|$|Sandstone Retreat, officially the Sandstone Foundation for <b>Community</b> <b>Systems</b> Research, was a clothing-optional, open {{sexuality}} {{resort for}} swingers located at Sandstone Ranch, a 15 acre {{estate in the}} Santa Monica Mountains overlooking Malibu and the Pacific Ocean.|$|R
5000|$|The Centre for Applied Research in Educational Technologies at the University of Cambridge deploys CamCommunities, an {{open-source}} <b>community</b> <b>system</b> (OpenACS) {{based on}} [...]LRN, {{for use on}} campus.Sakai VRE for Education Research, a project funded by the JISC's.|$|R
50|$|From around 2007, many Australian LETS groups started trading online {{using the}} <b>Community</b> Exchange <b>System.</b> The <b>Community</b> Exchange <b>System</b> allows new members {{to sign up}} directly, list offers and wants, and enter trades without {{assistance}} from the administrator.|$|R
