1|3301|Public
5000|$|Covenant of Seisin: [...] "A <b>covenant</b> <b>of</b> <b>seisin</b> or {{good right}} to convey." ...|$|E
5000|$|The lease {{and release}} was:"developed as another {{strategy}} to avoid public transfer <b>of</b> <b>seisin,</b> {{in response to the}} limitations imposed by the Statute of Enrolments. Since uses (future leases in land) had been limited by the Statute of Uses (and remain subject to disincentives in many jurisdictions), another instrument had to be found. That instrument was the lease for a year (lease for possession) followed on the following day by a release of the property, thus avoiding livery <b>of</b> <b>seisin.</b> The instrument thus consists of two parts: (i) a lease for one year on one day; (ii) a release on the following day. In the lease for a year, the consideration was nominal (usually 5s.) and the term of the lease one year. The release was executed the day after the lease, releasing the property to the 'lessee' in perpetuity; the full purchase price (consideration) is recited in the release; the release recites mentions the lease of the previous day; the release is executed 'according to the statute for converting uses into possession' (the Statute of Uses)." ...|$|R
5000|$|Penn sailed {{aboard the}} ship Welcome from Deal, Kent on the English Channel on August 30, 1682 and first landed in America on October 27, 1682 at New Castle, Delaware. [...] In New Castle he {{performed}} the ancient [...] "turf and twig" [...] ceremony {{known as the}} livery <b>of</b> <b>seisin</b> to take possession of New Castle County. Within two days he arrived at Upland, about 18 miles north on the Delaware River.|$|R
50|$|Hermeneutics: Usually Grammatical-Historical typologised and contextualised. There {{are three}} {{covenants}} - the <b>Covenant</b> <b>of</b> Works or Law, the <b>Covenant</b> <b>of</b> Redemption and the <b>Covenant</b> <b>of</b> Grace. This shares {{much in common}} with Kingdom theology (see below) but emphasizes the covenants more than the Kingdom of God itself.|$|R
6000|$|... "Whilk Covenant is your honour meaning? Is it the <b>Covenant</b> <b>of</b> Works, or the <b>Covenant</b> <b>of</b> Grace?" [...] said Cuddie, interposing.|$|R
50|$|According to Covenant {{theology}} God {{makes two}} basic covenants, or agreements, with humans. The first one, the <b>Covenant</b> <b>of</b> Works is {{an agreement that}} bases man's relationship with God on human obedience and morality. The covenant was made with Adam in the Garden of Eden. Adam broke this covenant so God {{replaced it with a}} second more durable covenant—the <b>Covenant</b> <b>of</b> Grace. The <b>Covenant</b> <b>of</b> Grace is an agreement that bases man's relationship with God on God's grace and generosity. The <b>Covenant</b> <b>of</b> Works failed because it was based on human performance. The <b>Covenant</b> <b>of</b> Grace is durable because it is based on God's performance.|$|R
50|$|In the United States, the Princeton theologians (Charles Hodge, A. A. Hodge, B. B. Warfield, Geerhardus Vos, and J. Gresham Machen) and, in the Netherlands, Herman Bavinck {{followed}} the main {{lines of the}} classic view, teaching the <b>Covenant</b> <b>of</b> Redemption, the <b>Covenant</b> <b>of</b> Works (Law), and the <b>Covenant</b> <b>of</b> Grace (Gospel).|$|R
50|$|<b>Covenant</b> <b>of</b> Further Assurances: The <b>covenant</b> <b>of</b> further assurances {{requires}} the seller to take affirmative steps to cure any defects in the grantor's title.|$|R
50|$|According to Widukind of Corvey, a Saxon in Thuringia was {{approached}} by a local who asked to buy the Saxon's torc and bracelets. The local offered him a pile of dirt {{in exchange for the}} ornaments, which the Saxon eagerly accepted. The Thuringians thought they had made a good deal until the Saxons claimed the entire country on the basis that the dirt had been a livery <b>of</b> <b>seisin,</b> and made their legal claim good by force of arms.|$|R
5000|$|The bishop then instructs the archdeacon by Letters Mandatory for Induction to induct {{the priest}} into the temporalities of the benefice. This must be {{performed}} {{in the church and}} is done by placing the hand of the priest on the key or ring of the door and reciting a formula of words. The priest advertises his or her induction by tolling the church bell. [...] Induction is a vestige of the medieval legal practice <b>of</b> livery <b>of</b> <b>seisin.</b>|$|R
5|$|Covenant {{theology}} is an interpretive framework used by Reformed theologians which was significantly {{developed during the}} seventeenth century. Under this scheme, as articulated by the Assembly, God's dealings with men are {{described in terms of}} two covenants: the <b>covenant</b> <b>of</b> works and <b>covenant</b> <b>of</b> grace. The Westminster Confession was the first major Reformed symbol to explicitly mention the <b>covenant</b> <b>of</b> works (sometimes called the <b>covenant</b> <b>of</b> life), in which God offered Adam eternal life on condition of perfect obedience. In the fall of man, Adam broke the <b>covenant</b> <b>of</b> works by eating of the tree of knowledge of good and evil. To remedy this, God offered salvation apart from human initiative in what was called the <b>covenant</b> <b>of</b> grace. This <b>covenant</b> allowed man to enjoy eternal life despite his inability to obey God's law perfectly. The idea <b>of</b> the <b>covenant</b> <b>of</b> grace was a much more common feature of orthodox Reformed theology. The Westminster divines set these two covenants against each other as the two major ways in which God deals with people.|$|R
50|$|Concepts {{foundational}} {{to covenant}} theology {{can be found}} in the writings of Church Fathers such as Irenaeus and Augustine. Huldrych Zwingli and Johannes Oecolampadius were among the first reformers to speak of God's salvation economy under the categories <b>of</b> a <b>covenant</b> <b>of</b> works and a <b>covenant</b> <b>of</b> grace. John Calvin (Institutes 2:9-11), like Heinrich Bullinger (A Brief Exposition of the One and Eternal Testament or <b>Covenant</b> <b>of</b> God), focused on the continuity <b>of</b> the <b>covenant</b> <b>of</b> grace, but taught the substance of what became classic covenant theology in terms of Law and Gospel. Early post-reformation writings, including Zacharius Ursinus (1534-83) in Commentary on the Heidelberg Catechism (published posthumously, 1591), Caspar Olevianus (1536-87) in Concerning the Substance <b>of</b> the <b>Covenant</b> <b>of</b> Grace between God and the Elect (De substantia foederis gratuiti inter deum et electos, 1585), and Scottish Theologian Robert Rollock (1555-99) in A Treatise of our Effectual Calling (Tractatus de vocatione efficaci, 1597), developed the <b>covenant</b> <b>of</b> works and <b>covenant</b> <b>of</b> grace scheme along the lines of the law-gospel distinction.|$|R
50|$|Covenant {{theology}} is an interpretive framework used by Reformed theologians which was significantly {{developed during the}} seventeenth century. Under this scheme, as articulated by the Assembly, God's dealings with men are {{described in terms of}} two covenants: the <b>covenant</b> <b>of</b> works and <b>covenant</b> <b>of</b> grace. The Westminster Confession was the first major Reformed symbol to explicitly mention the <b>covenant</b> <b>of</b> works (sometimes called the <b>covenant</b> <b>of</b> life), in which God offered Adam eternal life on condition of perfect obedience. In the fall of man, Adam broke the <b>covenant</b> <b>of</b> works by eating of the tree of knowledge of good and evil. To remedy this, God offered salvation apart from human initiative in what was called the <b>covenant</b> <b>of</b> grace. This <b>covenant</b> allowed man to enjoy eternal life despite his inability to obey God's law perfectly. The idea <b>of</b> the <b>covenant</b> <b>of</b> grace was a much more common feature of orthodox Reformed theology. The Westminster divines set these two covenants against each other as the two major ways in which God deals with people.|$|R
5000|$|Covenant theology, a {{theological}} system within Reformed Christianity, holds that God relates to man primarily through three covenants: the <b>Covenant</b> <b>of</b> Redemption, the <b>Covenant</b> <b>of</b> Works, and the <b>Covenant</b> <b>of</b> Grace. In this theological system a covenant {{may be defined}} as, [...] "an unchangeable, divinely imposed legal agreement between God and man that stipulates the conditions of their relationship." ...|$|R
2500|$|Through the {{influence}} of Karl Barth, many contemporary Reformed theologians have discarded the <b>covenant</b> <b>of</b> works, along with other concepts of federal theology. Barth saw the <b>covenant</b> <b>of</b> works as disconnected from Christ and the gospel, and rejected the idea that God works with people in this way. Instead, Barth argued that God always interacts with people under the <b>covenant</b> <b>of</b> grace, and that the <b>covenant</b> <b>of</b> grace is free of all conditions whatsoever. Barth's theology and that which follows him has been called [...] "monocovenantal" [...] {{as opposed to the}} [...] "bi-covenantal" [...] scheme of classical federal theology. Conservative contemporary Reformed theologians, such as John Murray, have also rejected the idea <b>of</b> <b>covenants</b> based on law rather than grace. Michael Horton, however, has defended the <b>covenant</b> <b>of</b> works as combining principles of law and love.|$|R
25|$|Breach <b>of</b> Implied <b>Covenant</b> <b>of</b> Good Faith and Fair Dealing. California law {{implies a}} <b>covenant</b> <b>of</b> good faith and fair dealing in all {{contracts}} entered into in the State of California. By agreeing to the Facebook's terms of use, Facebook alleged that StudiVZ {{entered into a}} California contract with Facebook and through their actions, also violated the implied <b>covenant</b> <b>of</b> good faith and fair dealing.|$|R
40|$|In {{this article}} the term <b>covenant</b> <b>of</b> peace is {{investigated}} {{as it appears}} in some prophetic traditions. The conclusion arrived at {{is that in the}} Old Testament the <b>covenant</b> <b>of</b> peace is nothing but the Noahic covenant. Another conclusion is that the <b>covenant</b> <b>of</b> peace is part and parcel <b>of</b> the <b>covenant</b> <b>of</b> grace established by God with Abraham. Some remarks are made about the current dogmatic use <b>of</b> the Noahic <b>covenant</b> in the Reformed tradition, as well as the place and function the covenant should occupy and fulfil in Reformed theology in order to be in line with biblical revelation...|$|R
50|$|The <b>covenant</b> <b>of</b> works (foedus operum), {{also called}} the <b>covenant</b> <b>of</b> life, {{was made in the}} Garden of Eden between God and Adam who {{represented}} all mankind as a federal head. (Romans 5:12-21) It promised life for perfect and perpetual obedience and death for disobedience. Adam, and all mankind in Adam, broke the covenant, thus standing condemned. The <b>covenant</b> <b>of</b> works continues to function after the fall as the moral law.|$|R
50|$|Donald Cargill (1619 - 27 July 1681) was a Scottish Covenanter {{who worked}} {{to uphold the}} {{principles}} <b>of</b> the National <b>Covenant</b> <b>of</b> 1638 and Solemn League and <b>Covenant</b> <b>of</b> 1643 to establish and defend Presbyterianism.|$|R
50|$|Overview: Under the <b>Covenant</b> <b>of</b> Works humanity, {{represented}} ultimately in a covenantal sense under Adam beginning {{from the}} Garden of Eden, failed {{to live as}} God intended and stood condemned. But beyond time the <b>Covenant</b> <b>of</b> Redemption was made between the Father and Son, to agree that Christ would live an acceptable substitutionary life on behalf of, and as a covenantal representative for, those who would sin but would trust in Christ as their covenantal substitutionary representative, which bought them into the <b>Covenant</b> <b>of</b> Grace. The <b>Covenant</b> <b>of</b> Grace applies to all who trust Christ for their salvation, regardless of ethnicity, and thus the Covenant covers Jews and Gentiles alike with regard to salvation, sanctification, and resurrection. The <b>Covenant</b> <b>of</b> Grace forms the basis <b>of</b> the later <b>covenants</b> with Noah, Abraham, Moses, David and the New Covenant in Christ.|$|R
5000|$|The <b>covenant</b> <b>of</b> grace {{promises}} {{eternal life}} for all people who have faith in Christ. He also promises the Holy Spirit to the elect to give them willingness and ability to believe. Christ is the substitutionary covenantal representative fulfilling the <b>covenant</b> <b>of</b> works on their behalf, in both the positive requirements of righteousness and its negative penal consequences (commonly described as his active and passive obedience). It is the historical expression <b>of</b> the eternal <b>covenant</b> <b>of</b> redemption. Genesis 3:15, {{with the promise of}} a [...] "seed" [...] of the woman who would crush the serpent's head, is usually identified as the historical inauguration for the <b>covenant</b> <b>of</b> grace.|$|R
50|$|Covenant {{theology}} first sees a <b>covenant</b> <b>of</b> works administered with Adam in the Garden of Eden. Upon Adam's failure, God {{established the}} <b>covenant</b> <b>of</b> grace in the promised seed Genesis 3:15, and shows his redeeming care in clothing Adam and Eve in garments of skin — perhaps picturing {{the first instance}} of animal sacrifice. The specific covenants {{after the fall of}} Adam are seen as administered under the overarching theological <b>covenant</b> <b>of</b> grace.|$|R
5000|$|Having created man in His {{image as}} a free {{creature}} with knowledge, righteousness, and holiness, God entered into a <b>covenant</b> <b>of</b> works whereby the mandate was [...] "do this and live" [...] (Romans 10:5, Galatians 3:12). [...] "Like Adam, they have trespassed the covenant" [...] (Hosea 6:7) is the classic reference to the <b>covenant</b> <b>of</b> works; Hebrews 8:6; 9:15; 12:24 the reference that explains God's work of redemption in the <b>Covenant</b> <b>of</b> Grace.|$|R
50|$|All the {{covenants}} that God makes {{with humans}} after the Fall, (e.g. with Noah, Abraham, Moses, and David) all extend the <b>Covenant</b> <b>of</b> Grace to its logical conclusion in Jesus Christ. In Covenant theology, however, {{there is a}} long-standing understanding that the Mosaic Covenant is also a republication <b>of</b> the <b>Covenant</b> <b>of</b> Works, which required obedience to receive its benefits. The underlying <b>Covenant</b> <b>of</b> Grace extends through the whole Old Testament, which suggests that two covenants are in play throughout the history <b>of</b> Israel. Consequently, <b>Covenant</b> theologians see that the Church, or the people of God, existed in the Old Testament. These {{are the people who}} placed their faith in Christ in advance, and they are saved in the same way Christians are. Not every Israelite is in the Church (or elect), many exist under the <b>Covenant</b> <b>of</b> Works and its strict unattainable requirements, but not under the <b>Covenant</b> <b>of</b> Grace.|$|R
40|$|Examines {{the role}} played by the concept of {{possession}} in the common law tradition and the extent of its significance in the twenty-first century. Considers the early law concept <b>of</b> <b>seisin,</b> the principles <b>of</b> possession in modern law and the operation of original acquisition rules in modern property law. Discusses the concept of adverse possession of land, including the House of Lords ruling in JA Pye (Oxford) Ltd v Graham, the relationship between adverse possession and human rights law and the impact of the Land Registration Act 2002...|$|R
5000|$|Part 2) Patriarchal age: <b>Covenant</b> <b>of</b> Abraham, Heirship of Jacob or ultimogeniture, Jacob and the kidskins {{or the new}} birth, Jacob at Bethel, Jacob at the well, <b>covenant</b> <b>of</b> the cairn, Jacob at {{the ford}} of the Jabbok, Joseph's cup; ...|$|R
