1|118|Public
5000|$|... #Caption: AMP MATE-N-LOK 1-480424-0 Power <b>connector</b> (<b>female</b> pins) ...|$|E
5000|$|... #Caption: A front-on view of {{a typical}} pair of Tyco Solarlok solar panel connectors. The blue ring on the <b>female</b> <b>connector</b> {{indicates}} that it is keyed for negative polarity. The keys are the plastic ridges running along the probe on the right connector. The right <b>connector</b> is the <b>female</b> electrically, although it appears male mechanically.|$|R
5000|$|... #Caption: A common coaxial power <b>connector,</b> {{male and}} <b>female,</b> 5.5 x 2.5 mm ...|$|R
5000|$|... #Caption: Panel Drain (<b>female)</b> <b>connectors,</b> {{for feeding}} power in to a {{portable}} distribution cabinet ...|$|R
50|$|With an RS232 serial port, {{the male}} {{connector}} is more fragile than the <b>female</b> <b>connector.</b>|$|R
5000|$|... #Caption: An S-video connector. Because {{this is a}} <b>female</b> <b>connector,</b> Pin 1 is {{at lower}} right.|$|R
5000|$|... #Caption: VMEbus crate. 3×32 DIN 41612 <b>female</b> <b>connectors</b> {{can be seen}} on {{the green}} {{motherboard}} in back.|$|R
50|$|The 2402 had a 9-pin <b>female</b> <b>connector</b> for a CGA monitor. The 2402A had an EGA card.|$|R
5000|$|... #Caption: A null modemcable with a <b>female</b> <b>connector</b> on each end, both {{of which}} serve as plugs ...|$|R
5000|$|There are {{two sizes}} of Tamiya connectors, regular and mini. The outside {{dimensions}} of the <b>female</b> <b>connector</b> are: ...|$|R
50|$|DE-9 {{connectors}} {{are commonly}} used in CAN: <b>female</b> <b>connectors</b> are on the bus while male connectors are on devices.|$|R
5000|$|In Romania <b>female</b> <b>{{connectors}}</b> {{are known}} as [...] "mamă" [...] (mother) and male connectors are [...] "tată" [...] (father).|$|R
5000|$|With {{the angles}} {{measured}} clockwise {{looking at the}} <b>female</b> <b>connector</b> (counter-clockwise looking at the male), the various key positions indicate: ...|$|R
5000|$|... #Caption: Lithium polymer battery for Parrot AR.Drone with 4-pin JST-XH <b>female</b> <b>{{connector}}</b> (right, {{facing the}} camera) and 2-pin mini-Tamiya connector (left).|$|R
50|$|Most typically, {{external}} drive enclosures will have <b>female</b> <b>connectors,</b> while cables {{will have two}} male connectors. As with everything SCSI, there are exceptions.|$|R
5000|$|... #Caption: XLR-LNE three-pin {{male and}} <b>female</b> <b>connectors,</b> {{originally}} used for mains power connections. Note that the panel connector is shrouded for safety reasons.|$|R
50|$|Attachment is {{made with}} a 5/8-27 {{threaded}} ring that can be unthreaded over {{the body of the}} connector body allowing the <b>female</b> <b>connector</b> to become a male connector.|$|R
50|$|RS-232 devices may be {{classified}} as Data Terminal Equipment (DTE) or Data Circuit-terminating Equipment (DCE); this defines at each device which wires will be sending and receiving each signal. According to the standard, male connectors have DTE pin functions, and <b>female</b> <b>connectors</b> have DCE pin functions. Other devices may have any combination of connector gender and pin definitions. Many terminals were manufactured with <b>female</b> <b>connectors</b> but were sold with a cable with male connectors at each end; the terminal with its cable satisfied the recommendations in the standard.|$|R
5000|$|The term [...] "socket" [...] is {{analogous}} to physical <b>female</b> <b>connectors,</b> communication between two nodes through a channel being visualized as a cable with two male connectors plugging into sockets at each node. Similarly, the term [...] "port" [...] (another term for a <b>female</b> <b>connector)</b> is used for external endpoints at a node, and the term [...] "socket" [...] is also used for an internal endpoint of local inter-process communication (IPC) (not over a network). However, the analogy is strained, as network communication need not be one-to-one or have a channel.|$|R
5000|$|... #Caption: AUI Connectors. The male {{connector}} (left) {{is on the}} MAU and the <b>female</b> <b>connector</b> (right) is on the MAC device (normally either a computer or an Ethernet hub) ...|$|R
50|$|The usual wiring has the {{positive}} (red) wire {{running to the}} terminal with a square profile, and the negative (black) wire running to the half-circle, half-square terminal. This is true for both genders of <b>connector.</b> The <b>female</b> sockets are in a male housing and the male pins are in a female housing. The male pins (<b>female</b> housing) <b>connector</b> is usually on the battery side.|$|R
50|$|The widest {{application}} of D-subs is for RS-232 serial communications, though the standard {{did not make}} this connector mandatory. RS-232 devices originally used the DB25, but for many applications the less common signals were omitted, allowing a DE-9 to be used. The standard specifies a male connector for terminal equipment and a <b>female</b> <b>connector</b> for modems, but many variations exist. IBM PC-compatible computers tend to have male connectors at the device and <b>female</b> <b>connectors</b> at the modems. Early Apple Macintosh models used DE-9 connectors for RS-422 multi-drop serial interfaces (which can operate as RS-232). Later Macintosh models use 8-pin miniature DIN connectors instead.|$|R
5000|$|... 66 blocks are {{available}} pre-assembled with an RJ-21 <b>female</b> <b>connector</b> that accepts a quick {{connection to a}} 25-pair cable with a male end. These connections are typically made between the block and the customer premises equipment (CPE).|$|R
5000|$|... #Caption: Figure 2. Female RP-SMA {{connector}}: <b>Female</b> <b>connector</b> body (outside threads) {{with a male}} inner pin contact. A male RP-SMA connector is {{the opposite}} in both respects — male connector body (inside threads) with a female inner sleeve contact.|$|R
