1|46|Public
50|$|EUH204: <b>Contains</b> <b>isocyanates.</b> May {{produce an}} {{allergic}} reaction.|$|E
30|$|One of {{the main}} {{end-product}} categories for isocyanates are PUF and PUR foams as well as polyisocyanurate (PIR) foams (Markets and Markets 2011). TDI is mainly used {{for the production of}} flexible foam but can also be used in lacquers. MDI is used to produce rigid foam, as a base for glues or as a binder in sand moulds for iron casting (Dahlin 2007). Isocyanates such as hexamethylene di-isocyanate (HDI) and isophorone di-isocyanate (IPDI), are used in applications such as coatings as these compounds are UV-resistant (Karlsson et al. 1998). Aromatic isocyanates like TDI and MDI oxidize when exposed to UV-light and are therefore not suitable to be used in outdoor coatings (Rogers & Long 2003). Besides insulation foams, PU sprays <b>containing</b> <b>isocyanates</b> have been developed {{for a wide range of}} applications to protect concrete, wood, steel and aluminium constructions and fibreglass (Avar et al. 2012).|$|R
40|$|In this work, we {{demonstrate}} experimentally {{the use of}} {{an array}} of gold nanodisks on functionalized silicon for chemosensing purposes. The metallic nanostructures are designed to display a very strong plasmonic resonance in the infrared regime, which results in highly sensitive sensing. Unlike usual experiments which are based on the functionalization of the metal surface, we functionalized here the silicon substrate. This silicon surface was modified chemically by buildup of an organosilane self-assembled monolayer (SAM) <b>containing</b> <b>isocyanate</b> as functional group. These groups allow for an easy surface regeneration by simple heating, thanks to the thermally reversible interaction isocyanate-analyte, which allows the cyclic use of the sensor. The technique showed a high sensitivity to surface binding events in gas and allowed the surface regeneration by heating of the sensor at 150 °C. A relative wavelength shift Δλmax/λ 0 = 0. 027 was obtained when the saturation level was reached...|$|R
40|$|Microcapsule-based {{self-healing}} systems enable {{repair of}} crack damage in polymers and polymer matrix composites. Existing self-healing chemistries {{are limited by}} relatively weak chemical bonding between the matrix and the healing material, temperature stability, and side reactions that degrade the active components. We demonstrate {{for the first time}} a two-part system that incorporates a healing chemistry similar to the matrix curing chemistry, enabling chemical bonding between the healed material and the matrix material. Amine-containing microcapsules are synthesized by interfacial polymerization of a polyurea about a droplet of amine by means of suspension polymerization. Capsules are subsequently isolated and analyzed for content, and shown to contain reactive amine. The microcapsules containing reactive amine are employed in concert with microcapsules containing epoxy resin to recover fracture toughness in a cured epoxy. Both capsule types are dispersed in an epoxy resin and the resin is chemically cured. Mechanical load is applied to propagate a crack and rupture microcapsules contained within the cured resin. The average peak load at failure in a virgin specimen is recorded, and compared to the average peak load at failure in the same specimen after a healing period. Recovery of fracture toughness is limited to 15 % for specimens healed at temperatures of 50 oC and below, whereas healing efficiencies of up to 60 % are observed for specimens healed at temperatures above 80 oC. Control specimens where amine was not present failed to recover. Microcapsules <b>containing</b> <b>isocyanate</b> are also prepared by means of interfacial polyurea condensation. These capsules are also isolated and analyzed for content, and shown to <b>contain</b> reactive <b>isocyanate.</b> No healing was observed with these capsules, however, due to problems with bonding and long-term stability. With refinement, the isocyanate system is projected for use in polyurethane matrix materials where a moisture-cure could promote the healing reaction...|$|R
40|$|We {{report the}} case of a 43 -yr-old car painter who died within 1 h of {{exposure}} to a polyurethane paint in the workplace. A diagnosis of asthma induced by toluene diisocyanate (TDI) had been established 6 yr before, when he underwent inhalation challenges with carbachol and with TDI. The subject had airway hyperresponsiveness to carbachol (PD 20 FEV 1 carbachol = 0. 32 mg; normal value greater than 1. 0 mg) and developed an early and long-lasting asthmatic reaction after exposure to TDI in the laboratory. Although it was recommended that he change his job or stop using paints <b>containing</b> <b>isocyanates,</b> he continued to work as a car painter, taking antiasthmatic drugs both at work and at home to control asthma symptoms. On Monday, October 6, 1986, at 11 : 30 A. M., he developed a severe attack of asthma while he was mixing the 2 components of a polyurethane paint. Taken to hospital, he was dead on arrival. Autopsy showed no evidence of cardiac or brain disease; lungs were overinflated, the cut surface showed grey glistening mucous plugs in in the airways. Histologic examination showed denudation of airway epithelium and thickening of the basement membrane with infiltration of the lamina propria by polymorphonuclear leukocytes, mainly eosinophils, and diffuse mucous plugging of bronchioles. Bronchial smooth muscle appeared hyperplastic and disarrayed, and lung parenchyma showed focal areas of alveolar destruction adjacent to areas of perfectly intact alveolar walls...|$|R
2500|$|Polyurethanes are in {{the class}} of {{compounds}} called reaction polymers, which include epoxies, unsaturated polyesters, and phenolics. [...] Polyurethanes are produced by reacting an <b>isocyanate</b> <b>containing</b> two or more isocyanate groups per molecule (R−(N=C=O)n) with a polyol containing on average two or more hydroxyl groups per molecule (R′−(OH)n) {{in the presence of a}} catalyst or by activation with ultraviolet light.|$|R
30|$|Human {{exposure}} to low doses of airborne isocyanates can for instance occur during spray painting cars using paints <b>containing</b> <b>isocyanates.</b> Reeb-Whitaker et al. (Reeb-Whitaker et al. 2012) reports of {{sampling of the}} airborne isocyanates HDI and IPDI in auto body shops in the US using two PTFE filters in series impregnated with 1 -(2 -pyridyl)piperazine (2 -PP) and 9 -(methyl- aminomethyl)anthracene (MAMA) respectively. The results from the study indicates a high occupational exposure for the two isocyanates, as eighty per cent of the samples contained concentrations above the OSHA STEL value (Reeb-Whitaker et al. 2012). As a comparison, 98  % of the samples were above the UK HSE STEL (Reeb-Whitaker et al. 2012). When analysing urine samples from workers in in vehicle repair shops, Williams et al. (Williams et al. 1999) found the metabolite of HDI, hexamethylene diamine (HDA), in four out of 22 spray workers and one by-stander, even {{with the use of}} personal protective equipment among the workers. HDA was not found in individuals not exposed to HDI (Williams et al. 1999). Although the metabolism of HDI and oligomers of HDI is not well understood, there is seemingly a good correlation between the amount of airborne HDI and the amount of HDA excreted via urine (Brorson & Skarping 1990). Several other studies have reported a similar correlation between TDI (Rosenberg & Savolainen 1986; Brorson et al. 1991; Persson et al. 1993) and IPDI (Tinnerberg et al. 1995) with their respective amines after human exposure and excretion via the urine.|$|R
40|$|Polyurethane resin <b>containing</b> <b>isocyanate</b> {{is marked}} by {{excellent}} tensile and mechanical strengths and this test aims to gauge its applicability as a medical high polymer. Tris [2 -(acryloyloxy) ethyl]isocyanurate and hexamethylenediisocyanate were added to a basic mixing ratio of HEMA (2 -hydroxyethyl methacrylate), MMA (methyl methacrylate), NVP (n-vinyl- 2 -pyrrolidone) and crosslink agent, EGDMA (ethylene glycol dimethacrylate) with increasing proportions and copolymerized respectively. Also, the basic physical properties of the polymerized high polymers including refraction rate, tensile strength, light transmission and water content were measured to confirm that they are appropriate as hydrogelcontact lenses. After measuring the physical properties of high performance polymers produced by adding tris [2 -(acryloyloxy) ethyl]isocyanurate, {{it was found that}} the average tensile strengths of sample TRIS 1 to TRIS 10 were between 0. 285 and 0. 612 kgf, while the average values of refractive index were ranged from 1. 441 to 1. 449 with water content from 30. 00 to 37. 35 %. The measurement of physical properties of the copolymers generated by adding hexamethylenediisocyanate showed that the average tensile strength of sample HEXA 1 to HEXA 10 ranged from 0. 267 to 1. 742 kgf, the refractive index ranged from 1. 443 to 1. 475 and water contents were in the range of 21. 22 to 35. 58 %. In all combinations the transmission rates satisfied the transmittance of general hydrogel contact lenses. From theresults, it is possible to conclude that the produced copolymers can be used as contact lens materials with excellent tensile strength...|$|R
30|$|Early work by Woolley et al (1975) {{indicated}} that the decomposition of polyurethanes up to around 600  °C resulted in the volatilisation of fragmented polyurethane and subsequent release into a nitrogen rich ‘yellow smoke’, <b>containing</b> partially polymerised <b>isocyanates</b> and droplets of isocyanate from the foam. Higher temperatures resulted in the volatilisation {{of most of the}} polyurethane precursors via the formation of lower molecular weight compounds.|$|R
30|$|Results of the {{preparation}} and characterization of homopolymers of 2 -methacryloyloxyethyl isocyanate (MOI) and co-polymers of MOI with styrene synthesized by radical polymerization are shown. The polymers were significantly effective as additives for paper dry and wet strength. Dry strength {{can be increased}} by 75 % and wet strength retention of sheets can reach 30 % based on the increased dry strength and about 50 % based on the dry strength of untreated sheet. In terms of sheet wet strength improvement, based on isocyanate group consumption, copolymers <b>containing</b> less <b>isocyanate</b> obtain a better effect than homopolymers. Furthermore, base paper containing {{a small amount of}} polyallylamine hydrochloride was used for polymer treatment and produced more wet strength improvement.|$|R
40|$|International audienceThis review {{focuses on}} various {{strategies}} that enable the crosslinking and post-crosslinking of polymers, excluding crosslinking obtained by radiation (e. g., X-ray, UV, etc.) {{and that at}} high temperature. The review {{is divided into two}} main parts: systems enabling crosslinking at room temperature and those for which crosslinking occurs at intermediate temperatures (< 150 ◦C). In the first part, various key functional groups can be used, such as (i) carboxylic acid involving reactions with compounds that bear carbodiimide or aziridine functions; (ii) acetoacetyl groups (with isocyanate, activated alkenes, aldehyde, amine functions); (iii) reactions involving activated amines with carbonyl functions (aldehydes, ketones, etc.); (iv) species bearing acetals as pH-sensitive crosslinking agents since they are stable in basic medium but they can self react under acidic conditions; (v) acrylamide functions which are able to self-crosslink; (vi) crosslinking agents able to react with water (such as species that bear a poly(alkoxy) silane for sol–gel process) and derivatives <b>containing</b> <b>isocyanate</b> functions and (vii) systems that require oxygen, for example polymers bearing double bonds, boranes for generating hydroperoxides and acetylenic functions which undergo acetylenic coupling. The second series of systems, used at higher temperatures (yet below 150 ◦C) involving the following key functions: (i) carboxylic acid that react with oxazoline, or epoxide function where specific catalysts are necessary; (ii) alcohols reacting with protected urethanes, azlactones and methylol amide (for coating applications); (iii) azetidines (obtained from a cyclic amine onto an activated double bond) which selfcrosslink; (iv) reversible Diels–Alder reaction (such as furane/bismaleimide reaction), and (v) Huisgen reactions between azido and triple bond. Various examples are presented, along with a discussion of their properties and applications...|$|R
25|$|Union Carbide {{became a}} {{subsidiary}} of Dow Chemical in 2001. The Bhopal disaster of 1984 occurred at a pesticide plant owned by Union Carbide India Ltd., {{a subsidiary of}} Union Carbide, 17 years before Dow Chemical Co.'s acquisition. A gas cloud <b>containing</b> methyl <b>isocyanate</b> and other chemicals spread to the neighborhoods near the plant where {{more than half a}} million people were exposed to it. More than 27 years after the event, the actual number of fatalities is still unknown. The official immediate death toll was 2,259 and the government of Madhya Pradesh has confirmed a total of 3,787 deaths related to the gas release. Others estimate 3,000 died within weeks and another 8,000 have since died from gas-related diseases.|$|R
40|$|Hempel Coatings Company have into {{products}} assortment a {{group of}} paints {{which is based on}} isocyanate pre-polymer resins which cure with moisture forming a coating based on polyurea. These paints are called 1 component polyurethanes (1 K PU) or moisture curing polyurethanes (MCU). The principal function of these paints is the protection of substrates providing durability to the assets. This project was proposed by Protective Coatings R&D Department due to two reasons: - The resins and water scavengers used for 1 K PU are used only for these products so it is really important to have as reduced raw materials stock as possible. In addition these coatings represent {{a small percentage of the}} overall Hempel’s Coatings production. - Recently REACH (Regulation on Registration, Evaluation, Authorization and Restriction of Chemicals) has included all the products <b>containing</b> MDI <b>isocyanate</b> monomer/oligomer in the risk sentence R 40, limited evidence of a carcinogenic effect, and two 1 K PU coatings existing in Hempel <b>contain</b> this <b>isocyanate.</b> Thus this project was thought to study the isocyanate resins and water scavengers available in Hempel’s raw materials stock to reformulate the existing products. When reformulating the existing products the aim is improve 1 K PU performance, reduce raw materials stock and, if possible, avoid the use of MDI isocyanates. The project planning consists of the reformulation of all the possible alternatives of the existing standard products using the raw materials available. Afterwards the products formulated must be produced by vacuum dissolver in order to avoid the moisture incorporation. Finally these products have to be applied on the panels for the final testing. The main properties that 1 K PU products need to present have been tested and the best combination of isocyanate resins and water scavengers should be found out...|$|R
40|$|When {{exposed to}} them, {{isocyanates}} can induce serious {{injuries in the}} respiratory tract and irritation on the skin and in the eyes. They are therefore interesting {{from the point of}} view of occupational health. The purpose of this thesis was to collect isocyanates in air with impinger-filter samplers and solvent free samplers. Furthermore the isocyanates were to be analyzed with liquid chromatography-mass spectrometry. The solvent free sampler consists of a polypropylene tube and filter holder fitted with glass fiber filters impregnated with derivatization reagent, coupled with a pump. The impinger-filter sampler was made out of an impinger flask, containing a derivatization solution, coupled in series with a filter holder and a pump. Di-n-butylamine was used as derivatization reagent in both samplers to stabilize the reactive isocyanates and to enable mass spectrometric detection. The solvent free sampler is highly advantageous because of its user friendliness during field measurements, as opposed to the impinger-filter method. An exposure chamber, equipped with two interior fans to ensure good circulation, was used to generate an atmosphere <b>containing</b> <b>isocyanates.</b> Analyzing the isocyanate-DBA derivates with LC-MS/MS worked very well and the method made it possible to detect isocyanate levels below 1 ng/mL. During quantification of isocyanates a standard curve with concentrations from 1 to 1000 ng/mL was used. Detection of isocyanate levels as low as one fifth of the limit value of some isocyanates was found to be possible, which would indicate that the methods are sensitive. Even though the solvent free sampler worked, the impinger-filter sampler was found to be more effective in collecting isocyanates. The coefficient of variation calculated from concentrations of isocyanates from the solvent free sampler varied between 0 - 35 %. The reason for this might be due to the fact that an optimized extraction method had not been tried out within the time limit of this project. Questions, identified during this thesis work, need to be answered before being able to obtain reliable results from field measurements with the solvent free sampler...|$|R
40|$|Objectives: To study {{inhalation}} and {{dermal exposure}} to hexamethylene diisocyanate (HDI) and its oligomers {{as well as}} personal protection equipment (PPE) use during task performance in conjunction with urinary hexamethylene diamine (HDA) in car body repair shop workers and industrial spray painters. Methods: Personal task based inhalation samples (n = 95) were collected from six car body repair shops and five industrial painting companies using impingers with di-n-butylamine (DBA) in toluene. In parallel, dermal exposure was assessed using nitril rubber gloves. Gloves were submerged into DBA in toluene after sampling. Analysis for HDI and its oligomers was performed by LC-MS/MS. Urine samples were collected from 55 workers (n = 291) and analysed for HDA by GC-MS. Results: Inhalation exposure was strongly associated with tasks during which aerosolisation occurs. Dermal exposure occurred during tasks that involve direct handling of paint. In car body repair shops associations were found between detectable dermal exposure and glove use (odds ratio (OR) 0. 22, 95 % confidence interval (CI) 0. 09 to 0. 57) and inhalation exposure level (OR 1. 34, 95 % CI 0. 97 to 1. 84 for a 10 -fold increase). HDA in urine could be demonstrated in 36 % and 10 % of car body repair shop workers and industrial painting company workers respectively. In car body repair shops, the frequency of detectable HDA was significantly elevated {{at the end of}} the working day (OR 2. 13, 95 % CI 1. 07 to 4. 22 for 3 - 6 pm v 0 - 8 am). In both branches HDA was detected in urine of ∼ 25 % of the spray painters. In addition HDA was detected in urine of a large proportion of non-spray painters in car body repair shops. Conclusion: Although (spray) painting with lacquers <b>containing</b> <b>isocyanate</b> hardeners results in the highest external exposures to HDI and oligomers, workers that do not perform paint related tasks may also receive a considerable internal dose...|$|R
40|$|Objectives: The {{automotive}} industry represents {{the most important}} industrial sector in Czechia. The objective of this study has been to analyze the occurrence of occupational diseases (OD) in the {{automotive industry}} {{during the period from}} 2001 till 2014. Material and Methods: Data on OD cases was retrieved from the National Registry of OD. Further, we conducted a survey in automotive companies with focus on occupational health services and positions of the companies in global production networks (GPNs). An analysis of OD distribution in the automotive industry was performed (age, gender, company size and its role in GPNs, regional distribution of studied companies, and regional unemployment rate), and was accompanied by assessment of the quality and range of occupational health services. Results: Employees older than 40 years old have nearly 2. 5 times higher probability of OD occurrence as compared with employees younger than 40 years old (odds ratio (OR) = 2. 41, 95 % confidence interval (CI) : 2. 05 – 2. 85). Occupational diseases occurrence probability was 3 times higher for women than for men (OR = 3. 01, 95 % CI: 2. 55 – 3. 55). Occupational diseases incidence rates increased with the size of the company (0 OD/ 10 000 employees in micro enterprises to 57 OD/ 10 000 employees in large enterprises). A particularly steep rise in OD incidents in the automotive industry was observed in the Plzeň Region between 2001 and 2011. An association between OD incidents and the unemployment rate was not statistically confirmed. Conclusions: A statistically significant increase in OD incidents dependent on company size may be arguably attributed to a higher quality of occupational medical services in bigger companies, which ensures better detection and diagnosis of OD. In the Plzeň Region, the rapid increase in OD incidents was mainly caused by a change in the production process of automobile textiles in one factory due to the introduction of a glue <b>containing</b> <b>isocyanates,</b> which are potent allergising agents. This led to an increase in occupational allergic diseases – bronchial asthma in particular. Int J Occup Med Environ Health 2017; 30 (3) : 455 – 46...|$|R
40|$|NASA and Air Force Space Command (AFSPC) {{have similar}} {{missions}} and therefore similar facilities and structures in similar environments. The standard practice for protecting metallic substrates in atmospheric environments is {{the application of}} an applied coating system. The most common topcoats used in coating systems are polyurethanes that <b>contain</b> <b>isocyanates.</b> Isocyanates are classified as potential human carcinogens and are known to cause cancer in animals. The primary objective of this effort was to demonstrate and validate alternatives to aliphatic isocyanate polyurethanes resulting {{in one or more}} isocyanate-free coatings qualified for use at AFSPC and NASA installations participating in this project. This Cost-Benefit Analysis (CBA) quantifies the estimated capital and process costs of coating alternatives and cost savings relative to the current coatings. The estimates in this CBA are to be used for assessing the relative merits of the selected alternatives. The actual economic effects at any specific facility will depend on the alternative material or technology implemented, the number of actual applications converted, future workloads, and other factors. The participants initially considered eighteen (18) alternative coatings as described in the Potential Alternatives Report entitled Potential Alternatives Report for Validation of Alternatives to Aliphatic Isocyanate Polyurethanes, prepared by ITB. Of those, 8 alternatives were selected for testing in accordance with the Joint Test Protocol entitled Joint Test Protocol for Validation of Alternatives to Aliphatic Isocyanate Polyurethanes, and the Field Test Plan entitled Field Evaluations Test Plan for Validation of Alternatives 10 Aliphatic Isocyanate Polyurethanes, both of which were prepared by ITB. A joint Test Report entitled Joint Test Report for Validation of Alternatives to Aliphatic Isocyanate Polyurethanes, prepared by ITB, documents the results of the laboratory and field testing, as well as any test modifications made during the execution of the testing. The coatings selected for evaluation in this CBA are shown in the table below. Only one control coating system is considered in this analysis. These coatings were either downselected for Phase II or performed well enough {{to be included in the}} Qualified Products List in the NASA technical standard NASA-STD- 5008, Protective Coating of Carbon Steel, Stainless Steel, and Aluminum on Launch Structures, Facilities, and Ground Support Equipment...|$|R
40|$|Cyclic {{butylene}} terephthalate oligomers (CBT) were reacted in a ring-opening polymerization {{with three}} types of isocyanates: a bifunctional aromatic type, a bifunctional aliphatic type and a polymeric aromatic isocyanate. All reactions {{took place in a}} batch mixer. The use of 0. 5 to 1 wt% isocyanate led to a dramatic increase in elongation at break of polymerized cyclic butylene terephthalate (pCBT), from 8 to above 100 %. The stiffness and strength of the modified pCBT, however, were found to slightly decrease. Proton nuclear magnetic resonance (NMR) analysis shows that the formation of thermally stable amide groups is the dominant chain extension reaction mechanism. Gel content measurements suggest a linear structure for samples <b>containing</b> bifunctional <b>isocyanates</b> while pCBT modified with polyfunctional isocyanate exhibited some gel formation at higher isocyanate content. Melting and crystallization temperatures as well as degree of crystallinity were found to decrease with increasing isocyanate content. No phase separation was detected by scanning electron microscopy (SEM) analysis. Moreover, a high degree of polymerization is deduced due to the absence of CBT oligomer crystals...|$|R
30|$|HDI monomer eluting at 9.35  min was {{identified}} {{in all the}} pyrograms produced for water-dispersible polyisocyanate resins. All of them display additional peaks identifying isocyanic acid, 3 -quinuclidone and HMI, in other words, the same decomposition products as those detected for the unmodified polyisocyanate resins discussed above. The Py-GC/MS results obtained for activators made from HDI isocyanurates showed the decomposition of the cyclic trimer on pyrolysis. However, a very small peak of trimethyl isocyanurate was observed in the pyrogram of the H 2 O activator from NCP. The most {{significant difference between the}} pyrograms of water-dispersible and regular resins lies {{in the presence of a}} dominant peak of 2 -ethylhexan- 1 -ol (2 -EH) at 6.51  min in the pyrograms of aqueous resins. In PU industry, 2 -EH is used as blocking agent to make polyisocyante resins <b>containing</b> blocked <b>isocyanate</b> groups [7]. Because of a low reactivity, alcohol-blocked isocyanates are favored in the preparation of waterborne coatings with high stability [6]. Although, the peak area is variable depending on the sample, 2 -EH can be considered as a marker compound, relevant for the identification of waterborne PU systems.|$|R
40|$|Abstract: Use {{polyurethane}} rubber composite modified asphalt. Through the Marshall {{test and}} rutting test, test of polyurethane rubber asphalt mixture high temperature stability, low temperature crack resistance and water damage resistance, verify the composite modification advantages. Polyurethane The full name {{is called the}} pu polyurethane, the molecular structure of polymer compounds containing NHCOO- unit, the unit composed of isocyanate and hydroxyl reaction, reaction is as follows:- N = C = O + HO ¯ [...] NH- ¯ the COO. Polyurethane (pu) due to the carbamate group with strong polarity, not soluble in nonpolar groups, has a good oil resistance, toughness, wear resistance, aging resistance and adhesive properties. Different materials {{can be made to}} adapt {{to a wide range of}} temperature (50 ～ 150 ℃) materials, including single component polyurethane and polyurethane. It is not resistant to hydrolysis in high temperature, also not in alkaline medium. This paper uses a single component polyurethane materials. Single component polyurethane material <b>containing</b> terminal <b>isocyanate</b> (-NCO) prepolymer, is composed of terminal isocyanate prepolymer, additives, fillers, solvents consisting of single component liquid, reactive polymer material. Its film-forming types have we...|$|R
2500|$|Polyurethanes, {{especially}} those made using aromatic <b>isocyanates,</b> <b>contain</b> chromophores that interact with light. [...] This {{is of particular}} interest in the area of polyurethane coatings, where light stability is a critical factor and is the main reason that aliphatic isocyanates are used in making polyurethane coatings. When PU foam, which is made using aromatic isocyanates, is exposed to visible light, it discolors, turning from off-white to yellow to reddish brown. It has been generally accepted that apart from yellowing, visible light has little effect on foam properties. This is especially the case if the yellowing happens on the outer portions of a large foam, as the deterioration of properties in the outer portion has little effect on the overall bulk properties of the foam itself.|$|R
40|$|Radiation curable {{coatings}} {{based on}} urethane acrylates offer {{a broad spectrum}} of performance providing a range from highly elastic to very hard coatings with high toughness and abrasion resistance. Furthermore, aliphatic urethane acrylates show good weather resistance. However, the application of urethane acrylates is limited due to relatively high viscosity resulting from hydrogen bridge bonding between functional urethane groups which is on the other hand responsible for superior mechanical properties. The viscosity of a given formulation can be adjusted by adding solvent or reactive thinner which influence the crosslinking density of the coating. New low viscous urethane acrylates based on a novel type of <b>isocyanate</b> <b>containing</b> acrylate functionality via allophanate are presented. Potential outdoor applications in automotive coatings providing highly scratch resistant clear coats are discussed...|$|R
50|$|Polyurethanes, {{especially}} those made using aromatic <b>isocyanates,</b> <b>contain</b> chromophores that interact with light. This {{is of particular}} interest in the area of polyurethane coatings, where light stability is a critical factor and is the main reason that aliphatic isocyanates are used in making polyurethane coatings. When PU foam, which is made using aromatic isocyanates, is exposed to visible light, it discolors, turning from off-white to yellow to reddish brown. It has been generally accepted that apart from yellowing, visible light has little effect on foam properties. This is especially the case if the yellowing happens on the outer portions of a large foam, as the deterioration of properties in the outer portion has little effect on the overall bulk properties of the foam itself.|$|R
40|$|Combustion of {{polyurethane}} foams releases toxic gaseous products. Therefore, {{decreasing the}} flammability of polyurethane foams is of practical significance {{to public health}} and the environment. The reported study investigated the thermal stability of urethane modified polyisocyanurate foams based on the presence of aromatic, aliphatic polyester polyol and polyether polyol moieties. Thermogravimetric analysis and differential scanning calorimetry demonstrated that the foam <b>containing</b> the lowest <b>isocyanate</b> index (220) and the lowest molecular mass of polyether polyol (200) was the most flammable (35 % of char residue). Furthermore, the foams which contained a high molecular mass of polyether polyol (2000) and high isocyanate index (460) experienced fire performance (45 % of char residue) similar to those foams containing aliphatic and aromatic polyester polyol (41 and 44 % of char residue respectively) ...|$|R
