1|10000|Public
5000|$|A. Hald (2001) [...] "On the History of the <b>Correction</b> <b>for</b> <b>Grouping,</b> 1873-1922", Scandinavian Journal of Statistics, 28, 417 - 428.|$|E
40|$|OBJECTIVES: Improvement in {{localized}} bone regeneration {{is needed}} to avoid the use of autogenous tissue. For that purpose, the use biologic mediators was proposed. The aim was to test whether or not one of two biologic mediators, recombinant human bone morphogenetic protein- 2 (rhBMP- 2) or recombinant platelet-derived growth factor (rhPDGF-BB), is superior {{to the other and}} to control <b>groups</b> <b>for</b> localized bone regeneration. MATERIALS AND METHODS: Four cylinders (height: 5  mm; diameter: 7  mm) were screwed on the parietal and frontal bones at the cranium in 12 rabbits. The cylinders either received (i) deproteinized bovine bone mineral (DBBM) mixed rhBMP- 2 (DBBM/BMP- 2), (ii) DBBM mixed with rhPDGF-BB (DBBM/PDGF), (iii) DBBM (DBBM), and (iv) empty control (control). Rabbits were euthanized at 2  and 8  weeks (n =  6, respectively). Conventional histomorphometric and micro-CT analyses were performed. Parametric linear mixed models were applied for the analyses with Bonferroni <b>correction</b> <b>for</b> the multiple <b>group</b> comparisons. RESULTS: The area of bone regeneration (histology; AAHisto) at 2  weeks peaked for DBBM (41. 91...|$|R
40|$|Aim of {{this paper}} is to further {{investigate}} the growth effects of structural reforms in Latin America and the Caribbean (LAC). Although some work on the topic already exists this is based on dynamic panel data models where reforms are measured by means of the Reform Indexes, originally calculated by Lora et al. (1997) and then extended by Morley et al. (1999) for the period 1970 - 1995. Now, with much of the reform effort in LAC countries concentrated in the end of the 80 s and in the beginning of the 90 s, an empirical analysis with observations up to 1995 might not be enough for a correct detection of growth effects of structural reforms. Moreover, previous results might be driven by the estimation strategy too.;Within this frame, this paper tries to contribute in both ways. Firstly, an actualized version of the Reform Indexes(Escaith et al. (2003)) is used with observations up to 2000. Secondly, differently from previous studies, the estimation strategy is based on the adoption of Within Group estimator and Kiviet(1995) <b>correction</b> <b>for</b> Within <b>Group</b> estimator when, given the number of cross-section units, a shorter time dimension is at hand. Results are compared to estimates from Arellano and Bondo first difference estimator. Finally a sensitivity analysis is performed in order to check the robustness of results. ...|$|R
30|$|The Mann–Whitney-U {{test was}} used <b>for</b> <b>group</b> comparison. We chose a {{significance}} level of α =  5  %. The primary outcome was the performance in the MC tests and the OSCE; therefore, a Bonferroni–Holm <b>correction</b> <b>for</b> multiple testing was applied, and power calculation was performed for α =  2.5  %.|$|R
30|$|<b>For</b> {{assessing}} known <b>group</b> validity, VISA-P-Tr {{scores were}} compared healthy group and risk and patellar tendinopathy groups using Mann–Whitney U test with Bonferroni <b>correction</b> <b>for</b> avoiding possible statistical errors.|$|R
30|$|Since {{the share}} of ethnic {{minorities}} is small in the student population, background characteristics of Dutch students may dominate estimates. To verify the impact of variables within ethnic groups, we estimate separate parametric duration models for Mediterranean, Caribbean and Western in addition to Dutch. <b>For</b> each ethnic <b>group,</b> we estimate a model without <b>correction</b> <b>for</b> unobserved heterogeneity (Without) and another model with <b>correction</b> <b>for</b> unobserved heterogeneity (With UH), except for Caribbeans for whom a frailty model does not converge. Taking into account unobserved heterogeneity {{does not lead to}} large shifts in parameter estimates. The models with <b>correction</b> <b>for</b> unobserved heterogeneity generate only slightly different coefficients. From a comparison of these two models <b>for</b> other ethnic <b>groups,</b> we can assess, however that possible biases due to unobserved heterogeneity would be modest.|$|R
40|$|The {{objective}} {{of this study is}} to investigate the value of dual-task performance for the prediction of falls inpatients with Parkinson’s disease (PD). Two hundred sixty three patients with PD (H&Y 1 – 3, 65. 2 ± 7. 9 years) walked two times along a 10 -m trajectory, both under single-task and dual-task (DT) conditions (combined with an auditory Stroop task). To control for a cueing effect, Stroop stimuli were presented at variable or fixed 1 - or 2 -s intervals. The auditory Stroop task was also performed alone. Dual-task costs were calculated for gait speed, stride length, stride time, stride time variability, step and stride regularity, step symmetry and Stroop composite scores(accuracy/reaction time). Subsequently, falls were registered prospectively for 1 year (monthly assessments). Patients were categorized as non-recurrent fallers (no or 1 fall) or recurrent fallers ([1 falls). Recurrent fallers (35 %) had a significantly higher disease severity, lower MMSE scores, and higher Timed ‘‘Up & Go’’ test scores than non recurrent fallers. Under DT conditions, gait speed and stride lengths were significantly decreased. Stride time, stride time variability, step and stride regularity, and step symmetry did not change under DT conditions. Stroop dual-task costs were only significant for the 2 -s Stroop interval trials. Importantly, recurrent fallers did not show different dual-task costs compared to non-recurrent fallers on any of the gait or Stroop parameters. These results did not change after <b>correction</b> <b>for</b> baseline <b>group</b> differences. Deterioration of gait or Stroop performance under dual task conditions was not associated with prospective falls in this large sample of patients with PD...|$|R
40|$|Brain {{connectivity}} can {{be represented}} by a network that enables the comparison of the different patterns of structural and functional connectivity among individuals. In the literature, two levels of statistical analysis have been considered in comparing brain connectivity across groups and subjects: 1) the global comparison where a single measure that summarizes the information of each brain is used in a statistical test; 2) the local analysis where a single test is performed either for each node/connection which implies a multiplicity <b>correction,</b> or <b>for</b> each <b>group</b> of nodes/connections where each subset is summarized by one single test {{in order to reduce}} the number of tests to avoid a penalizing multiplicity correction. We comment on the different levels of analysis and present some methods that have been proposed at each scale. We highlight as well the possible factors that could influence the statistical results and the questions that have to be addressed in such an analysis...|$|R
40|$|Objective: To {{investigate}} {{the perception of}} facial asymmetry in young adults to identify the amounts of chin asymmetry that {{can be regarded as}} normal and may benefit from correction. Materials and Methods: Three-dimensional (3 D) images of 56 individuals of mixed ethnicity were obtained and used to produce average 3 D images of male and female faces. Distortion was then applied to these average faces using a 3 D graphics package to simulate different amounts of chin point asymmetry. Five observer groups (lay individuals, dental students, dental care professionals, dental practitioners, and orthodontists) assessed timed presentations of 3 D images, rating them as “normal,” “acceptable,” or “would benefit from correction. ” Time-to-event analysis was used to assess the level of chin asymmetry perceived as normal and beneficial <b>for</b> <b>correction</b> <b>for</b> each <b>group.</b> Results: The factors influencing the perception of facial asymmetry were the degree of asymmetry and the observer group. Direction of the asymmetry and gender of the assessed individual did not affect the perception of asymmetry, except in the 4 - to 6 -mm distortion range. The gender of the observer had no influence on perception. There were statistically significant differences in the amounts of asymmetry that the laypeople and orthodontists considered to be normal (5. 6 ± 2. 7 mm and 3. 6 ± 1. 5 mm, respectively; P <. 001) and felt would benefit from surgical correction (11. 8 ± 4. 0 mm and 9. 7 ± 3. 0 mm, respectively; P  = . 001). Conclusions: Perception of asymmetry is affected by the amount of asymmetry and the observer group, with orthodontists being more critical...|$|R
40|$|A {{numerical}} {{study of}} QED radiative <b>corrections</b> <b>for</b> the SMC experiment at SPS is been performed. The semi-analytical program POLRAD is {{been used to}} get {{the size of the}} radiative <b>corrections</b> <b>for</b> the proton to get the size of the radiative <b>corrections</b> <b>for</b> the measurements of the proton spin dependent structure functions g p 1 is given. 1...|$|R
40|$|Respiration-correlated PET (RCPET) {{can reduce}} motion artifacts, but image quality {{generally}} decreases. The use of phase-by-phase attenuation <b>correction</b> (PAC) <b>for</b> RCPET using respiration-correlated CT (RCCT) requires large computational resources, and tumor positions will not always match correctly because of different binning methods for CT and PET. In this study, we investigated whether PAC for RCPET {{can be replaced}} by midventilation attenuation <b>correction</b> (MidV-AC) <b>for</b> a <b>group</b> of lung cancer patients. Methods: RCPET/CT scans of 19 non– small cell lung cancer patients were performed. List-mode PET and CT data were binned and reconstructed into 8 phases. Two AC methods for RCPET were applied. First, the correspond-ing 8 RCCT phases were used for PAC. Then MidV-AC was used. Analyses were performed in terms of standardized uptake values (SUVs), volume recovery, contrast, and signal-to-noise ratio (SNR). Results: Average differences between PAC and MidV-AC for mean and maximum SUV were 1. 0 % and 0. 9 % (P 5 0. 007 and P 5 0. 002), respectively, whereas SNR, contrast, and volume {{did not differ significantly}} (P $ 0. 2). Large motion amplitudes and irregular breathing revealed larger differences between phase 1 and MidV-AC values. Conclusion: Differences in SUV, volume, SNR, and contrast between PAC as available in currently used clinical software and MidV-AC for RCPET are small. MidV-AC provides an excellent surrogate for PAC for most lung cancer patients encountered in clinical practice...|$|R
40|$|We {{discuss the}} effects of isospin {{breaking}} which appear in the vertex <b>corrections</b> <b>for</b> Zb b̅, Zτ^+τ^- and Wντ in a one-family technicolor model without exact custodial symmetry. By means of the effective lagrangian approach we compute the vertex <b>corrections</b> <b>for</b> Zbb̅, Zττ and Wτν taking account of the contributions from technivectormesons. If the isospin symmetry in technilepton sector is not exact, technivectormesons contribute to the vertex <b>correction</b> <b>for</b> Zττ but such contributions to the <b>correction</b> <b>for</b> Wτν are absent. If the difference is measured, it is {{the evidence of the}} isospin breaking. Comment: 15 pages, Latex, uses epic. sty, 4 figyres appended as a compressed uuencoded postscript fil...|$|R
50|$|<b>Correction</b> <b>for</b> Band Loss.|$|R
50|$|Density {{adjustments}} {{at different}} temperatures, <b>corrections</b> <b>for</b> soda-lime glass expansion and contraction and meniscus <b>corrections</b> <b>for</b> opaque oils are detailed in the Petroleum Measurement Tables, details of usage specified in ASTM D1250. The specific gravity {{is defined by}} the formula below.|$|R
30|$|Data {{analysis}} was performed using Prism version 6.0 (GraphPad). Data was assessed for normality using D’Agostino-Pearson omnibus normality test. Repeated t tests or Mann-Whitney U tests with Holm-Sidak <b>correction</b> <b>for</b> multiple comparisons {{were used to assess}} <b>for</b> differences between <b>groups.</b> A p value of <[*] 0.05 was considered significant.|$|R
50|$|Quantitative {{accuracy}} {{depends on}} several parameters such as: signal-to-noise ratio, peak intensity, accuracy of relative sensitivity factors, <b>correction</b> <b>for</b> electron transmission function, surface volume homogeneity, <b>correction</b> <b>for</b> energy dependence of electron mean free path, {{and degree of}} sample degradation due to analysis.|$|R
25|$|Second-order {{efficiency}} after <b>correction</b> <b>for</b> bias.|$|R
30|$|Statistical {{analyses}} were performed by using the SPSS 13.0 package. Discrete variables were compared by chi-square or Fisher’s exact tests. Normally distributed continuous variables were expressed as mean[*]±[*]SD and compared by Student’s[*]t tests. Other continuous variables were expressed as median (25 th – 75 th percentiles) and compared by Mann–Whitney tests. Repeated measures ANOVA <b>for</b> <b>groups</b> per time interaction and group and time comparisons, with Bonferroni <b>correction</b> <b>for</b> post hoc analysis, was used. Linear correlation was calculated using Spearman correlation coefficient. A p value[*]<[*] 0.05 was considered statistically significant.|$|R
3000|$|Descriptive {{data are}} {{presented}} as mean ± SD. A two-way analysis of variance (ANOVA) (group × joint angle) {{was used to test}} the effects of the group and joint angle on the fascicle length, pennation angle, and muscle thickness of VL and MG. If the interaction or main effects were significant, additional one-way ANOVA with post hoc tests (unpaired t test <b>for</b> <b>groups</b> or paired t test with a Bonferroni <b>correction</b> <b>for</b> joint angle) were used. The level of statistical significance was set at p <  0.05. Effect size was calculated as Cohen’s d or partial η [...]...|$|R
40|$|A {{numerical}} {{study of}} QED radiative <b>corrections</b> <b>for</b> the SMC experiment at SPS is been performed. The semi-analytical program POLRAD is {{been used to}} get {{the size of the}} radiative <b>corrections</b> <b>for</b> the proton to get the size of the radiative <b>corrections</b> <b>for</b> the measurements of the proton spin dependent structure functions $g_ 1 ^p(x) $ and $g_ 2 ^p(x) $. A brief description of the program POLRAD is given. Comment: 17 pages, 9 figures, To the memory of Prof. Engin Arik (1948 - 2007...|$|R
40|$|This paper studies <b>correction</b> <b>for</b> {{chance for}} {{association}} measures for continuous variables. The set of linear transformations of Pearson’s product-moment correlation {{is used as}} {{the domain of the}} <b>correction</b> <b>for</b> chance function. Examples of measures in this set are Tucker’s congruence coefficient, Jobson’s coefficient, and Pearson’s correlation. An equivalence relation on the set of linear transformations is defined. The fixed points of the <b>correction</b> <b>for</b> chance function are characterized. It is shown that each linear transformation is mapped to the fixed point in its equivalence class...|$|R
40|$|Multiple-choice (MC) {{examinations}} {{are becoming}} increasingly popular in higher education {{because they can be}} used effectively to assess breadth of knowledge in large cohorts of students. This present research investigated Psychology students' performance on, and experiences of, MC examinations with and without <b>correction</b> <b>for</b> guessing. In Study 1, data were collected from two cohorts of students across three Psychology MC examinations. The results revealed that students scored higher, and left fewer questions unanswered, when there was no <b>correction</b> <b>for</b> guessing. Furthermore, when the <b>correction</b> <b>for</b> guessing was removed from the theory MC examination, students who were told there was no <b>correction</b> <b>for</b> guessing did better than those told there was a correction. In addition, there was limited evidence of gender differences, with female students performing significantly better on one MC examination than males. In Study 2, a further set of first-year Psychology students reported their experiences of <b>correction</b> <b>for</b> guessing on open-book and closed-book MC examinations. Students reported feeling less anxious and more confident on the open-book MC examination. The findings of both of these studies have implications for instructors deciding whether or not <b>correction</b> <b>for</b> guessing is appropriate, and for the advice to be given to students preparing for MC examinations...|$|R
50|$|This {{effectively}} applies Bessel's <b>correction</b> <b>for</b> frequency weights.|$|R
5000|$|<b>Correction</b> <b>for</b> volume change (applying a Jacobian determinant) ...|$|R
5000|$|Forward error <b>correction</b> <b>for</b> example bitwise {{convolutional}} coding ...|$|R
5000|$|Real-time and {{post-processing}} differential <b>correction</b> <b>for</b> GPS locations ...|$|R
