1|1694|Public
5000|$|Mexico (MX) and Italy (IT) : <b>country</b> <b>ISO</b> <b>Code</b> is not {{mandatory}} ...|$|E
5000|$|The {{country codes}} {{are unique to}} each {{particular}} country, but do not correlate to <b>ISO</b> <b>Country</b> <b>Codes</b> or other standards format. For example, in the system used until 2007, France is [...] "DJ" [...] rather than [...] "F", and Australia is [...] "XZ" [...] rather than [...] "AUS".|$|R
5000|$|... {{the name}} of the country in which the product was processed, or more {{commonly}} its two-letter <b>ISO</b> <b>country</b> <b>code</b> (which could be AT, BE, BG, CY, CZ, DE, DK, EE, ES, EL, FR, FI, HU, HR, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK or UK); ...|$|R
2500|$|The kk {{after the}} two-character <b>ISO</b> <b>country</b> <b>code</b> {{represents}} the check digits {{calculated from the}} rest of the IBAN characters. If it is a constant for the country concerned, this will be stated in the Comments column. This happens where the BBAN has its own check digits that use the same algorithm as the IBAN check digits ...|$|R
5000|$|The {{telephone}} {{country code}} remains 599, {{that of the}} former Netherlands Antilles, and is shared with Curaçao. The International Organization for Standardization has assigned the <b>ISO</b> 3166-1 alpha-2 <b>country</b> <b>code</b> <b>ISO</b> 3166-2:BQ for these islands. The IANA has not established a root zone for the [...]bq Internet ccTLD and {{whether it will be}} used is unknown.|$|R
2500|$|The {{country codes}} {{are unique to}} each {{particular}} country, but do not correlate to <b>ISO</b> <b>Country</b> <b>Codes</b> or other standards format. For example, in the old system used until 2007, France is [...] "DJ" [...] not [...] "F" [...] and Australia is [...] "XZ" [...] not [...] "AUS". This is to prevent the general public from targeting diplomats from particular countries.|$|R
50|$|The channel was {{originally}} known as Kanaal 2, however, it has undergone several rebrandings over the years. At launch in 1995, the channel was branded as Ka2 (Dutch pronunciation of K2), then Kanaal 2. In 2001 it was branded KANAALTWEE. On February 12, 2008, the channel {{changed its name}} to 2BE, retaining the 2 but referring to the Belgian <b>ISO</b> <b>Country</b> <b>Code</b> BE.|$|R
5000|$|The {{country codes}} {{are unique to}} each {{particular}} country, but do not correlate to <b>ISO</b> <b>Country</b> <b>Codes</b> or other standards format. For example, in the old system used until 2007, France is [...] "DJ" [...] not [...] "F" [...] and Australia is [...] "XZ" [...] not [...] "AUS". This is to prevent the general public from targeting diplomats from particular countries.|$|R
50|$|The islands {{were given}} the <b>ISO</b> <b>country</b> <b>codes</b> of PU (alpha-2), PUS (alpha-3), and 849 (numeric) before 1986 (now PUUM), and the FIPS country code of IQ before 1981. For ISO purposes, the islands are now defined {{as part of the}} United States Minor Outlying Islands, {{together}} with Johnston Atoll, Midway Atoll, Navassa Island, and Wake Island, while each island is now given a separate FIPS code.|$|R
2500|$|The {{traditional}} {{country code}} top-level domain (ccTLD) for Russia, {{based on the}} <b>ISO</b> <b>country</b> <b>codes,</b> is [...] There is no direct mapping of subdomains between рф and , they are independent domains hosting potentially different resources. However, many resources may use URL redirection or DNS pointers to provide mapping between the name spaces. For example, the URLs [...] (prezident.rf) and [...] point to the identical resource, and [...] (Yandex) redirects to [...]|$|R
5000|$|After {{the use of}} UK.COM other <b>ISO</b> <b>Country</b> <b>codes</b> {{ending in}} [...]COM were also {{established}} such as AU.COM (Australia) and HK.COM (Hong Kong) and many other countries. In 2011, CentralNic established the country code second-level domain [...]COM.DE. Even though that domain {{is very similar to}} official ccSLDs, like COM.AU or COM.PL, it has no official status since it is not operated by Denic, the official registry service provider of [...]DE domains.|$|R
5000|$|The {{traditional}} {{country code}} top-level domain (ccTLD) for Russia, {{based on the}} <b>ISO</b> <b>country</b> <b>codes,</b> is [...] There is no direct mapping of subdomains between рф and , they are independent domains hosting potentially different resources. However, many resources may use URL redirection or DNS pointers to provide mapping between the name spaces. For example, the URLs [...] (prezident.rf) and [...] point to the identical resource, and [...] (Yandex) redirects to [...]|$|R
50|$|The {{following}} tables {{attempt to}} provide {{a complete list of}} mobile network operators. <b>Country</b> information, including <b>ISO</b> 3166-1 <b>country</b> <b>codes</b> is provided for completeness. Mostly for historical reasons, one E.212 MCC may correspond to multiple <b>ISO</b> <b>country</b> <b>codes</b> (e.g. MCC 362 corresponds to BQ, CW, and SX). Some operators also choose to use an MCC outside the geographic area that it was assigned to (e.g. Digicel uses the Jamaica MCC throughout the Caribbean). ITU-T publishes an official list of mobile network codes {{from time to time in}} the Operational Bulletin. Unfortunately, the official list is often incomplete as national MNC Authorities do not forward changes to the ITU in a timely manner. The official list does not provide additional details such as bands and technologies and may not list disputed territories such as Abkhazia or Kosovo.|$|R
50|$|Besides {{the former}} country name and its <b>ISO</b> 3166-3 <b>code,</b> each entry in ISO 3166-3 also {{contains}} its former <b>ISO</b> 3166-1 <b>codes,</b> its period of validity, {{and the new}} <b>country</b> names and <b>ISO</b> 3166-1 <b>codes</b> used after its deletion from ISO 3166-1.|$|R
5000|$|The use of {{an initial}} letter [...] "X" [...] for these {{purposes}} is facilitated by the ISO 3166 rule that no official country code beginning with X will ever be assigned. Because of this rule ISO 4217 can use X codes without risk of clashing with a future <b>country</b> <b>code.</b> <b>ISO</b> 3166 <b>country</b> <b>codes</b> beginning with [...] "X" [...] are used for private custom use (reserved), never for official codes. For instance, the <b>ISO</b> 3166-based NATO <b>country</b> <b>codes</b> (STANAG 1059, 9th edition) use [...] "X" [...] codes for imaginary exercise countries ranging from XXB for [...] "Brownland" [...] to XXR for [...] "Redland", {{as well as for}} major commands such as XXE for SHAPE or XXS for SACLANT. Consequently, ISO 4217 can use [...] "X" [...] codes for non-country-specific currencies without risk of clashing with future country codes.|$|R
5000|$|New country {{names and}} codes - Successor <b>countries</b> and their <b>ISO</b> 3166-1 <b>codes</b> ...|$|R
5000|$|Core Datasets Project Comprehensive <b>country</b> codes: <b>ISO</b> 3166, ITU, <b>ISO</b> 4217 {{currency}} <b>codes</b> {{and many}} more (HTML, CSV, JSON) ...|$|R
5000|$|The ISO Conformant Full Duplex type has the {{greatest}} international acceptance. It is common in many countries including Europe (since the late 1990s) and Canada. It {{is one of two}} chip protocol types (along with the [...] "Half Duplex" [...] type sometimes used in farm and ranch animals) that conform to International Organization for Standardization standards ISO 11784 & 11785. To support international/multivendor application, the 3-digit country code can contain an assigned <b>ISO</b> <b>country</b> <b>code</b> or a manufacturer code from 900 to 998 plus its identifying serial number. [...] In the United States, distribution of this type has been controversial. When 24PetWatch.com began distributing them in 2003 (and more famously Banfield Pet Hospitals in 2004) many shelter scanners couldn't read them. (Some still can't; asking local shelters about this is still a good idea.) At least one Banfield-chipped pet was inadvertently euthanized.|$|R
40|$|Scientific journals: standards, {{identifiers}} et al. National {{and international}} standards about journals. ISO standards: ISO 8 : journals, ISO 215 : papers (these course), ISO 18 : table of contents, ISO 3297 : ISSN, ISO 690 : bibliographic references, ISO 2014 : dates, <b>ISO</b> 3166 : <b>country</b> <b>codes,</b> <b>ISO</b> 8601 : Representation of dates and times. ISO 26324 : DOI (DRM). Another standards and guides: Uniform Requirements for Manuscripts Submitted to Biomedical Journals (Vancouver, ICMJE). Unique identifiers: main characteristics. ISSN, DOI. Science and information channels today. Editor's new responsibilities: digital publishing, new production systems, new workflows, digital preservation problems. Papers flowchart: 1) Record receipt of manuscripts for review; 2) Production: Send the manuscript {{at least to}} two referees; 3) Publishing: solve format problems, final cut, distribution and print. Citation styles: APA, MLA, CSE, Chicago. Conclusions: standards and information access: OAI, Web 2. 0...|$|R
2500|$|Under the {{official}} FIFA Trigramme the team's name is abbreviated as PHI; this acronym {{is used by}} FIFA, the AFC and the AFF to identify the team in official competitions. The team is also identified under the International Organization for Standardization (<b>ISO)</b> <b>country</b> <b>code</b> for the Philippines as PHL. However the team was more {{commonly known as the}} RP, the acronym for the country's official name, Republika ng Pilipinas, which the local press used when they referred to the team as the [...] "RP Booters" [...] or the [...] "RP XI". [...] This was until late October 2010 when the Department of Foreign Affairs decided to change {{the official}} abbreviation of the country from [...] "RP" [...] to [...] "PH" [...] or [...] "PHL", to be in line with ISO standards. [...] The local press have since referred to the team as either [...] "PH/PHL Booters" [...] or [...] "PH/PHL XI".|$|R
5000|$|SIL {{codes are}} upper case; <b>ISO</b> <b>codes</b> are lower case. Once retired, <b>ISO</b> 639-3 <b>codes</b> are not reused. [...] SIL codes that were retired prior to 2006 {{may have been}} re-used or may have reappeared as <b>ISO</b> <b>codes</b> for other languages.|$|R
5000|$|If {{the country}} merged into an {{existing}} <b>country,</b> the <b>ISO</b> 3166-1 alpha-2 <b>code</b> {{of this country}} is used (e.g., the German Democratic Republic merged into Germany, whose alpha-2 code is [...] ).|$|R
5000|$|The <b>ISO</b> <b>code</b> for Cantonese is [...] Using the <b>ISO</b> <b>code</b> {{instead of}} current domain has been {{submitted}} as {{a proposal to}} Wikimedia, but as of yet, no action has been taken to implement this change.|$|R
40|$|This {{documents}} {{contains a}} discussion about empirical evidence supporting some implications of the model, additional calculations, and proofs that {{for the sake of}} brevity have been omitted from the paper "Endogenous Comparative Advantage". To make the derivations self-contained some equations have been duplicated from the main paper. B Empirical evidence on wage di#erences B. 1 The relationship between wage di#erentials and GDP We have investigated the relationship between the skill premium and wage di#erences in the data. Given the large di#erences in standard of living, {{it is hardly surprising that}} the wage di#erential tends to be larger in richer countries. However, we find it striking that the relationship is almost one to one. In Figure 1 we plot GDP against the education wage di#erential and, for comparison, also the wage ratio (the labels are Alpha- 3 <b>ISO</b> <b>country</b> <b>codes).</b> The underlying data, from Hendricks [1], is a collection of Mincerian regressions by several authors (see references in Hendricks [1]) using micro data from a number of di#erent countrie...|$|R
5000|$|The ISO {{name of the}} <b>ISO</b> <b>code</b> [...] is Barbacoas, {{the name}} of an extinct people who gave their name to the Barbacoan {{language}} family of which Pasto is a member, {{as well as to the}} Colombian town of Barbacoas. However, nothing is known of their language, one of several also known as Colima (Loukotka 1968: 247), and it can only be assumed to be part of the Barbacoan family (Campbell & Grondona 2012: 78). Such unattested, long-extinct languages are not normally assigned <b>ISO</b> <b>codes.</b> MultiTree conflates Barbacoas with neighboring Pasto, which is well-enough attested for classification and assignment of an <b>ISO</b> <b>code.</b> This does not however mean that <b>ISO</b> <b>code</b> [...] can be properly used for the Pasto language.|$|R
5000|$|<b>ISO</b> 3166-2, <b>Codes</b> for the {{representation}} of names of countries and their subdivisions - Part 2: Country subdivision code, defines codes for {{the names of the}} principal subdivisions (e.g., provinces or states) of all <b>countries</b> <b>coded</b> in <b>ISO</b> 3166-1.|$|R
