1|24|Public
50|$|<b>Coil</b> <b>product</b> {{was usually}} shipped from the Detroit plant via truck.|$|E
50|$|Coil tubing {{has also}} {{been used as a}} cheaper version of work-over operations. It is used to perform open hole {{drilling}} and milling operations. Common coiled tubing steels have yield strengths ranging from 55,000 PSI to 120,000 PSI so it {{can also be used to}} fracture the reservoir, a process where fluid is pressurised to thousands of psi on a specific point in a well to break the rock apart and allow the flow of <b>product.</b> <b>Coil</b> tubing can perform almost any operation for oil well operations if used correctly.|$|R
40|$|The aim of beta beams in a decay ring is {{to produce}} highly {{energetic}} pure electron neutrino and anti-neutrino beams coming from b-decay of 18 Ne 10 + and 6 He 2 + ion beams. The decay products, having different magnetic rigidities than the ion beam, are deviated inside the dipole. The aperture {{and the length of}} the magnet have to be optimized to avoid that the decay <b>products</b> hit the <b>coil.</b> The decay <b>products</b> are intercepted by absorber blocks inside the beam pipe between the dipoles to protect the following dipole. A first design of a 6 T arc dipole using a cosine theta layout of the coil with an aperture of 80 mm fulfils the optics requirements. Heat deposition in the coil has been calculated using different absorber materials to find a solution to efficiently protect the coil. Aspects of impedance minimization for the case of having the absorbers inside the beam pipe have also been addressed...|$|R
40|$|In {{this issue}} of the American Journal of Neuroradiology (AJNR),the Matrix and Platinum Science (MAPS) trial results are pub-lished. 1 The trial {{concluded}} that there was no superiority of the Matrix coil (Stryker, Kalamazoo, Michigan) over bare platinum coils. The MAPS investigators and sponsor should be congratu-lated on their willingness to test the efficacy ofMatrix. TheMAPS trial in no way negates the premise that the modification of coil surfaces or composition could potentially enhance coil perfor-mance and/or the long-term durability of coil embolization. To broadly extrapolate theMAPS results to all surface modified coils makes little sense. While the approach taken by industry to promote the Matrix <b>coil</b> during the <b>product</b> launch certainly had serious flaws, this controversy should not cloud, or in any way diminish, the impor-tant clinical data provided by theMAPS study. With the benefit of hindsight, it appears that the coil vendor, as well as physician users, share responsibility for not demandingmore robust data of improved efficacy over bare platinum coils before the routine use of Matrix in patients. Fortunately, our field continues to mature, andwe have evolved past this to a large extent, as evidenced by the myriad industry-sponsored comparative coil trials that have bee...|$|R
40|$|The human {{parasite}} Schistosoma mansoni {{is totally}} {{dependent on the}} purine salvage pathway in order to supply large quantities of purine precursors for its energy and DNA biosynthetic needs. Adenylate kinase (ADK) {{is responsible for the}} conversion of AMP (produced by the adenosine kinase reaction) into ADP, which is subsequently converted into ATP by nucleoside diphosphate kinase (NDPK). ADK and NDPK are the most active enzymes of the pathway, probably reflecting an evolutionary adaptation due to the intense use of the branch in which they participate. However, notwithstanding their importance very little information has been accumulated found regarding these enzymes. In this work two adenylate kinases from S. mansoni were cloned and heterologously expressed in Escherichia <b>coil.</b> The purified <b>products</b> were utilized in activity assays, and displayed kinetic parameters similar to the corresponding human orthologous proteins. The cytosolic S. mansoni ADK was crystallized and its structure solved allowing us to detect a difference in the nucleotide binding site when compared with the human ortholog. (C) 2012 Elsevier B. V. All rights reserved. FAPESPFAPESP [1998 / 14138 - 2, 06 / 60280 - 3]CNPq [550514 / 2011 - 2]CNP...|$|R
40|$|In {{order to}} find {{correlations}} between skin gland morphology and specific ethological features, the cutaneous glands of the foot pads of Procavia capensis were studied by histological and various histochemical methods and by electron microscopy. In the foot pads, abundant specific eccrine skin glands occur, which consist of coiled tubular secretory portions and coiled ducts. The wall of the secretory part is composed of cuboidal glandular cells and myoepithelial cells. Among the glandular cells two types occur: clear and dark cells. Clear cells have numerous mitochondria and form a basal labyrinth, indicating fluid transport. Dark cells, which stain strongly with periodic acid-Schiff, contain a highly developed perinuclear Golgi apparatus, large amounts of rough endoplasmic reticulum and many secretory granules indicating production of glycoproteins. Cytokeratin (CK) 19 was found in secretory compartments and ducts, CK 14 only in duct cells. Single cells of the secretory coils and ducts may be stained with antibodies against antimicrobial peptides. Some glandular cells contain proliferating cell nuclear antigen-positive nuclei especially in the ducts indicating an increased cell proliferation. Terminal transferase (TdT) -mediated d-UTP nick-end labeling-positive nuclei can be detected predominantly in the secretory coils and rarely in the transitional portions between ducts and end pieces. We suppose that proliferating cells migrate from the ducts to the secretory <b>coils.</b> The secretory <b>product</b> of the eccrine cutaneous glands seems to improve the traction between the foot pads of these animals and the steep and smooth rock formations among which they live. ...|$|R
5000|$|Today main {{transportation}} is iron ore from North Bessemer interchange. Edgar Thomson gets it coke from the Clairton works {{that is also}} interchanged to Dexter yard, slabs from Edgar Thomson to Irvin works and finished steel <b>products</b> (<b>coils)</b> from Irvin works to the interchanges. Only the Port Perry Bridge remains open for rail traffic. For inner-mill service the Edgar Thomson plant uses US Steel own EMD-switchers to move the hot metal subs and for tressel unloading. Crews from the URR have their own motive power EMD's for general switching duties within the mill. Their duties include the movement of loaded ore and coke cars to the staging yard and tressel, spotting and pulling the caster and slab mills, along with bringing in scrap and flux cars into the BOP [...] "Basic Oxygen Process". After closing the Riverton bridge in 2008 there is no rail connection between the URR network and Mckeesport Tubular Operations [...] "Camp Hill". Using URR motive power to switch McKeesport Tubular {{is the duty of}} McKeesport Connection Railroad (MKC), another subsidiary of Transtar. The Duquesne Coal Docks are still in operations unloading scrap metal from barges to be used at Edgar Thomson and coal barges to interchange with Norfolk Southern in the Kenny Yard.Union Railroad continues to serve the Mon Valley and have since expanded its customer base to include Dura-Bond pipe coating in the former Duquesne Works site and General Electric in West Mifflin hauling special oversize generators.|$|R
40|$|A {{review of}} the theory, technology, and {{practice}} of RF coils for small-animal MRI is presented that includes {{a brief overview of}} MR S/N analysis and discussions of the various coils commonly used in small-animal MR – surface coils, linear volume coils, birdcages, and their derivatives. The scope is limited to mid-range coils – <b>coils</b> where the <b>product</b> (fd) of the frequency f and the coil diameter d is in the range of 2 - 30 MHz-m. Common applications include mouse brain and body coils from 125 MHz to 750 MHz, rat body coils up to 500 MHz, and small surface coils at all fields. In this regime, all the sources of loss (coil, capacitor, sample, shield, and transmission lines) are important. All such losses may be accurately captured in some modern full-wave 3 D EM software, and new simulation results are presented for a selection of surface coils using Microwave Studio (MWS) 2006 by Computer Simulation Technology (CST), showing the dramatic importance of the “lift-off effect”. Standard linear circuit simulators {{have been shown to be}} useful in optimization of complex coil tuning and matching circuits. There appears to be considerable potential for trading S/N for speed using phased arrays, especially for a larger field of view. Circuit simulators are shown to be useful for optimal mismatching of ultra-low-noise preamps based on the E-PHEMT (Enhancement mode Pseudomorphic High Electron Mobility Transistor) for optimal coil decoupling in phased arrays. Cryogenically cooled rf coils are shown to offer considerable opportunity for future gains in S/N in smaller samples...|$|R
40|$|Occurrence and histomorphology of {{cartilage}} {{and bone}} neoformations was retrospectively evaluated in rabbit experimental aneurysms after endovascular <b>coil</b> embolization. During <b>product</b> development, 115 carotid bifurcation aneurysms {{were treated with}} hydrogel-containing devices (HydroCoil®, n= 77; HydroSoft®, n= 28; prototype Hydrogel-only, n= 10; MicroVentionTerumo, Aliso Viejo, CA). Additional 29 aneurysms were treated with standard (n= 22) or with degradable polymer-covered (n= 7) platinum coils.  After 4 to 52 weeks, the retrieved aneurysms were methylmethacrylate embedded, and ground sections were surface-stained with Rapid Bone Stain and Giemsa solution. Cartilage and/or bone tissue was assessed by light microscopy; respective tissue areas in the aneurysms were determined by computerized histomorphometry. Cartilage neoformation was observed from 26 to 52 weeks. Single chondrocytes to hyaline or fibrous cartilage areas, occupying up to 29 % of the aneurysm cavity, were found in 6 aneurysms, treated with HydroCoil (n= 4), Hydrogel-only (n= 1), and resorbable polymer (n= 1) devices. Chondral ossification associated cartilage neoformation in 2 of these 4 HydroCoil-treated aneurysms. Membranous woven and lamellar bone ossicles were observed from 13 to 52 weeks in 7 aneurysms, treated with HydroCoil (n= 3) and platinum coil (n= 4) devices. Altogether, cartilage and/or bone neoformation was observed in 13 (9 %) of 144 rabbit bifurcation aneurysms treated with various embolic devices. Incidence was low until 26 weeks, but increased at 52 weeks in both, HydroCoil and standard platinum coil treated aneurysms. As the neoformations were predominantly located in proximity to the aneurysm neck, they {{could be related to}} the long-term mechanobiology of cell differentiation during fibrovascular healing of blood flow-exposed embolized aneurysms...|$|R
40|$|Pyrethroid {{resistance}} is envisioned to {{be a major}} problem for the vector control program since, at present, there are no suitable chemical substitutes for pyrethroids. Cross-resistance to knockdown agents, which are mainly used in mosquito <b>coils</b> and related <b>products</b> as spatial repellents, is the most serious concern. Since cross-{{resistance is}} a global phenomenon, we have started to monitor the distribution of mosquito resistance to pyrethroids. The first pilot study was carried out in Vietnam. We periodically drove along the national road from the north end to the Mekong Delta in Vietnam and collected mosquito larvae from used tires. Simplified susceptibility tests were performed using the fourth instar larvae of Aedes aegypti, Aedes albopictus, and Culex quinquefasciatus. Compared with the other species, Ae. aegypti demonstrated the most prominent reduction in susceptibility. For Ae. aegypti, significant increases in the susceptibility indices with a decrease in the latitude of collection points were observed, indicating that the susceptibility of Ae. aegypti against d-allethrin was lower in the southern part, including mountainous areas, as compared to that {{in the northern part of}} Vietnam. There was a significant correlation between the susceptibility indices in Ae. aegypti and the sum of annual pyrethroid use for malaria control (1998 – 2002). This might explain that the use of pyrethroids as residual treatment inside houses and pyrethroid-impregnated bed nets for malaria control is attributable to low pyrethroid susceptibility in Ae. aegypti. Such insecticide treatment appeared to have been intensively administered in the interior and along the periphery of human habitatio...|$|R
40|$|The main {{objective}} of this dissertation was to investigate how cold rolling process parameters could be optimised to improve surface quality of the AA 3003 H 22 treadbright <b>coils.</b> This treadbright <b>product</b> is one of Hulett Aluminium’s main products and is exported mainly to the North American market. One of its critical requirements is a defect-free bright surface. The literature review was conducted with particular focus {{on the effects of}} selected parameters or settings with respect to surface quality and a chapter outlining these aspects has been included. It was clear from the literature review that selected parameters do affect the surface quality and if adjusted accordingly can improve surface quality on treadbright coils. Subsequent chapters after the literature review outline how the tests were conducted, procedures followed and equipments used from the cold rolling machine to laboratories. Surface appearance results after each parameter was adjusted, showed that the surface quality did improve and even got better when other parameters like the colouring roll angle and percentage reduction were adjusted. Correct working limits within which each parameter would yield acceptable surface quality were also established. All experiments conducted had no influence on the microstructure of the metal as it remained the same throughout each experiment. The same has been found with the mechanical properties as percentage reductions experiments led to no change in tensile strength, proof strength and percentage elongation. In conclusion, this research has proved that cold rolling process parameters selected did affect the product surface quality. If controlled they can be used to optimise the surface quality on the treadbright product as required by Hulett Aluminium and its customers...|$|R
40|$|Summary: A new, coated {{bioactive}} coil {{has been}} developed to improve the long-term results of endovascular treatment of intracranial aneurysms. The purpose of this preliminary study {{was to assess the}} feasibility and safety of selective embolization of intracranial aneurysms with Matrix coils in 20 consecutive patients. Endovascular treatment of intracranial aneurysms by endosaccular coil placement has become an accepted alternative to surgical clip placement (1); however, the main disadvantage of this technique compared with surgery is aneurysm recurrence (2), especially for large aneurysmal sacs or wide-necked aneurysms. To circumvent this potential limitation, many investiga-tions are currently evaluating new coils, including biologically active coils (3), radioactive coils (4), and coated coils with a swelling hydrogel (5). The aim of these innovations is to promote intra-aneurysmal clot organization and fibrosis (3, 4) or to increase packing density (5), which is associated with a higher long-term occlusion rate (6). The complete Matrix coils (Target Therapeutics, Fremont, CA) product line has recently become available, but no study has yet eval-uated the feasibility of endovascular treatment with these coils. We report our experience of selective embolization with Matrix coils in 20 consecutive pa-tients with an intracranial aneurysm. Technique Matrix detachable coils are platinum coils covered with a bioabsorbable polymer (90 % polyglycolide, 10 % polyactide) and attached to a stainless steel delivery wire. The coil consists of 70 % polymer and 30 % platinum. The details of coil charac-teristics were described elsewhere (7), and the detachment system is the same as that used with Guglielmi detachable <b>coils</b> (GDCs). The <b>product</b> line {{is similar to that of}} bare GDCs and includes 3 D and 2 D coils. Variable degrees of stiffness are available, including standard, soft, and ultrasoft coils...|$|R
40|$|Micro- or {{nanometer}} sized magnetic particles (beads) {{currently have}} a vast range of life science applications in, for example, bioseparation techniques, cancer therapy, development of contrast agents and biosensing techniques. In the latter field, magnetic beads offer several unique advantages, including minimal background signals, {{physical and chemical}} stability and low manufacturing costs. Because of these properties, magnetic biosensing techniques are potential candidates for low-cost, easy-to-use molecular diagnostic devices. This doctoral thesis focuses mainly on the proof of principle and further {{development of a new}} magnetic biosensor platform for detection of DNA targets, a potential candidate {{for a new generation of}} low-cost, easy-to-use diagnostic devices: the Volume-Amplified Magnetic Nanobead Detection Assay (VAM-NDA). The VAM-NDA principle combines target recognition by padlock probe ligation followed by rolling circle amplification (RCA) of the reacted probes with changes in Brownian relaxation behaviour of magnetic nanobeads (typically ~ 100 nm in diameter) induced by a change in hydrodynamic bead volume. More specifically, the RCA <b>products</b> (<b>coils,</b> typically ~ 1 μm in diameter) are detected magnetically by adding magnetic beads tagged with detection probes complementary to part of the repeating RCA-coil sequence. Thus, depending on the target concentration, a certain quantity of beads binds to the coils by base-pair hybridisation (bead immobilisation), resulting in a dramatic bead volume increase, which is then detected by measuring the complex magnetisation spectrum. Use of a commercial SQUID magnetometer for measuring complex magnetisation resulted in a detection limit in the low pM range for DNA targets with excellent quantification accuracy. Simultaneous multiplexing was also evaluated. The stability and aging of typical commercial ferrofluids (suspensions of magnetic beads) were investigated by measuring the complex magnetisation of and interbead interactions in oligonucleotide-functionalised ferrofluids. In summary, the bead surface characteristics were found to have a strong impact on the measured dynamic magnetic properties...|$|R
40|$|The {{family of}} human {{proteins}} containing a potassium channel tetramerization domain (KCTD) includes 21 members whose function is largely unknown. Recent reports have however suggested that these proteins are implicated in very important biological processes. KCTD 11 /REN, the best-characterized {{member of the}} family to date, plays {{a crucial role in the}} ubiquitination of HDAC 1 by acting, in complex with Cullin 3, as an E 3 ubiquitin ligase. By combining bioinformatics and mutagenesis analyses, here we show that the protein is expressed in two alternative variants: a short previously characterized form (sKCTD 11) composed by 232 amino acids and a longer variant (IKCTD 11) which contains an N-terminal extension of 39 residues. Interestingly, we demonstrate that IKCTD 11 starts with a non-canonical AUU codon. Although both sKCTD 11 and IKCTD 11 bear a POZ/BTB domain in their N-terminal region, this domain is complete only in the long form. Indeed, sKCTD 11 presents an incomplete POZ/BTB domain. Nonetheless, sKCTD 11 is still able to bind Cul 3, although to much lesser extent than IKCTD 11, and to perform its biological activity. The heterologous expression of sKCTD 11 and IKCTD 11 and their individual domains in Escherichia <b>coil</b> yielded soluble <b>products</b> as fusion proteins only for the longer form. In contrast to the closely related KCTD 5 which is pentameric, the characterization of both IKCTD 11 and its POZ/BTB domain by gel filtration and light scattering indicates that the protein likely forms stable tetramers. In line with this result, experiments conducted in cells show that the active protein is not monomeric. Based on these findings, homology-based models were built for IKCTD 11 BIB and for its complex with Cul 3. These analyses indicate that a stable IKCTD 11 BTB-Cul 3 three-dimensional model with a 4 : 4 stoichiometry can be generated. Moreover, these models provide insights into the determinants of the tetramer stability and into the regions involved in IKCTD 11 -Cul 3 recognition. (C) 2011 Elsevier Masson SAS. All rights reserved...|$|R
40|$|Traditional <b>coil</b> {{coated steel}} <b>product</b> {{consists}} of two layers of coating, which are applied {{on top of a}} pretreated hot-dip-galvanized steel coil. In other fields of industry the TOC coating method is quite widely used and it has attracted attentions also in the coil coating industry. The economically and environmentally sound alternative designed to replace the traditional pretreatment and the base coating layer has increased research and development of the TOC method. 	Thin organic coatings in coil coating applications have been studied quite scarcely in SSAB. This thesis {{is a part of the}} HYBRIDS – Hybrid Materials program, which studies among other subjects the potential of the TOC-method. In this thesis the goal was to optimize a coating layer on top of two separate TOC-substrates. The objective of the thesis was to find the most suitable binder, film thickness and curing cycle combination for the first coating layer of the TOC based product. The chemistry of the studied binders was mainly based on polyester and PVdF chemistry. With isocyanate crosslinked binder system, a polyurethane-chemistry based binder was also introduced to the studies. With all of the previously mentioned binder systems, the film thicknesses and curing cycles were varied to test a wide variety of property combinations. 	The optimization started with the results of the accelerated environment exposure testing, with which the first elimination of binders was based. The mechanical testing data was analyzed with statistical method ANOVA. With the statistical analyzing method the most potential binder, film thickness and curing cycle for each TOC was selected from both of the binder categories. The final products were compared to reference samples, which were treated with the same paint process. The samples used for the references were traditionally pretreated and untreated HDG-steels. The final conclusions on the optimized products were done based on accelerated environment exposure testing and mechanical testing. 	With the optimization process a clear indication was observed, that the film thickness variations and binder selection affects the properties of the product significantly. The thickest dry films performed with best results. A significant difference was not observed with the curing cycles, but marginally better results were observed with double curing with the TOC 2 substrate. 70 % PVdF / 30 % PMMA ratio binders performed with best results with both of the TOC substrates. TOC 2 had significant difficulties with polyester-chemistry, which led to a series of separate studies. Isocyanate (instead of melamine) crosslinked binder worked perfectly with the said substrate. 	Accelerated humidity exposure testing results and mechanical resistance testing results reveal a significant importance of the pretreatment or TOC-layer. HDG steel with any sort of binder suffers a significant amount of damage and deterioration during exposure to humidity in elevated temperatures. Mechanical resistance results show a similar trend. The traditionally pretreated samples and TOC based samples, when compared against each other, showed notable but not significant differences on behalf of the TOC based samples. A conclusion from the testing in this thesis is that the TOC based product can perform at least as well as the traditionally pretreated product. Although the results are quite encouraging and positive for the TOC based products, the results are not unequivocal and can only be considered as a guideline towards future studies and research projects...|$|R

